variant,snr_db,n,mean_error_over_peb,median_error_over_peb,p90_error_over_peb,max_error_over_peb,outlier_count_5peb,outlier_rate_5peb,direct_vp_count,ris_only_stage2_then_vp_count,direct_vp_rollback_count,jnpp_decision_count,gof_fail_count
free_jones_vp,-5.0,100,25.279383736869946,22.1817784820076,47.9379696118304,124.62927664117275,87,0.87,100,0,0,28,28
free_jones_vp,0.0,100,60.50957902554441,22.200668914373296,74.94726961486036,1515.382519539539,87,0.87,100,0,0,40,40
free_jones_vp,5.0,100,47.744620400321764,18.716650922708222,119.89113086984294,147.4837372917873,87,0.87,100,0,0,54,54
free_jones_vp,10.0,100,72.28784274118917,28.316800248286043,221.03968175221723,261.9018137528669,90,0.9,100,0,0,62,62
free_jones_vp_gated_rescue,-5.0,100,15.522736216671708,10.334339328320954,36.51793961559489,53.6712713279595,69,0.69,72,20,8,28,28
free_jones_vp_gated_rescue,0.0,100,12.882102340130706,5.728807086082924,49.92368637254504,68.32451302454889,53,0.53,60,36,4,40,40
free_jones_vp_gated_rescue,5.0,100,6.364543808217021,3.5855995491488653,13.276628274445253,69.94859300536247,40,0.4,46,49,5,54,54
free_jones_vp_gated_rescue,10.0,100,5.341942212057314,3.1687944202956233,12.198952589022939,28.44510482710476,37,0.37,38,57,5,62,62
