figure,baseline,x_name,x_value,n,success_rate,plot_metric,rmse_m,median_m,p90_m,p95_m,runtime_s_mean
fig9,ff_omp,assumed_K,2.0,1,1.0,position_rmse_m,1.8694919095837654,1.8694919095837654,1.8694919095837654,1.8694919095837654,23.726859133006656
fig9,ff_omp,assumed_K,3.0,1,1.0,position_rmse_m,2.4280997440720458,2.4280997440720458,2.4280997440720458,2.4280997440720458,41.23184685400338
fig9,ff_omp,assumed_K,5.0,1,1.0,position_rmse_m,1.8694919095839728,1.8694919095839728,1.8694919095839728,1.8694919095839728,62.95409361900238
fig9,nf_mmpsr,assumed_K,2.0,1,1.0,position_rmse_m,1.14564392373896,1.14564392373896,1.14564392373896,1.14564392373896,28.31220855200081
fig9,nf_mmpsr,assumed_K,3.0,1,1.0,position_rmse_m,1.14564392373896,1.14564392373896,1.14564392373896,1.14564392373896,31.107306605990743
fig9,nf_mmpsr,assumed_K,5.0,1,1.0,position_rmse_m,1.14564392373896,1.14564392373896,1.14564392373896,1.14564392373896,26.64155413598928
fig9,proposed,assumed_K,2.0,1,1.0,position_rmse_m,0.6676661497306955,0.6676661497306955,0.6676661497306955,0.6676661497306955,559.9794401069958
fig9,proposed,assumed_K,3.0,1,1.0,position_rmse_m,8.492313744422114e-05,8.492313744422114e-05,8.492313744422114e-05,8.492313744422114e-05,338.0433870620036
fig9,proposed,assumed_K,5.0,1,1.0,position_rmse_m,8.454181355759975e-05,8.454181355759975e-05,8.454181355759975e-05,8.454181355759975e-05,665.8832375710044
fig9,ris_momp,assumed_K,2.0,1,1.0,position_rmse_m,2.5288337232803553,2.5288337232803553,2.5288337232803553,2.5288337232803553,48.93652744501014
fig9,ris_momp,assumed_K,3.0,1,1.0,position_rmse_m,1.8694919095831188,1.8694919095831188,1.8694919095831188,1.8694919095831188,80.08595436198812
fig9,ris_momp,assumed_K,5.0,1,1.0,position_rmse_m,1.8694919095839566,1.8694919095839566,1.8694919095839566,1.8694919095839566,120.16344635200221
fig9,trueK_peb_reference,assumed_K,2.0,1,1.0,peb_position_m,0.00036682970394567497,0.00036682970394567497,0.00036682970394567497,0.00036682970394567497,2.810704617004376
fig9,trueK_peb_reference,assumed_K,3.0,1,1.0,peb_position_m,0.00036682970394567497,0.00036682970394567497,0.00036682970394567497,0.00036682970394567497,2.0735783310083207
fig9,trueK_peb_reference,assumed_K,5.0,1,1.0,peb_position_m,0.00036682970394567497,0.00036682970394567497,0.00036682970394567497,0.00036682970394567497,1.469248057997902
