figure,baseline,x_name,x_value,n,success_rate,plot_metric,rmse_m,median_m,p90_m,p95_m,runtime_s_mean
fig10a,ff_omp,T,64.0,1,1.0,position_rmse_m,1.240874076224835,1.240874076224835,1.240874076224835,1.240874076224835,13.891404066001996
fig10a,ff_omp,T,256.0,1,1.0,position_rmse_m,1.646390757642884,1.646390757642884,1.646390757642884,1.646390757642884,22.601943379995646
fig10a,nf_mmpsr,T,64.0,1,1.0,position_rmse_m,1.4017845768876185,1.4017845768876185,1.4017845768876185,1.4017845768876185,15.032537025006604
fig10a,nf_mmpsr,T,256.0,1,1.0,position_rmse_m,1.5149257407543117,1.5149257407543117,1.5149257407543117,1.5149257407543117,17.210582260013325
fig10a,peb,T,64.0,1,1.0,peb_position_m,0.0007006666630188535,0.0007006666630188535,0.0007006666630188535,0.0007006666630188535,0.6733728450053604
fig10a,peb,T,256.0,1,1.0,peb_position_m,0.0004204276316310196,0.0004204276316310196,0.0004204276316310196,0.0004204276316310196,1.6484946319978917
fig10a,proposed,T,64.0,1,1.0,position_rmse_m,0.0003110465595149808,0.0003110465595149808,0.0003110465595149808,0.0003110465595149808,305.79808392599807
fig10a,proposed,T,256.0,1,1.0,position_rmse_m,0.00035552090557315884,0.00035552090557315884,0.00035552090557315884,0.00035552090557315884,434.34466629399685
fig10a,ris_momp,T,64.0,1,1.0,position_rmse_m,1.2613769960563408,1.2613769960563408,1.2613769960563408,1.2613769960563408,28.552170121998643
fig10a,ris_momp,T,256.0,1,1.0,position_rmse_m,1.2303519342310378,1.2303519342310378,1.2303519342310378,1.2303519342310378,42.70304761400621
