trial_id,seed,snr_db,K,failed,error,runtime_s,p_true_x,p_true_y,p_true_z,p_hat_x,p_hat_y,p_hat_z,err_x_m,err_y_m,err_z_m,position_error_m,delta_t_true_s,delta_t_hat_s,delta_t_error_s,clock_error_ns,clock_range_error_m,y_nmse,raw_objective_final,residual_norm,noise_variance,stage1_position_error_m,stage2_position_error_m,final_position_error_m,selected_branch,global_vp_mode,jones_mode,adaptive_enabled,boundary_hit,boundary_hit_axis,distance_to_position_box_boundary_m,z_rescue_triggered,z_rescue_num_starts,z_rescue_best_z,z_rescue_selected_reason,direct_boundary_hit,rescue_boundary_hit,branch_score_margin,boundary_selection_rule_used,warning
0,3933360494,0.0,3,False,,673.860391012,1.25,0.55,0.75,1.2499672499046515,0.5499538503144683,0.7500831170851381,-3.275009534853268e-05,-4.6149685531737816e-05,8.311708513808469e-05,0.0001005525338411116,5e-09,5.0003188752366436e-09,3.1887523664345693e-13,0.00031887523664345693,9.559639098867362e-05,5.097164848815006e-06,0.11912266568504569,429.4603518465563,0.11912225890998429,0.5316939679641677,0.5316939679641677,0.0001005525338411116,direct_vp,adaptive_jones,fixed_pol_anchor,True,False,[],0.4000831170851381,True,7,0.7500831170851381,lowest_raw_objective,False,False,nan,False,
1,3685333214,0.0,3,False,,675.8190573710017,1.25,0.55,0.75,1.2500102152207517,0.5500242476891213,0.7500171058643084,1.0215220751730314e-05,2.4247689121237315e-05,1.710586430836436e-05,3.1383303785021194e-05,5e-09,4.999458287312646e-09,-5.417126873539356e-13,0.0005417126873539357,0.00016240137807162187,2.5856366849337293e-06,0.28631281814456305,665.8038003641983,0.28674312832228127,0.5324906497960854,0.5324906497960854,3.1383303785021194e-05,direct_vp,adaptive_jones,fixed_pol_anchor,True,False,[],0.4000171058643084,True,7,0.7500171058643084,lowest_raw_objective,False,False,nan,False,
2,1092560480,0.0,3,False,,548.543861729002,1.25,0.55,0.75,1.249768018859415,0.5501295671823927,0.7497719283127666,-0.00023198114058509134,0.00012956718239265363,-0.00022807168723337767,0.0003501708138292093,5e-09,4.999851938812504e-09,-1.4806118749623402e-13,0.000148061187496234,4.438762733389486e-05,6.067342075285719e-06,0.21617529772411084,578.5340261062165,0.21631840949807746,0.5332244976139925,0.5332244976139925,0.0003501708138292093,direct_vp,adaptive_jones,fixed_pol_anchor,True,False,[],0.39977192831276664,True,7,0.7497719283127666,lowest_raw_objective,False,False,nan,False,
