figure,variant,trial_id,seed,snr_db,x_name,x_value,K,paper_k,effective_K,num_ris_paths,receiver_mode,config_seed,nested_receiver_noise_convention,reference_receiver_mode,reference_sigma2,nested_base_y_noisy_hash,failed,error,runtime_s,position_rmse_m,position_error_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,final_runner_name,used_main_single_proposed_path,variant_config_hash,global_vp_mode,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,jones_mode,adaptive_enabled,adaptive_policy_name,selected_vp_family_branch,lambda_path_min,lambda_path_max,lambda_path_mean,lambda_clipped_fraction,used_stage1_regularizer,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m,efim_unscaled_cache_hit,efim_unscaled_cache_key,efim_sigma2,efim_reuse_mode,peb_backend,rss_mb_before,rss_mb_after,rss_mb_delta,warning,debug_main_position_error_m,debug_main_y_nmse,debug_main_raw_objective,debug_main_global_vp_mode,debug_main_adaptive_enabled,debug_config_diff_summary
fig1,free_jones_vp_force_rescue,3,3422926171,-5.0,snr_db,-5.0,3,3,3,3,full_6d,3422926171,,,nan,,False,,51.511900924000656,0.0010871579094294404,0.0010871579094294404,5.764881464264617e-05,0.0008631505780307651,2.443996053551284e-12,0.8795843503701042,False,direct_vp_rollback,global_exact_spherical_vp,proposed_post_stage1,False,36fc0ac31668bb5f,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[3.481986935494526e-05,1.5783657661262461e-06,4.404564482287525e-06]",jnpp_then_vp,"[""poor_clock_consistency""]",3097537.559593045,3096560,True,2710397.811508374,79.33764435318284,9.10669275584801,0.12097259812745595,"[4.881569325422579,4.8762380069529625,5.135483761912698]",19.964037101999565,21.191657363999184,41.526171665998845,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,
fig1,PEB,3,3422926171,-5.0,snr_db,-5.0,3,3,3,3,full_6d,3422926171,,,nan,,False,,1.4912263830010488,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,2cf724d492777f60,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0006147117865929366,nan,nan,0.0006147117865929366,False,46cd992e29b4ed53a81086c84bc1f4ac1f18d574a113993f628fc89e5c6f52c7,0.8793113035534897,computed_unscaled,cpu,nan,nan,nan,,,,,,,
fig1,free_jones_vp,4,287230138,-5.0,snr_db,-5.0,3,3,3,3,full_6d,287230138,,,nan,,False,,22.46140316399942,0.0014298778327011788,0.0014298778327011788,5.6062819785609865e-05,0.0012511697840149926,7.951126005263394e-13,1.5631866729069863,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,1b18a35984c0e015,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[2.201562789934982e-05,1.0989090309773252e-06,3.4988187349362706e-05]",direct_vp,"[""poor_clock_consistency""]",3096355.4676463087,3096560,True,2914061.3298018887,76.0908641472897,7.760559543388096,0.10951426291017455,"[4.7821330147461145,4.959851240573842,5.045010391557474]",22.224478387001,20.738798764999956,43.36625449799976,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,
fig1,free_jones_vp_force_rescue,4,287230138,-5.0,snr_db,-5.0,3,3,3,3,full_6d,287230138,,,nan,,False,,70.12948258799952,0.0014298778327011788,0.0014298778327011788,5.6062819785609865e-05,0.0012511697840149926,7.951126005263394e-13,1.5631866729069863,False,direct_vp_rollback,global_exact_spherical_vp,proposed_post_stage1,False,b77e3e2eb5640546,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[2.201562789934982e-05,1.0989090309773252e-06,3.4988187349362706e-05]",jnpp_then_vp,"[""poor_clock_consistency""]",3096355.4676463087,3096560,True,2914061.3298018887,76.0908641472897,7.760559543388096,0.10951426291017455,"[4.7821330147461145,4.959851240573842,5.045010391557474]",22.224478387001,22.60166276400014,45.229118496999945,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,
fig1,PEB,4,287230138,-5.0,snr_db,-5.0,3,3,3,3,full_6d,287230138,,,nan,,False,,1.5131188699997438,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,5cb276173b765e39,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0005643399933614237,nan,nan,0.0005643399933614237,False,5e2bbcb0020ceb055cecd7713a3c0bd2d6345de855a642d5a5df4231b5553da9,1.5632980080685457,computed_unscaled,cpu,nan,nan,nan,,,,,,,
fig1,free_jones_vp,5,2290547997,-5.0,snr_db,-5.0,3,3,3,3,full_6d,2290547997,,,nan,,False,,347.16848249599934,0.029665019517037504,0.029665019517037504,0.009141528219855014,0.009817447856015005,2.3560657177079397e-12,0.8650385156800184,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,4617285557c89c55,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[9.774803288362846e-05,2.9330392419496112e-08,2.290671032785759e-05]",jnpp_then_vp,[],3102803.044782494,3096560,False,2505420.328117342,67.26356425359282,10.368927102209787,0.056115318459548036,"[4.979592740516133,5.047070635049977,5.117039115955457]",21.030078327999945,317.6945869840001,339.09223711699997,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,
fig1,free_jones_vp_force_rescue,5,2290547997,-5.0,snr_db,-5.0,3,3,3,3,full_6d,2290547997,,,nan,,False,,370.4754562939979,0.0010378065191548479,0.0010378065191548479,1.6879292916006933e-05,9.591841342240941e-05,1.4844730730049522e-12,0.8625768485168186,False,ris_only_stage2_then_vp,global_exact_spherical_vp,proposed_post_stage1,False,d85a815505e3252e,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[8.891492039665776e-05,6.636309698468238e-08,2.5357498300387465e-05]",jnpp_then_vp,[],3102803.044782494,3096560,False,2505420.328117342,67.26356425359282,10.368927102209787,0.056115318459548036,"[4.979592740516133,5.047070635049977,5.117039115955457]",21.030078327999945,12.56209229900196,36.19560290400477,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,
fig1,PEB,5,2290547997,-5.0,snr_db,-5.0,3,3,3,3,full_6d,2290547997,,,nan,,False,,1.4656035660009366,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,53e2e945c682c3fc,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0006822757723125871,nan,nan,0.0006822757723125871,False,67bda20771f0d568ecce0f5655027c82d34411909a85bc35ee765accf01ed33e,0.8633024616998022,computed_unscaled,cpu,nan,nan,nan,,,,,,,
fig1,free_jones_vp,0,3147786918,5.0,snr_db,5.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,346.12071556900264,0.005096734280413984,0.005096734280413984,0.0007598173945118264,0.004411479911182316,2.9120319166993895e-12,0.12562490739319934,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,f26186a2197bbac5,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[1.2041169524824294e-06,1.8422558670623895e-07,2.151877739915374e-06]",jnpp_then_vp,[],3102886.4563896,3096560,False,25991378.074788798,69.74806356452007,32.03517959043986,0.013774033144991437,"[5.001315217277944,4.967576296916566,4.984297802734764]",23.930750597999577,306.20244033100244,330.5232812320028,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,
fig1,free_jones_vp_force_rescue,0,3147786918,5.0,snr_db,5.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,383.2072386539985,0.0001615939719488058,0.0001615939719488058,1.5575797726655782e-06,6.940301744512653e-05,1.6275797293566044e-13,0.1253249493996493,False,ris_only_stage2_then_vp,global_exact_spherical_vp,proposed_post_stage1,False,336e84ca2f258e04,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[1.2843231963603386e-06,1.9160641732156254e-07,2.4636536790113786e-06]",jnpp_then_vp,[],3102886.4563896,3096560,False,25991378.074788798,69.74806356452007,32.03517959043986,0.013774033144991437,"[5.001315217277944,4.967576296916566,4.984297802734764]",23.930750597999577,14.598604514001636,41.857406530001754,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,
