figure,variant,trial_id,seed,snr_db,x_name,x_value,K,paper_k,effective_K,num_ris_paths,receiver_mode,config_seed,nested_receiver_noise_convention,reference_receiver_mode,reference_sigma2,nested_base_y_noisy_hash,failed,error,runtime_s,position_rmse_m,position_error_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,final_runner_name,used_main_single_proposed_path,variant_config_hash,global_vp_mode,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,jones_mode,adaptive_enabled,adaptive_policy_name,selected_vp_family_branch,lambda_path_min,lambda_path_max,lambda_path_mean,lambda_clipped_fraction,used_stage1_regularizer,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m,peb_free_jones_m,peb_constrained_jones_m,peb_anchored_jones_m,peb_variant,jones_bound_type,constrained_jones_peb_m,anchored_jones_peb_m,free_jones_peb_m,peb_fim_rank_chi_free,peb_fim_rank_chi_constrained,peb_fim_rank_chi_anchored,peb_fim_cond_chi_free,peb_fim_cond_chi_constrained,peb_fim_cond_chi_anchored,peb_clock_schur_used,peb_rank_deficient,anchored_prior_scaling,anchored_prior_lambda,anchored_prior_precision_norm,peb_free_projection_schur_relerr,peb_con_minus_free_min_eig,peb_hyb_minus_free_min_eig,peb_ordering_ok,efim_unscaled_cache_hit,efim_unscaled_cache_key,efim_sigma2,efim_reuse_mode,peb_backend,rss_mb_before,rss_mb_after,rss_mb_delta,warning,debug_main_position_error_m,debug_main_y_nmse,debug_main_raw_objective,debug_main_global_vp_mode,debug_main_adaptive_enabled,debug_config_diff_summary,direct_candidate_position_error_m,direct_candidate_y_nmse,direct_candidate_raw_objective,rescue_candidate_position_error_m,rescue_candidate_y_nmse,rescue_candidate_raw_objective,rescue_candidate_available,rescue_accept_decision,rescue_reject_reason,direct_candidate_lambda_jones_per_path,direct_candidate_snr_eff_per_path,direct_candidate_jones_leakage_per_path,rescue_candidate_lambda_jones_per_path,rescue_candidate_snr_eff_per_path,rescue_candidate_jones_leakage_per_path,direct_candidate_data_only_scaled_efim_lambda_min,direct_candidate_data_only_scaled_efim_condition_number,rescue_candidate_data_only_scaled_efim_lambda_min,rescue_candidate_data_only_scaled_efim_condition_number,legacy_stage1_decision,gof_reliability_decision,stage1_geometry_trigger,stage1_geometry_trigger_reasons,ngc_policy_active,ngc_lambda_ris,ngc_direct_clock_score,ngc_direct_clock_score_norm,ngc_direct_clock_dof,ngc_direct_clock_sigma_source,ngc_direct_clock_std_ns,ngc_direct_ris_score,ngc_direct_ris_score_norm,ngc_direct_ris_available,ngc_direct_total_score,ngc_direct_cert_status,ngc_direct_cert_reason,ngc_rescue_requested,ngc_rescue_request_reason,ngc_rescue_clock_score,ngc_rescue_clock_score_norm,ngc_rescue_clock_dof,ngc_rescue_clock_sigma_source,ngc_rescue_clock_std_ns,ngc_rescue_ris_score,ngc_rescue_ris_score_norm,ngc_rescue_ris_available,ngc_rescue_total_score,ngc_rescue_cert_status,ngc_rescue_cert_reason,ngc_selected_by,ngc_final_unreliable,ngc_threshold_clock_green,ngc_threshold_clock_red,proposed_stage2_policy
fig3,scalar_receiver,0,3147786918,0.0,snr_db,0.0,3,3,3,3,scalar,3147786918,fixed_full6d_reference_sigma2,full_6d,0.3964529139661309,f4e3c9fc9e302c66,False,,285.1660483299638,0.4365959292853707,0.4365959292853707,0.9640784449954618,0.34150078089374875,4.177382284615189e-09,0.07334185813384951,True,ris_only_stage2_then_vp,global_exact_spherical_vp,,False,,adaptive_jones,cpu,False,,numpy,numpy.linalg.solve,fixed_pol_anchor,False,,fixed_pol_anchor,nan,nan,nan,nan,False,3,4,3096725.458075429,3107725.8477491536,"[25.571513098498187,1089999.914305004,27.432220210534616]","[0.03910601598437124,9.174302647883197e-07,0.03645348397970881]","[1.9319995789018146e-12,2.606933214856479e-14,3.841941709861285e-05]",jnpp_then_vp,"[""low_assignment_margin"",""poor_clock_consistency""]",573379.6054827058,3096560,True,802.9407798643786,587.5781055130293,0.0057100694674797215,48.351937863956444,"[4.581146923253383,111.06155123515995,12.909912322192824]",25.229957166011445,85.02869695896516,114.84886302199448,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,,False,,nan,,,nan,nan,nan,,,,,,,,0.7828711148662922,0.9702916783312286,0.07340947401335192,0.4365959292853707,0.9640784449954618,0.07334185813384951,True,accepted,accepted,"[973.3369223945396,37877.7172575967,85.66718018019509]","[0.001027393470871863,2.6400745201236335e-05,0.011673081777769512]","[2.857026027878347e-09,3.5687280448326653e-17,0.003969720848833908]","[25.571513098498187,1089999.914305004,27.432220210534616]","[0.03910601598437124,9.174302647883197e-07,0.03645348397970881]","[1.9319995789018146e-12,2.606933214856479e-14,3.841941709861285e-05]",802.9407798643786,587.5781055130293,4.5917543811885135,9658.65604464575,ris_only_stage2_then_vp,direct_vp,True,"[""low_assignment_margin"",""poor_clock_consistency""]",True,1.0,33676.52422942361,33676.52422942361,2,data_only_efim_tau_crb,52.975249118042235,1.4454804248338786,1.4454804248338786,True,33677.96970984844,red,clock_red,True,ngc_red_run_rescue,33360.994818537394,33360.994818537394,2,sigma_tau_k,52.726491458703975,0.8523527729269882,0.8523527729269882,True,33361.84717131032,red,clock_red,both_uncertified_lower_raw,True,9.21034037197618,13.815510557964274,ngc_certified_ris_only
fig3,dual_pol_receiver,0,3147786918,0.0,snr_db,0.0,3,3,3,3,dual_pol,3147786918,fixed_full6d_reference_sigma2,full_6d,0.3964529139661309,f4e3c9fc9e302c66,False,,86.66035168594681,0.0009231564187864565,0.0009231564187864565,2.2696132059329093e-05,6.649731896073571e-05,1.6609800797489533e-12,0.13230680189547686,False,direct_vp,global_exact_spherical_vp,,False,,adaptive_jones,cpu,False,,numpy,numpy.linalg.solve,fixed_pol_anchor,False,,fixed_pol_anchor,nan,nan,nan,nan,False,3,4,3096725.458075429,3647521.732641139,"[1.8657662263127088,0.6272648359265943,1.0192035902761607]","[0.5359728276218303,1.5942229545231477,0.9811582391777323]","[1.5552356695843877e-09,6.4304416940052845e-09,5.921627321825856e-09]",direct_vp,"[""poor_clock_consistency""]",1033409.1463413704,3096560,True,422177.05801999295,74.07493158120064,1.1160848935415182,0.14587167046757235,"[4.830698615710008,4.9535486721297035,5.182699532167243]",27.571871694002766,57.105744048021734,85.11391275003552,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,,False,,nan,,,nan,nan,nan,,,,,,,,0.0009231564187864565,2.2696132059329093e-05,0.13230680189547686,nan,nan,nan,False,not_run,not_requested,"[1.8657662263127088,0.6272648359265943,1.0192035902761607]","[0.5359728276218303,1.5942229545231477,0.9811582391777323]","[1.5552356695843877e-09,6.4304416940052845e-09,5.921627321825856e-09]",,,,422177.05801999295,74.07493158120064,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",True,1.0,0.013650013120303945,0.013650013120303945,2,data_only_efim_tau_crb,0.033726860117103435,0.00018299330502558557,0.00018299330502558557,True,0.01383300642532953,green,clock_green,False,ngc_green_skip_rescue,nan,nan,2,,nan,nan,nan,False,nan,,candidate_unavailable,ngc_green_skip_rescue,False,9.21034037197618,13.815510557964274,ngc_certified_ris_only
fig3,full_6d_evs,0,3147786918,0.0,snr_db,0.0,3,3,3,3,full_6d,3147786918,fixed_full6d_reference_sigma2,full_6d,0.3964529139661309,f4e3c9fc9e302c66,False,,89.96665176999522,0.0003723716436899067,0.0003723716436899067,2.5944651614142025e-06,5.721527863946788e-05,3.143384752160799e-13,0.39631128991806286,False,direct_vp,global_exact_spherical_vp,,False,,adaptive_jones,cpu,False,,numpy,numpy.linalg.solve,fixed_pol_anchor,False,,fixed_pol_anchor,nan,nan,nan,nan,False,3,4,3096725.458075429,3104067.0042777415,"[7.275069260650052,1.8719907505636337,3.023221971586423]","[0.1374557360438616,0.5341906735901554,0.33077293344498654]","[5.998673273306178e-08,7.613126329083261e-08,4.394607412959129e-07]",direct_vp,[],3095469.816610192,3096560,True,8234768.789405483,69.74848141715064,17.590422289122607,0.024728192784879918,"[5.003057421038621,4.942549780190982,4.970396344476029]",25.812281714985147,62.01441162900301,88.26299035199918,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,,False,,nan,,,nan,nan,nan,,,,,,,,0.0003723716436899067,2.5944651614142025e-06,0.39631128991806286,nan,nan,nan,False,not_run,not_requested,"[7.275069260650052,1.8719907505636337,3.023221971586423]","[0.1374557360438616,0.5341906735901554,0.33077293344498654]","[5.998673273306178e-08,7.613126329083261e-08,4.394607412959129e-07]",,,,8234768.789405483,69.74848141715064,nan,nan,direct_vp,direct_vp,False,[],True,1.0,0.002155175210974686,0.002155175210974686,2,data_only_efim_tau_crb,0.013401415382260582,2.101648240271932e-05,2.101648240271932e-05,True,0.0021761916933774055,green,clock_green,False,ngc_green_skip_rescue,nan,nan,2,,nan,nan,nan,False,nan,,candidate_unavailable,ngc_green_skip_rescue,False,9.21034037197618,13.815510557964274,ngc_certified_ris_only
fig3,full_6d_evs_peb,0,3147786918,0.0,snr_db,0.0,3,3,3,3,full_6d,3147786918,fixed_full6d_reference_sigma2,full_6d,0.3964529139661309,f4e3c9fc9e302c66,False,,4.67855277901981,nan,nan,nan,nan,nan,nan,False,,,,False,,,,,,,,,False,,,nan,nan,nan,nan,False,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0003571212682911131,nan,nan,0.0003571212682911131,0.0003571212682911131,0.00035711608889142296,nan,free_jones_peb,free,0.00035711608889142296,nan,0.0003571212682911131,4.0,4.0,0.0,69.84801761628606,69.84558422826285,nan,True,False,disabled,nan,nan,1.5144024991878965e-15,34.10036768804721,nan,True,False,962164d98d323cdd7cb400e4eec2c624a67a3254e86d277bb8039d2bde664ab1,0.3964529139661309,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,,,,,,,,nan,nan,nan,nan,,,,[],False,nan,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan,
fig3,full_6d_constrained_jones_peb,0,3147786918,0.0,snr_db,0.0,3,3,3,3,full_6d,3147786918,fixed_full6d_reference_sigma2,full_6d,0.3964529139661309,f4e3c9fc9e302c66,False,,0.00040347996400669217,nan,nan,nan,nan,nan,nan,False,,,,False,,,,,,,,,False,,,nan,nan,nan,nan,False,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.00035711608889142296,nan,nan,0.00035711608889142296,0.0003571212682911131,0.00035711608889142296,nan,constrained_jones_peb,constrained,0.00035711608889142296,nan,0.0003571212682911131,4.0,4.0,0.0,69.84801761628606,69.84558422826285,nan,True,False,disabled,nan,nan,1.5144024991878965e-15,34.10036768804721,nan,True,False,962164d98d323cdd7cb400e4eec2c624a67a3254e86d277bb8039d2bde664ab1,0.3964529139661309,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,,,,,,,,nan,nan,nan,nan,,,,[],False,nan,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan,
