suite,x_name,x_value,variant,variant_label,n,n_failed,n_success,success_rate,failure_rate,position_rmse_m,position_mean_error_m,position_conditional_rmse_m,position_median_m,position_p90_m,position_p95_m,peb_position_m_mean,peb_position_m_rms,clock_rmse_ns,clock_median_ns,clock_p90_ns,clock_p95_ns,channel_nmse_mean,channel_nmse_median,channel_nmse_p90,channel_nmse_p95,conditional_outlier_rate,outlier_rate,catastrophic_rate,outlier_ci_low,outlier_ci_high,outlier_ci_method,runtime_mean_s,runtime_median_s,runtime_p95_s,peak_rss_median_mb,peak_rss_max_mb,stage1_runtime_median_s,mksc_projection_runtime_median_s,common_geometry_runtime_median_s,anchor_refresh_runtime_median_s,stage3_runtime_median_s,clock_certificate_rate,clock_certificate_gap_p95,stage1_basin_acquisition_rate,stage1_delay_rmse_ns_median,stage1_delay_rmse_ns_p95,common_geometry_hessian_min_eig_median
positions,position_index,0,proposed,MKSC-GI-balanced + CCOP-JVP,30,0,30,1.0,0.0,0.0010878292568334592,0.0009445999623331827,0.0010878292568334592,0.000840484490134973,0.001753400974801475,0.0019213961452795082,0.0011214330955251475,0.0011287381358544028,0.003460607536995728,0.002685751309963344,0.005742714635986992,0.0062905704277305885,4.7078686472879144e-05,4.851331645419097e-05,6.449075539373734e-05,7.072667063036198e-05,0.0,0.0,0.0,0.0,0.11570330822202778,Clopper-Pearson exact,19.583148428083707,22.192599657457322,24.94460510141216,nan,nan,21.41772773861885,0.6447539278306067,1.7749233916401863,0.1731825741007924,0.6107177673839033,1.0,4.349699314429901e-10,1.0,0.026329897258536017,0.0755393434666149,15.6127073437255
positions,position_index,0,scaled_4d,Frozen Stage-I + scaled 4-D Jones-VP,30,0,30,1.0,0.0,0.9832085084799739,0.9667111986409128,0.0008517734376749873,1.0000046616022498,1.0000347402304848,1.0000825233834558,0.0011214330955251475,0.0011287381358544028,0.1342428486770626,0.12767043870074465,0.14976135570367072,0.19102657513288848,0.22818783742825074,0.23261694433597474,0.3048793222793519,0.3641003790549014,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.8278305443665873,0.9991564290733695,Clopper-Pearson exact,17.83165017875532,20.14572772476822,22.06274001551792,nan,nan,18.99638927448541,0.0,0.0,0.0,0.7074133437126875,nan,nan,0.03333333333333333,0.0404683764253632,0.659916570273807,nan
positions,position_index,1,proposed,MKSC-GI-balanced + CCOP-JVP,30,0,30,1.0,0.0,0.19321468053235158,0.07275277144668099,0.0032448173426964533,0.0028054285132469107,0.48786422210486774,0.5339500584799254,0.002832906029187457,0.002991159809267696,0.003929771553549742,0.0027653329822107517,0.006336881716168366,0.007770084370512788,0.0009930568626139074,5.0807697334018196e-05,0.004506067846923158,0.007276608173462042,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.037553496338363315,0.30721835027612676,Clopper-Pearson exact,20.631305794852477,22.128160995431244,26.6950869389344,nan,nan,21.4181425771676,0.63063361402601,2.305413701571524,0.17650786554440856,0.719060086645186,1.0,5.226741950476805e-10,0.8666666666666667,0.02392969226780651,0.10561058685101253,2.1284997296855126
positions,position_index,1,scaled_4d,Frozen Stage-I + scaled 4-D Jones-VP,30,0,30,1.0,0.0,0.29488228325026533,0.17852228627112948,0.0034018690444411023,0.004166309462383871,0.5313986285251386,0.5509383811970089,0.002832906029187457,0.002991159809267696,0.004871682467240398,0.0027646593586696817,0.008885527492030258,0.009366330805878691,0.003831505696648617,6.081511941997506e-05,0.013402912305272123,0.015455827375947669,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.19929862501203444,0.5614401509880425,Clopper-Pearson exact,18.22244558321933,21.034481775015593,23.530469216825438,nan,nan,19.384164514485747,0.0,0.0,0.0,1.1401257240213454,nan,nan,0.2,0.038642200800544146,0.6538324204688386,nan
positions,position_index,10,proposed,MKSC-GI-balanced + CCOP-JVP,30,0,30,1.0,0.0,0.0009625643855276356,0.000827244936304922,0.0009625643855276356,0.0006642821156553014,0.00149105186886707,0.0018270903528016295,0.0008994739098787862,0.000909431867692543,0.004166787983920796,0.002511830873610166,0.007869967390096487,0.008549475504252623,5.577538125885218e-05,5.768302036149333e-05,8.302319264875508e-05,8.87996550346389e-05,0.0,0.0,0.0,0.0,0.11570330822202778,Clopper-Pearson exact,19.388463049319885,19.937111418694258,25.663897658325723,nan,nan,19.36047464190051,0.7716172076761723,1.5122720198705792,0.1317806295119226,0.4726037448272109,1.0,5.214777801816195e-10,1.0,0.02418155379931019,0.17164573747424572,23.722565260534047
positions,position_index,10,scaled_4d,Frozen Stage-I + scaled 4-D Jones-VP,30,0,30,1.0,0.0,0.9487194325723292,0.9000738133348956,0.00041656425510838387,1.0000092543477945,1.0000796441739381,1.0001798126452046,0.0008994739098787862,0.000909431867692543,0.1418426997722141,0.13812186026429119,0.17607228969694086,0.19652850141465464,0.28766978980962377,0.3030870616186022,0.40473272467858684,0.4977499989005169,0.9,0.9,0.9,0.7347115495257919,0.9788828629702774,Clopper-Pearson exact,17.438266659279666,17.337261247914284,26.13536775768733,nan,nan,16.46422903984785,0.0,0.0,0.0,0.7342186495661736,nan,nan,0.1,0.041269954994488545,1.0063759000140937,nan
positions,position_index,11,proposed,MKSC-GI-balanced + CCOP-JVP,30,0,30,1.0,0.0,0.14506804032781873,0.03900652632797336,0.002208033275737924,0.0013750585359797421,0.0048034481753300535,0.2964853795958903,0.002184304471628454,0.002322390033904168,0.004247292174256969,0.002840183894224398,0.007300419551544254,0.007997172571580549,0.0005809477790867895,6.0375520188217734e-05,8.814711890301933e-05,0.0023275131177371545,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.008178134460656307,0.22073540152296187,Clopper-Pearson exact,20.40065693045035,21.68378637218848,27.481505243433638,nan,nan,20.757998577784747,0.6949519319459796,2.415713168680668,0.16749735455960035,0.7389226835221052,1.0,4.286715791271076e-10,0.9333333333333333,0.03146751630674756,0.19633140462871582,3.854090646756682
positions,position_index,11,scaled_4d,Frozen Stage-I + scaled 4-D Jones-VP,30,0,30,1.0,0.0,0.20050931586180668,0.08291252771179022,0.002231945401886978,0.001455539874879283,0.46288078854878173,0.5130085310694033,0.002184304471628454,0.002322390033904168,0.8258231593557652,0.003739797108650727,0.008087010366340342,0.009023156093020256,0.03458516123148012,6.35554915044115e-05,0.015669541168958762,0.026722079676823916,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.056421696468071485,0.34721169883414377,Clopper-Pearson exact,17.73867504565666,18.891985676251352,24.831255987985056,nan,nan,17.807936349418014,0.0,0.0,0.0,0.9765904429368675,nan,nan,0.36666666666666664,0.0395583853879902,2.3265340386920244,nan
positions,position_index,12,proposed,MKSC-GI-balanced + CCOP-JVP,30,0,30,1.0,0.0,0.0008244097708109397,0.0007216499851562748,0.0008244097708109397,0.0005782533928847636,0.0013211502870900595,0.00149001322712153,0.0008864989605095287,0.0008919973289831501,0.00376203317609874,0.002556317220009107,0.006130105656620739,0.007540770287398727,5.092975175424035e-05,5.227647357958764e-05,6.627104705966788e-05,7.683758145197397e-05,0.0,0.0,0.0,0.0,0.11570330822202778,Clopper-Pearson exact,18.693600399109226,19.853425950277597,25.64291381333023,nan,nan,19.21518603991717,0.8869282505474985,1.6808639746159315,0.15150499483570457,0.5868108011782169,1.0,8.090588770366068e-10,1.0,0.040164068575888036,0.3680157627887267,21.964821227513895
positions,position_index,12,scaled_4d,Frozen Stage-I + scaled 4-D Jones-VP,30,0,30,1.0,0.0,1.0104430732432441,1.0097589875574935,nan,1.0000068668050008,1.000081494852301,1.0647694578901805,0.0008864989605095287,0.0008919973289831501,0.3285800974843362,0.14085641909311852,0.184062714943617,0.21892869208032312,0.39071892112177253,0.3537223880130505,0.5901351813617062,0.8325572926588948,1.0,1.0,1.0,0.8842966917779722,1.0,Clopper-Pearson exact,16.485240809526296,17.87133381422609,22.74095626650378,nan,nan,16.932008793577552,0.0,0.0,0.0,0.6776258973404765,nan,nan,0.0,0.07811302033720104,13.22153646964973,nan
