figure,variant,x_value,metric,plot_metric_name,plot_y_mean,plot_y_median,plot_y_std,plot_y_p10,plot_y_p90,mean,median,std,p10,p90,success_rate,outlier_rate,n,K,paper_k,effective_K,position_rmse_m_mean,position_rmse_m_median,position_rmse_m_std,position_rmse_m_p10,position_rmse_m_p90,y_nmse_mean,y_nmse_median,y_nmse_std,y_nmse_p10,y_nmse_p90,range_rmse_m_mean,range_rmse_m_median,range_rmse_m_std,range_rmse_m_p10,range_rmse_m_p90,tau_rmse_s_mean,tau_rmse_s_median,tau_rmse_s_std,tau_rmse_s_p10,tau_rmse_s_p90,raw_objective_final_mean,raw_objective_final_median,raw_objective_final_std,raw_objective_final_p10,raw_objective_final_p90,outlier_flag_mean,outlier_flag_median,outlier_flag_std,outlier_flag_p10,outlier_flag_p90,peb_position_m_mean,peb_position_m_median,peb_position_m_std,peb_position_m_p10,peb_position_m_p90,peb_scalar_m_mean,peb_scalar_m_median,peb_scalar_m_std,peb_scalar_m_p10,peb_scalar_m_p90,peb_dual_m_mean,peb_dual_m_median,peb_dual_m_std,peb_dual_m_p10,peb_dual_m_p90,peb_evs_m_mean,peb_evs_m_median,peb_evs_m_std,peb_evs_m_p10,peb_evs_m_p90
fig2,adaptive_jones_vp_proposed,0.0,y_nmse,y_nmse,2.5944912754832633e-06,2.5944912754832633e-06,0.0,2.5944912754832633e-06,2.5944912754832633e-06,2.5944912754832633e-06,2.5944912754832633e-06,0.0,2.5944912754832633e-06,2.5944912754832633e-06,1.0,0.0,1,3,3,3,0.00037238381202209746,0.00037238381202209746,0.0,0.00037238381202209746,0.00037238381202209746,2.5944912754832633e-06,2.5944912754832633e-06,0.0,2.5944912754832633e-06,2.5944912754832633e-06,5.72172349593492e-05,5.72172349593492e-05,0.0,5.72172349593492e-05,5.72172349593492e-05,3.143389201928596e-13,3.143389201928596e-13,0.0,3.143389201928596e-13,3.143389201928596e-13,0.39631128991806286,0.39631128991806286,0.0,0.39631128991806286,0.39631128991806286,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,fixed_pol_vp,0.0,y_nmse,y_nmse,2.5944912754832633e-06,2.5944912754832633e-06,0.0,2.5944912754832633e-06,2.5944912754832633e-06,2.5944912754832633e-06,2.5944912754832633e-06,0.0,2.5944912754832633e-06,2.5944912754832633e-06,1.0,0.0,1,3,3,3,0.00037238381202209746,0.00037238381202209746,0.0,0.00037238381202209746,0.00037238381202209746,2.5944912754832633e-06,2.5944912754832633e-06,0.0,2.5944912754832633e-06,2.5944912754832633e-06,5.72172349593492e-05,5.72172349593492e-05,0.0,5.72172349593492e-05,5.72172349593492e-05,3.143389201928596e-13,3.143389201928596e-13,0.0,3.143389201928596e-13,3.143389201928596e-13,0.39631128991806286,0.39631128991806286,0.0,0.39631128991806286,0.39631128991806286,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,free_jones_vp,0.0,y_nmse,y_nmse,0.00235379166599074,0.00235379166599074,0.0,0.00235379166599074,0.00235379166599074,0.00235379166599074,0.00235379166599074,0.0,0.00235379166599074,0.00235379166599074,1.0,0.0,1,3,3,3,0.00898841659339279,0.00898841659339279,0.0,0.00898841659339279,0.00898841659339279,0.00235379166599074,0.00235379166599074,0.0,0.00235379166599074,0.00235379166599074,0.0077827340583646685,0.0077827340583646685,0.0,0.0077827340583646685,0.0077827340583646685,5.1053850479665605e-12,5.1053850479665605e-12,0.0,5.1053850479665605e-12,5.1053850479665605e-12,0.39724257915295164,0.39724257915295164,0.0,0.39724257915295164,0.39724257915295164,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,regularized_jones_vp,0.0,y_nmse,y_nmse,0.0023531940109062046,0.0023531940109062046,0.0,0.0023531940109062046,0.0023531940109062046,0.0023531940109062046,0.0023531940109062046,0.0,0.0023531940109062046,0.0023531940109062046,1.0,0.0,1,3,3,3,0.008985514877040477,0.008985514877040477,0.0,0.008985514877040477,0.008985514877040477,0.0023531940109062046,0.0023531940109062046,0.0,0.0023531940109062046,0.0023531940109062046,0.007780271177252222,0.007780271177252222,0.0,0.007780271177252222,0.007780271177252222,5.103533431157016e-12,5.103533431157016e-12,0.0,5.103533431157016e-12,5.103533431157016e-12,0.3972422282872148,0.3972422282872148,0.0,0.3972422282872148,0.3972422282872148,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,stage1_only,0.0,y_nmse,y_nmse,0.0002446619708887267,0.0002446619708887267,0.0,0.0002446619708887267,0.0002446619708887267,0.0002446619708887267,0.0002446619708887267,0.0,0.0002446619708887267,0.0002446619708887267,1.0,1.0,1,3,3,3,0.2000519753751517,0.2000519753751517,0.0,0.2000519753751517,0.2000519753751517,0.0002446619708887267,0.0002446619708887267,0.0,0.0002446619708887267,0.0002446619708887267,0.017890330241315883,0.017890330241315883,0.0,0.017890330241315883,0.017890330241315883,3.3395196400069465e-11,3.3395196400069465e-11,0.0,3.3395196400069465e-11,3.3395196400069465e-11,0.3964068455305714,0.3964068455305714,0.0,0.3964068455305714,0.3964068455305714,1.0,1.0,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
