lambda_rel,num_success,median_rmse_m,mean_rmse_m,p90_rmse_m,outlier_rate_0p1m,median_y_nmse,median_runtime_s,direct_vp_rate,jnpp_selected_rate
0.0001,20,0.0011375575107800448,0.00825000275918832,0.0027995598851268183,0.05,3.950333368434974e-05,39.645850987013546,0.95,0.05
0.0003,20,0.001137554230387635,0.026596354398670297,0.002799636562595105,0.05,3.950324096791605e-05,43.009770719509106,0.95,0.05
0.001,20,0.0011375770444561825,0.02659638978557218,0.0027996584183750646,0.05,3.9503288603978746e-05,40.58325979000074,0.95,0.05
0.003,20,0.0011376244713104703,0.02659634071216511,0.002799629523487528,0.05,3.9503487765412856e-05,42.44969570249668,0.95,0.05
0.01,20,0.0011376097216855053,0.009641858010758054,0.0027996423872627186,0.05,3.950336740183956e-05,39.96517586799746,0.95,0.05
