snr_db,seed,lambda_rel,lambda_floor,selected_branch,ue_position_rmse_m,y_nmse,raw_objective,total_runtime_s,assignment_margin,sigma_delta_t_ns,rank1_ratio_max,initial_z_residual,direct_vp_good,direct_vp_raw_objective,direct_vp_nfev,stage2_rescue_mode,jnpp_num_candidates,jnpp_best_objective,jnpp_best_clock_std_ns,jnpp_runtime_s,error_message
-10.0,2025,0.0001,1e-12,direct_vp,0.0015075950681243643,2.220088107024157e-05,2.651258773715797,39.19071639201138,16.279958299445703,0.06883004223280886,0.15428412180035778,0.9071508183141136,True,2.651258773715797,5,,nan,nan,nan,nan,
-10.0,2026,0.0001,1e-12,direct_vp,0.0005772873860919648,7.367423781649837e-05,4.702274846692375,40.474135977972765,20.40974972821606,0.01353217097154638,0.11002625574071218,0.9100489543670038,True,4.702274846692375,5,,nan,nan,nan,nan,
-10.0,2027,0.0001,1e-12,direct_vp,0.0017771695590686,1.61817857683454e-05,0.7882922958898317,37.281180910998955,38.26466242623077,0.104917333579713,0.10477521323624346,0.9086367072731638,True,0.7882922958898317,5,,nan,nan,nan,nan,
-10.0,2028,0.0001,1e-12,direct_vp,0.0008494783667466993,4.5677005010591e-05,3.3985253658328776,38.699317124002846,17.876730166590235,0.010278440822331853,0.12944379563670758,0.9094193520333538,True,3.3985253658328776,5,,nan,nan,nan,nan,
-10.0,2029,0.0001,1e-12,direct_vp,0.0028016600458314264,1.7221375890382846e-05,3.3319348281536225,37.47994429900427,16.99300157724517,0.036072497692193624,0.15548248081382832,0.9088926919289378,True,3.3319348281536225,5,,nan,nan,nan,nan,
-10.0,2030,0.0001,1e-12,direct_vp,0.0010900316773768462,4.621961576373927e-05,7.982647277633265,41.38725877599791,17.408032367095487,0.070623154088083,0.17866495327617749,0.9078108199758167,True,7.982647277633265,5,,nan,nan,nan,nan,
-10.0,2031,0.0001,1e-12,direct_vp,0.0008114431847264232,2.1404972856093495e-05,1.8360057918061343,35.97739504100173,19.181974035784474,0.05378724300179149,0.11840124043270636,0.908629614968615,True,1.8360057918061343,5,,nan,nan,nan,nan,
-10.0,2032,0.0001,1e-12,direct_vp,0.0005409073653360511,5.690173437978163e-05,4.750596863257249,38.82716015301412,19.14300946029916,0.0422141630058262,0.11066612290094877,0.908296532834236,True,4.750596863257249,5,,nan,nan,nan,nan,
-10.0,2033,0.0001,1e-12,direct_vp,0.0027993265339374173,5.067654588799759e-05,0.4603031549912284,47.926680253003724,6.205990649607007,0.5657896726322967,0.6066324370391177,0.9095899657756508,True,0.4603031549912284,7,,nan,nan,nan,nan,
-10.0,2034,0.0001,1e-12,direct_vp,0.0002302402476852859,6.563793181880265e-06,3.616231640343719,41.1355753300013,12.925730663647428,0.14674087734170957,0.24471264925338146,0.9090673814478185,True,3.616231640343719,5,,nan,nan,nan,nan,
-10.0,2035,0.0001,1e-12,direct_vp,0.0007264114447299118,7.063126666833777e-05,3.921732630738414,40.85426029001246,16.17253365231502,0.04218657843248106,0.16400589224424025,0.9094144609762924,True,3.921732630738414,5,,nan,nan,nan,nan,
-10.0,2036,0.0001,1e-12,direct_vp,0.001445103400148771,3.287805256945317e-05,4.791155175997313,39.083874796982855,38.1768031133589,0.0724091084796157,0.13490484035747943,0.9092969243496043,True,4.791155175997313,5,,nan,nan,nan,nan,
-10.0,2037,0.0001,1e-12,ris_only_stage2_then_vp,0.1422245592830919,0.9500006073441021,9.738271529049754,97.61599268999998,0.11879247750345721,33.660950870888165,0.9694017417512474,0.9094325847959117,False,9.781290354198473,20,robust_jnpp,1,0.14129984453662506,35.87934107492269,1.912859154981561,
-10.0,2038,0.0001,1e-12,direct_vp,0.00037648328152813646,3.13691469422929e-05,5.837365268656125,66.07773072598502,17.634988586129182,0.06122304901668787,0.14280029304682496,0.9090925232486444,True,5.837365268656125,5,,nan,nan,nan,nan,
-10.0,2039,0.0001,1e-12,direct_vp,0.0009152890009235452,2.9733722739070602e-05,2.2703454577659463,38.51765502197668,7.181005278996877,0.19860968802717802,0.4735657734537931,0.9088992686660254,True,2.2703454577659463,5,,nan,nan,nan,nan,
-10.0,2040,0.0001,1e-12,direct_vp,0.0013477021010755974,3.015718686468468e-05,0.9646125590243773,41.85107731199241,21.45412546491896,0.1307360466009369,0.15259050686916173,0.9091346983152058,True,0.9646125590243773,5,,nan,nan,nan,nan,
-10.0,2041,0.0001,1e-12,direct_vp,0.0019059078473772461,4.546806324330113e-05,3.098283035072125,37.77072343201144,21.24035185740913,0.025758470664959877,0.14559426587669833,0.90937044860889,True,3.098283035072125,5,,nan,nan,nan,nan,
-10.0,2042,0.0001,1e-12,direct_vp,0.0011850833441832433,3.353860412539835e-05,1.0918225968706858,40.10098558201571,42.71079696996644,0.06124643166761596,0.10473636528156717,0.910041463504929,True,1.0918225968706858,5,,nan,nan,nan,nan,
-10.0,2043,0.0001,1e-12,direct_vp,0.0013884822275599122,5.7519891832277234e-05,3.0618606639118315,41.615561799000716,28.935852528855524,0.02081203855282895,0.11649866071697043,0.9083972625661031,True,3.0618606639118315,5,,nan,nan,nan,nan,
-10.0,2044,0.0001,1e-12,direct_vp,0.0004998938182230585,4.9264947588989434e-05,2.3845404737434595,37.420950970990816,33.9689742437435,0.13960199418374614,0.13886389725458342,0.9089122606839983,True,2.3845404737434595,5,,nan,nan,nan,nan,
-10.0,2025,0.0003,1e-12,direct_vp,0.0015075782208526453,2.2200809357767185e-05,2.6512587737157984,40.073668908007676,16.283199680951554,0.06872583501769441,0.15427797190465994,0.9071508189666377,True,2.6512587737157984,5,,nan,nan,nan,nan,
-10.0,2026,0.0003,1e-12,direct_vp,0.0005773339649443698,7.36742905582817e-05,4.702274846692371,38.9091931169969,20.40820072496814,0.013576964892949484,0.11002441926772466,0.9100489535116102,True,4.702274846692371,5,,nan,nan,nan,nan,
-10.0,2027,0.0003,1e-12,direct_vp,0.0017771408748694084,1.618163438644932e-05,0.7882922958898314,37.59231120799086,38.249850508569445,0.10511405425825704,0.10477286535901645,0.9086367062934425,True,0.7882922958898314,5,,nan,nan,nan,nan,
-10.0,2028,0.0003,1e-12,direct_vp,0.0008494002042237405,4.567682430266373e-05,3.3985253658328727,39.70996094800648,17.881484828895026,0.010219138878842175,0.12944128582696282,0.9094193530048659,True,3.3985253658328727,5,,nan,nan,nan,nan,
-10.0,2029,0.0003,1e-12,direct_vp,0.0028017186770142003,1.7221787954853278e-05,3.331934828153625,38.208794684993336,16.991131508886053,0.036150883274723586,0.15547876624035276,0.9088926916189622,True,3.331934828153625,5,,nan,nan,nan,nan,
-10.0,2030,0.0003,1e-12,direct_vp,0.0010900122428020142,4.6219522655197725e-05,7.982647277633258,47.9079398829781,17.407224887502654,0.07063273626357305,0.1786593795818479,0.9078108211519523,True,7.982647277633258,5,,nan,nan,nan,nan,
-10.0,2031,0.0003,1e-12,direct_vp,0.0008114956229414162,2.1405094528413037e-05,1.8360057918061348,39.47334789700108,19.189744178121014,0.05361636573856135,0.11839907725531698,0.9086296156915793,True,1.8360057918061348,5,,nan,nan,nan,nan,
-10.0,2032,0.0003,1e-12,direct_vp,0.00054089488383799,5.690174503423529e-05,4.750596863257253,40.6075402580027,19.142950746162057,0.04220426769098065,0.11066291663759248,0.9082965339919487,True,4.750596863257253,5,,nan,nan,nan,nan,
-10.0,2033,0.0003,1e-12,direct_vp,0.0027994052165485387,5.0676999508404706e-05,0.46030315499122676,59.79599164798856,6.2044198261231465,0.5656618579112055,0.606626723928231,0.9095899665469803,True,0.46030315499122676,7,,nan,nan,nan,nan,
-10.0,2034,0.0003,1e-12,direct_vp,0.0002303048405871079,6.5638498348399025e-06,3.6162316403437162,54.813948533002986,12.92449179921335,0.14683434353543187,0.24470689488622985,0.9090673812349558,True,3.6162316403437162,5,,nan,nan,nan,nan,
-10.0,2035,0.0003,1e-12,direct_vp,0.0007263969376346532,7.063125582188604e-05,3.921732630738414,41.0917526090052,16.17349413029561,0.042153259879208003,0.16400381247116233,0.9094144594138271,True,3.921732630738414,5,,nan,nan,nan,nan,
-10.0,2036,0.0003,1e-12,direct_vp,0.0014451483172602238,3.287821342951348e-05,4.791155175997316,42.731030131020816,38.18527416547216,0.07228850034129793,0.13490242305207484,0.9092969233295863,True,4.791155175997316,5,,nan,nan,nan,nan,
-10.0,2037,0.0003,1e-12,ris_only_stage2_then_vp,0.5091514661843294,0.9823749476168073,9.76587057214686,164.56280019099358,0.11877766052444208,33.66148827611016,0.9694017419827683,0.9094325847958907,False,9.781290354148922,20,robust_jnpp,1,0.9925224107006919,35.70150280714988,1.078504721983336,
-10.0,2038,0.0003,1e-12,direct_vp,0.00037649550948460047,3.136916488468675e-05,5.837365268656123,49.51230593799846,17.638494659891265,0.0611785701105734,0.14279850301113775,0.9090925228139823,True,5.837365268656123,5,,nan,nan,nan,nan,
