figure,variant,x_value,metric,plot_metric_name,plot_y_mean,plot_y_median,plot_y_std,plot_y_p10,plot_y_p90,mean,median,std,p10,p90,success_rate,outlier_rate,n,K,paper_k,effective_K,position_rmse_m_mean,position_rmse_m_median,position_rmse_m_std,position_rmse_m_p10,position_rmse_m_p90,y_nmse_mean,y_nmse_median,y_nmse_std,y_nmse_p10,y_nmse_p90,range_rmse_m_mean,range_rmse_m_median,range_rmse_m_std,range_rmse_m_p10,range_rmse_m_p90,tau_rmse_s_mean,tau_rmse_s_median,tau_rmse_s_std,tau_rmse_s_p10,tau_rmse_s_p90,raw_objective_final_mean,raw_objective_final_median,raw_objective_final_std,raw_objective_final_p10,raw_objective_final_p90,outlier_flag_mean,outlier_flag_median,outlier_flag_std,outlier_flag_p10,outlier_flag_p90,peb_position_m_mean,peb_position_m_median,peb_position_m_std,peb_position_m_p10,peb_position_m_p90,peb_scalar_m_mean,peb_scalar_m_median,peb_scalar_m_std,peb_scalar_m_p10,peb_scalar_m_p90,peb_dual_m_mean,peb_dual_m_median,peb_dual_m_std,peb_dual_m_p10,peb_dual_m_p90,peb_evs_m_mean,peb_evs_m_median,peb_evs_m_std,peb_evs_m_p10,peb_evs_m_p90
fig2,adaptive_jones_vp_proposed,-10.0,y_nmse,y_nmse,0.017501219580365896,5.091149056917128e-05,0.11965168697609369,2.8037863924349566e-05,7.935574850251927e-05,0.017501219580365896,5.091149056917128e-05,0.11965168697609369,2.8037863924349566e-05,7.935574850251927e-05,1.0,0.020833333333333332,96,3,3,3,0.022565360905465365,0.0008480816479902224,0.14765179109928164,0.0003502938197351196,0.0020831765482830686,0.017501219580365896,5.091149056917128e-05,0.11965168697609369,2.8037863924349566e-05,7.935574850251927e-05,0.014107552322961132,0.0002654201873240866,0.09440728426057851,8.264908683212901e-05,0.0007234950524364805,2.2681701351193516e-11,1.2864322061935119e-12,1.4056574912975153e-10,4.939168497696718e-13,6.243881649156672e-12,3.6470110130528686,3.2937012492200743,1.887480182257672,1.6514590500303727,6.756059860074368,0.020833333333333332,0.0,0.1428261375083551,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,adaptive_jones_vp_proposed,-5.0,y_nmse,y_nmse,1.6759567593251974e-05,1.6193620646836475e-05,6.199510130383803e-06,8.854715787340356e-06,2.451584606194885e-05,1.6759567593251974e-05,1.6193620646836475e-05,6.199510130383803e-06,8.854715787340356e-06,2.451584606194885e-05,1.0,0.0,96,3,3,3,0.0005792369389831105,0.00047068319450100656,0.0003711705458762489,0.00019615225903596485,0.001073074850910189,1.6759567593251974e-05,1.6193620646836475e-05,6.199510130383803e-06,8.854715787340356e-06,2.451584606194885e-05,0.00019212042131069501,0.00014918748546528864,0.0001749309958184485,4.63332402893324e-05,0.00039220554977903866,1.2941542168257086e-12,6.951211583673313e-13,1.235723405031e-12,2.6318622730490117e-13,3.264088636189333e-12,1.1517747906489635,1.0383595677231003,0.5974728937899542,0.5222372056629008,2.1364537184510244,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,adaptive_jones_vp_proposed,0.0,y_nmse,y_nmse,5.292820989331141e-06,5.1214689445295845e-06,1.95776050756457e-06,2.798183837739856e-06,7.750170118165088e-06,5.292820989331141e-06,5.1214689445295845e-06,1.95776050756457e-06,2.798183837739856e-06,7.750170118165088e-06,1.0,0.0,96,3,3,3,0.00032581136821716993,0.0002648395880963585,0.00020869541637630497,0.00011004401610576308,0.0006031753122919393,5.292820989331141e-06,5.1214689445295845e-06,1.95776050756457e-06,2.798183837739856e-06,7.750170118165088e-06,0.00010804707122640341,8.390701272847329e-05,9.841942398307373e-05,2.6009490009089383e-05,0.00022024629959011913,7.277550682907625e-13,3.912449500660631e-13,6.945716314280822e-13,1.4771812380857828e-13,1.836211615692336e-12,0.3642231692032694,0.3283581268570072,0.18893751847436935,0.16514590480428526,0.675605986969007,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,adaptive_jones_vp_proposed,5.0,y_nmse,y_nmse,1.6745691794439062e-06,1.6196579852290621e-06,6.187480944458807e-07,8.845275563955385e-07,2.4503982833528838e-06,1.6745691794439062e-06,1.6196579852290621e-06,6.187480944458807e-07,8.845275563955385e-07,2.4503982833528838e-06,1.0,0.0,96,3,3,3,0.00018324557208567057,0.00014898219749383474,0.00011734840511544365,6.180046140338593e-05,0.0003390992834292969,1.6745691794439062e-06,1.6196579852290621e-06,6.187480944458807e-07,8.845275563955385e-07,2.4503982833528838e-06,6.076193977753661e-05,4.718933491972104e-05,5.5359047568667595e-05,1.4612098917522683e-05,0.00012375670679729684,4.092460648832679e-13,2.200637308561603e-13,3.904872177000157e-13,8.298159311255947e-14,1.0327870295879375e-12,0.11517748015783642,0.10383595698591559,0.059747291253390594,0.05222372052975505,0.21364537204133163,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,adaptive_jones_vp_proposed,10.0,y_nmse,y_nmse,5.294225491072546e-07,5.122018063169683e-07,1.9573515308153804e-07,2.796537270395595e-07,7.748070970828009e-07,5.294225491072546e-07,5.122018063169683e-07,1.9573515308153804e-07,2.796537270395595e-07,7.748070970828009e-07,1.0,0.0,96,3,3,3,0.00010305622771415592,8.379606455629336e-05,6.598767163214209e-05,3.4727973515812216e-05,0.0001906999932634794,5.294225491072546e-07,5.122018063169683e-07,1.9573515308153804e-07,2.796537270395595e-07,7.748070970828009e-07,3.417201981628735e-05,2.6536522529175973e-05,3.113661874802338e-05,8.212529938603537e-06,6.956293806791378e-05,2.301411613199013e-13,1.2378435368245927e-13,2.1955444438368548e-13,4.663732435987561e-14,5.808447430429093e-13,0.036422316461337846,0.032835812723403926,0.018893751007867037,0.01651459047381245,0.06756059873432743,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,adaptive_jones_vp_proposed_ngc,-10.0,y_nmse,y_nmse,0.017501219580758284,5.091149056917128e-05,0.11965168697603644,2.8037863924349566e-05,7.935574850251927e-05,0.017501219580758284,5.091149056917128e-05,0.11965168697603644,2.8037863924349566e-05,7.935574850251927e-05,1.0,0.020833333333333332,96,3,3,3,0.022565360856889257,0.0008480816479902224,0.14765179110639207,0.0003502938197351196,0.0020831765482830686,0.017501219580758284,5.091149056917128e-05,0.11965168697603644,2.8037863924349566e-05,7.935574850251927e-05,0.01410755238060317,0.0002654201873240866,0.09440728425228517,8.264908683212901e-05,0.0007234950524364805,2.2681701392521356e-11,1.2864322061935119e-12,1.4056574912343746e-10,4.939168497696718e-13,6.243881649156672e-12,3.647011013052867,3.2937012492200743,1.8874801822576701,1.6514590500303727,6.756059860074368,0.020833333333333332,0.0,0.1428261375083551,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,adaptive_jones_vp_proposed_ngc,-5.0,y_nmse,y_nmse,1.6759567593251974e-05,1.6193620646836475e-05,6.199510130383803e-06,8.854715787340356e-06,2.451584606194885e-05,1.6759567593251974e-05,1.6193620646836475e-05,6.199510130383803e-06,8.854715787340356e-06,2.451584606194885e-05,1.0,0.0,96,3,3,3,0.0005792369389831105,0.00047068319450100656,0.0003711705458762489,0.00019615225903596485,0.001073074850910189,1.6759567593251974e-05,1.6193620646836475e-05,6.199510130383803e-06,8.854715787340356e-06,2.451584606194885e-05,0.00019212042131069501,0.00014918748546528864,0.0001749309958184485,4.63332402893324e-05,0.00039220554977903866,1.2941542168257086e-12,6.951211583673313e-13,1.235723405031e-12,2.6318622730490117e-13,3.264088636189333e-12,1.1517747906489635,1.0383595677231003,0.5974728937899542,0.5222372056629008,2.1364537184510244,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,adaptive_jones_vp_proposed_ngc,0.0,y_nmse,y_nmse,5.292820989331141e-06,5.1214689445295845e-06,1.95776050756457e-06,2.798183837739856e-06,7.750170118165088e-06,5.292820989331141e-06,5.1214689445295845e-06,1.95776050756457e-06,2.798183837739856e-06,7.750170118165088e-06,1.0,0.0,96,3,3,3,0.00032581136821716993,0.0002648395880963585,0.00020869541637630497,0.00011004401610576308,0.0006031753122919393,5.292820989331141e-06,5.1214689445295845e-06,1.95776050756457e-06,2.798183837739856e-06,7.750170118165088e-06,0.00010804707122640341,8.390701272847329e-05,9.841942398307373e-05,2.6009490009089383e-05,0.00022024629959011913,7.277550682907625e-13,3.912449500660631e-13,6.945716314280822e-13,1.4771812380857828e-13,1.836211615692336e-12,0.3642231692032694,0.3283581268570072,0.18893751847436935,0.16514590480428526,0.675605986969007,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,adaptive_jones_vp_proposed_ngc,5.0,y_nmse,y_nmse,1.6745691794439062e-06,1.6196579852290621e-06,6.187480944458807e-07,8.845275563955385e-07,2.4503982833528838e-06,1.6745691794439062e-06,1.6196579852290621e-06,6.187480944458807e-07,8.845275563955385e-07,2.4503982833528838e-06,1.0,0.0,96,3,3,3,0.00018324557208567057,0.00014898219749383474,0.00011734840511544365,6.180046140338593e-05,0.0003390992834292969,1.6745691794439062e-06,1.6196579852290621e-06,6.187480944458807e-07,8.845275563955385e-07,2.4503982833528838e-06,6.076193977753661e-05,4.718933491972104e-05,5.5359047568667595e-05,1.4612098917522683e-05,0.00012375670679729684,4.092460648832679e-13,2.200637308561603e-13,3.904872177000157e-13,8.298159311255947e-14,1.0327870295879375e-12,0.11517748015783642,0.10383595698591559,0.059747291253390594,0.05222372052975505,0.21364537204133163,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,adaptive_jones_vp_proposed_ngc,10.0,y_nmse,y_nmse,5.294225491072546e-07,5.122018063169683e-07,1.9573515308153804e-07,2.796537270395595e-07,7.748070970828009e-07,5.294225491072546e-07,5.122018063169683e-07,1.9573515308153804e-07,2.796537270395595e-07,7.748070970828009e-07,1.0,0.0,96,3,3,3,0.00010305622771415592,8.379606455629336e-05,6.598767163214209e-05,3.4727973515812216e-05,0.0001906999932634794,5.294225491072546e-07,5.122018063169683e-07,1.9573515308153804e-07,2.796537270395595e-07,7.748070970828009e-07,3.417201981628735e-05,2.6536522529175973e-05,3.113661874802338e-05,8.212529938603537e-06,6.956293806791378e-05,2.301411613199013e-13,1.2378435368245927e-13,2.1955444438368548e-13,4.663732435987561e-14,5.808447430429093e-13,0.036422316461337846,0.032835812723403926,0.018893751007867037,0.01651459047381245,0.06756059873432743,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
