figure,variant,snr_db,trial_id,seed,receiver_mode,K,paper_k,effective_K,selected_branch,reliability_decision,trigger_reasons,gof_pass,position_error_m,peb_position_m,error_over_peb,relative_outlier_5peb,y_nmse,raw_objective_final,direct_candidate_position_error_m,direct_candidate_y_nmse,direct_candidate_raw_objective,rescue_candidate_position_error_m,rescue_candidate_y_nmse,rescue_candidate_raw_objective,rescue_candidate_available,rescue_accept_decision,rescue_reject_reason,direct_candidate_lambda_jones_per_path,direct_candidate_snr_eff_per_path,direct_candidate_jones_leakage_per_path,rescue_candidate_lambda_jones_per_path,rescue_candidate_snr_eff_per_path,rescue_candidate_jones_leakage_per_path,direct_candidate_data_only_scaled_efim_lambda_min,direct_candidate_data_only_scaled_efim_condition_number,rescue_candidate_data_only_scaled_efim_lambda_min,rescue_candidate_data_only_scaled_efim_condition_number,legacy_stage1_decision,gof_reliability_decision,stage1_geometry_trigger,stage1_geometry_trigger_reasons,ngc_policy_active,ngc_lambda_ris,ngc_direct_clock_score,ngc_direct_clock_score_norm,ngc_direct_clock_dof,ngc_direct_clock_sigma_source,ngc_direct_clock_std_ns,ngc_direct_ris_score,ngc_direct_ris_score_norm,ngc_direct_ris_available,ngc_direct_total_score,ngc_direct_cert_status,ngc_direct_cert_reason,ngc_rescue_requested,ngc_rescue_request_reason,ngc_rescue_clock_score,ngc_rescue_clock_score_norm,ngc_rescue_clock_dof,ngc_rescue_clock_sigma_source,ngc_rescue_clock_std_ns,ngc_rescue_ris_score,ngc_rescue_ris_score_norm,ngc_rescue_ris_available,ngc_rescue_total_score,ngc_rescue_cert_status,ngc_rescue_cert_reason,ngc_selected_by,ngc_final_unreliable,ngc_threshold_clock_green,ngc_threshold_clock_red
fig1_fig2,adaptive_jones_vp_proposed_old_gated,-10.0,8,641399591,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.0007085169082601929,0.0010986110724718816,0.6449205965729305,False,3.732569471936574e-05,2.2558786983816117,0.0007085169082601929,3.732569471936574e-05,2.2558786983816117,nan,nan,nan,False,not_run,not_requested,"[103.86217568990638,22.597303145238207,21.81676665650234]","[0.009628144155979977,0.04425306832192171,0.04583630634744585]","[1.0306786989901131e-08,2.8631510096293442e-09,3.984828265093662e-07]",,,,854083.0796211532,78.2316107812247,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan
fig1_fig2,adaptive_jones_vp_proposed_ngc,-10.0,8,641399591,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.0007085169082601929,0.0010986110724718816,0.6449205965729305,False,3.732569471936574e-05,2.2558786983816117,0.0007085169082601929,3.732569471936574e-05,2.2558786983816117,nan,nan,nan,False,not_run,not_requested,"[103.86217568990638,22.597303145238207,21.81676665650234]","[0.009628144155979977,0.04425306832192171,0.04583630634744585]","[1.0306786989901131e-08,2.8631510096293442e-09,3.984828265093662e-07]",,,,854083.0796211532,78.2316107812247,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",True,1.0,1.1007492892613233,1.1007492892613233,2,data_only_efim_tau_crb,0.30286813539632,0.00013173497633201913,0.00013173497633201913,True,1.1008810242376554,green,clock_green,False,ngc_green_skip_rescue,nan,nan,2,,nan,nan,nan,False,nan,,candidate_unavailable,ngc_green_skip_rescue,False,9.21034037197618,13.815510557964274
fig1_fig2,adaptive_jones_vp_proposed_old_gated,-10.0,10,781873798,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.000718518689777751,0.0010995103100430099,0.6534897246662875,False,4.173192046906891e-05,2.2036031086999577,0.000718518689777751,4.173192046906891e-05,2.2036031086999577,nan,nan,nan,False,not_run,not_requested,"[39.05933012766797,362.45622286279314,13.93660907740282]","[0.02560207757512419,0.002758953872385552,0.07175346559784684]","[5.3221771617834376e-08,2.1586070767726495e-09,1.5034752981885425e-07]",,,,816636.8036888589,81.25372110373758,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan
fig1_fig2,adaptive_jones_vp_proposed_ngc,-10.0,10,781873798,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.000718518689777751,0.0010995103100430099,0.6534897246662875,False,4.173192046906891e-05,2.2036031086999577,0.000718518689777751,4.173192046906891e-05,2.2036031086999577,nan,nan,nan,False,not_run,not_requested,"[39.05933012766797,362.45622286279314,13.93660907740282]","[0.02560207757512419,0.002758953872385552,0.07175346559784684]","[5.3221771617834376e-08,2.1586070767726495e-09,1.5034752981885425e-07]",,,,816636.8036888589,81.25372110373758,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",True,1.0,3.018544716713984,3.018544716713984,2,data_only_efim_tau_crb,0.501543012172933,0.0003745738762926775,0.0003745738762926775,True,3.0189192905902766,green,clock_green,False,ngc_green_skip_rescue,nan,nan,2,,nan,nan,nan,False,nan,,candidate_unavailable,ngc_green_skip_rescue,False,9.21034037197618,13.815510557964274
fig1_fig2,adaptive_jones_vp_proposed_old_gated,-10.0,7,1914929603,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.0013217136597437618,0.0010722217098529105,1.2326869038354735,False,5.38317513114108e-05,7.354901825245583,0.0013217136597437618,5.38317513114108e-05,7.354901825245583,nan,nan,nan,False,not_run,not_requested,"[146.96179074553734,48.73667821895946,13.703583213852415]","[0.006804489757371878,0.020518427527181058,0.07297361459267351]","[1.7312619773402066e-10,8.98994723893919e-09,1.5937078726619313e-06]",,,,811837.3107728121,85.06207352018464,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan
fig1_fig2,adaptive_jones_vp_proposed_ngc,-10.0,7,1914929603,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.0013217136597437618,0.0010722217098529105,1.2326869038354735,False,5.38317513114108e-05,7.354901825245583,0.0013217136597437618,5.38317513114108e-05,7.354901825245583,nan,nan,nan,False,not_run,not_requested,"[146.96179074553734,48.73667821895946,13.703583213852415]","[0.006804489757371878,0.020518427527181058,0.07297361459267351]","[1.7312619773402066e-10,8.98994723893919e-09,1.5937078726619313e-06]",,,,811837.3107728121,85.06207352018464,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",True,1.0,0.9481851919329566,0.9481851919329566,2,data_only_efim_tau_crb,0.2810968385825065,0.00012653253150614994,0.00012653253150614994,True,0.9483117244644628,green,clock_green,False,ngc_green_skip_rescue,nan,nan,2,,nan,nan,nan,False,nan,,candidate_unavailable,ngc_green_skip_rescue,False,9.21034037197618,13.815510557964274
fig1_fig2,adaptive_jones_vp_proposed_old_gated,-10.0,15,2734808712,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.0012986535978252286,0.0010946639617456621,1.1863490926971452,False,4.771841191935227e-05,1.1545138876721155,0.0012986535978252286,4.771841191935227e-05,1.1545138876721155,nan,nan,nan,False,not_run,not_requested,"[110.47903150667086,20.304042823775145,24.410858206703747]","[0.009051491366749894,0.04925127516027201,0.040965376616745396]","[1.3547211197693333e-09,1.4684782902922449e-09,2.409361970055893e-07]",,,,865621.1124929201,70.1321193727963,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan
fig1_fig2,adaptive_jones_vp_proposed_ngc,-10.0,15,2734808712,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.0012986535978252286,0.0010946639617456621,1.1863490926971452,False,4.771841191935227e-05,1.1545138876721155,0.0012986535978252286,4.771841191935227e-05,1.1545138876721155,nan,nan,nan,False,not_run,not_requested,"[110.47903150667086,20.304042823775145,24.410858206703747]","[0.009051491366749894,0.04925127516027201,0.040965376616745396]","[1.3547211197693333e-09,1.4684782902922449e-09,2.409361970055893e-07]",,,,865621.1124929201,70.1321193727963,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",True,1.0,0.22029489357614881,0.22029489357614881,2,data_only_efim_tau_crb,0.13549135691258096,0.0004185340766687699,0.0004185340766687699,True,0.2207134276528176,green,clock_green,False,ngc_green_skip_rescue,nan,nan,2,,nan,nan,nan,False,nan,,candidate_unavailable,ngc_green_skip_rescue,False,9.21034037197618,13.815510557964274
fig1_fig2,adaptive_jones_vp_proposed_old_gated,-10.0,17,2127997378,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.0009426507996956309,0.00126521488460785,0.7450519363655786,False,5.501227569877384e-05,4.004865708710878,0.0009426507996956309,5.501227569877384e-05,4.004865708710878,nan,nan,nan,False,not_run,not_requested,"[44.50687483557632,16.553705191774647,58.09450254667996]","[0.022468438946788256,0.06040943634059251,0.017213332692510585]","[9.105078959263461e-08,9.992491788066617e-09,6.413077328732681e-08]",,,,655563.2009545494,82.9116935270365,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan
fig1_fig2,adaptive_jones_vp_proposed_ngc,-10.0,17,2127997378,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.0009426507996956309,0.00126521488460785,0.7450519363655786,False,5.501227569877384e-05,4.004865708710878,0.0009426507996956309,5.501227569877384e-05,4.004865708710878,nan,nan,nan,False,not_run,not_requested,"[44.50687483557632,16.553705191774647,58.09450254667996]","[0.022468438946788256,0.06040943634059251,0.017213332692510585]","[9.105078959263461e-08,9.992491788066617e-09,6.413077328732681e-08]",,,,655563.2009545494,82.9116935270365,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",True,1.0,0.037706197762453555,0.037706197762453555,2,data_only_efim_tau_crb,0.05605517948299809,0.0004245683385220075,0.0004245683385220075,True,0.038130766100975565,green,clock_green,False,ngc_green_skip_rescue,nan,nan,2,,nan,nan,nan,False,nan,,candidate_unavailable,ngc_green_skip_rescue,False,9.21034037197618,13.815510557964274
