figure,variant,snr_db,trial_id,seed,receiver_mode,K,paper_k,effective_K,selected_branch,reliability_decision,trigger_reasons,gof_pass,position_error_m,peb_position_m,error_over_peb,relative_outlier_5peb,y_nmse,raw_objective_final,direct_candidate_position_error_m,direct_candidate_y_nmse,direct_candidate_raw_objective,rescue_candidate_position_error_m,rescue_candidate_y_nmse,rescue_candidate_raw_objective,rescue_candidate_available,rescue_accept_decision,rescue_reject_reason
fig1_fig2,free_jones_vp,-5.0,0,3147786918,full_6d,3,3,3,direct_vp,direct_vp,[],True,0.02564363318647882,0.0006350613982890723,40.37976998061241,True,0.003037070891189459,1.2544100435469503,0.02564363318647882,0.003037070891189459,1.2544100435469503,nan,nan,nan,False,not_run,not_requested
fig1_fig2,free_jones_vp_gated_rescue,-5.0,0,3147786918,full_6d,3,3,3,direct_vp,direct_vp,[],True,0.02564363318647882,0.0006350613982890723,40.37976998061241,True,0.003037070891189459,1.2544100435469503,0.02564363318647882,0.003037070891189459,1.2544100435469503,nan,nan,nan,False,not_run,not_requested
fig1_fig2,free_jones_vp_force_rescue,-5.0,0,3147786918,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,[],True,0.02564363318647882,0.0006350613982890723,40.37976998061241,True,0.003037070891189459,1.2544100435469503,0.02564363318647882,0.003037070891189459,1.2544100435469503,0.00040137250649240026,9.420471411173553e-06,1.253247703415752,True,rollback,existing_selector_rollback
fig1_fig2,free_jones_vp,-5.0,1,112311654,full_6d,3,3,3,direct_vp,jnpp_then_vp,"[""poor_clock_consistency""]",False,0.03234968484277512,0.0008078451997330199,40.04441055472778,True,0.011704987155181715,0.9642721789713179,0.03234968484277512,0.011704987155181715,0.9642721789713179,nan,nan,nan,False,not_run,not_requested
fig1_fig2,free_jones_vp_gated_rescue,-5.0,1,112311654,full_6d,3,3,3,ris_only_stage2_then_vp,jnpp_then_vp,"[""poor_clock_consistency""]",False,0.0019206181821467708,0.0008078451997330199,2.3774581847877596,False,3.8614084978508076e-05,0.9607564906626148,0.03234968484277512,0.011704987155181715,0.9642721789713179,0.0019206181821467708,3.8614084978508076e-05,0.9607564906626148,True,accepted,accepted
fig1_fig2,free_jones_vp_force_rescue,-5.0,1,112311654,full_6d,3,3,3,ris_only_stage2_then_vp,jnpp_then_vp,"[""poor_clock_consistency""]",False,0.0019206181821467708,0.0008078451997330199,2.3774581847877596,False,3.8614084978508076e-05,0.9607564906626148,0.03234968484277512,0.011704987155181715,0.9642721789713179,0.0019206181821467708,3.8614084978508076e-05,0.9607564906626148,True,accepted,accepted
fig1_fig2,free_jones_vp,-5.0,2,3251202663,full_6d,3,3,3,direct_vp,direct_vp,[],True,0.0013081843454129823,0.000621051741220555,2.1064015420712026,False,6.173630301095708e-05,0.7226040036789408,0.0013081843454129823,6.173630301095708e-05,0.7226040036789408,nan,nan,nan,False,not_run,not_requested
fig1_fig2,free_jones_vp_gated_rescue,-5.0,2,3251202663,full_6d,3,3,3,direct_vp,direct_vp,[],True,0.0013081843454129823,0.000621051741220555,2.1064015420712026,False,6.173630301095708e-05,0.7226040036789408,0.0013081843454129823,6.173630301095708e-05,0.7226040036789408,nan,nan,nan,False,not_run,not_requested
fig1_fig2,free_jones_vp_force_rescue,-5.0,2,3251202663,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,[],True,0.0013081843454129823,0.000621051741220555,2.1064015420712026,False,6.173630301095708e-05,0.7226040036789408,0.0013081843454129823,6.173630301095708e-05,0.7226040036789408,0.0022882279700411003,4.088667212913404e-05,0.7226024786962223,True,rollback,existing_selector_rollback
fig1_fig2,free_jones_vp,-5.0,3,3422926171,full_6d,3,3,3,direct_vp,direct_vp,"[""poor_clock_consistency""]",True,0.0010871579094294404,0.0006147117865929366,1.7685652579643127,False,5.764881464264617e-05,0.8795843503701042,0.0010871579094294404,5.764881464264617e-05,0.8795843503701042,nan,nan,nan,False,not_run,not_requested
