figure,variant,trial_id,seed,snr_db,x_name,x_value,K,paper_k,effective_K,num_ris_paths,receiver_mode,config_seed,nested_receiver_noise_convention,reference_receiver_mode,reference_sigma2,nested_base_y_noisy_hash,failed,error,runtime_s,position_rmse_m,position_error_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,final_runner_name,used_main_single_proposed_path,variant_config_hash,global_vp_mode,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,jones_mode,adaptive_enabled,adaptive_policy_name,selected_vp_family_branch,lambda_path_min,lambda_path_max,lambda_path_mean,lambda_clipped_fraction,used_stage1_regularizer,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m,peb_free_jones_m,peb_constrained_jones_m,peb_anchored_jones_m,peb_variant,jones_bound_type,constrained_jones_peb_m,anchored_jones_peb_m,free_jones_peb_m,peb_fim_rank_chi_free,peb_fim_rank_chi_constrained,peb_fim_rank_chi_anchored,peb_fim_cond_chi_free,peb_fim_cond_chi_constrained,peb_fim_cond_chi_anchored,peb_clock_schur_used,peb_rank_deficient,anchored_prior_scaling,anchored_prior_lambda,anchored_prior_precision_norm,peb_free_projection_schur_relerr,peb_con_minus_free_min_eig,peb_hyb_minus_free_min_eig,peb_ordering_ok,efim_unscaled_cache_hit,efim_unscaled_cache_key,efim_sigma2,efim_reuse_mode,peb_backend,rss_mb_before,rss_mb_after,rss_mb_delta,warning,debug_main_position_error_m,debug_main_y_nmse,debug_main_raw_objective,debug_main_global_vp_mode,debug_main_adaptive_enabled,debug_config_diff_summary,direct_candidate_position_error_m,direct_candidate_y_nmse,direct_candidate_raw_objective,rescue_candidate_position_error_m,rescue_candidate_y_nmse,rescue_candidate_raw_objective,rescue_candidate_available,rescue_accept_decision,rescue_reject_reason,direct_candidate_lambda_jones_per_path,direct_candidate_snr_eff_per_path,direct_candidate_jones_leakage_per_path,rescue_candidate_lambda_jones_per_path,rescue_candidate_snr_eff_per_path,rescue_candidate_jones_leakage_per_path,direct_candidate_data_only_scaled_efim_lambda_min,direct_candidate_data_only_scaled_efim_condition_number,rescue_candidate_data_only_scaled_efim_lambda_min,rescue_candidate_data_only_scaled_efim_condition_number,legacy_stage1_decision,gof_reliability_decision,stage1_geometry_trigger,stage1_geometry_trigger_reasons,ngc_policy_active,ngc_lambda_ris,ngc_direct_clock_score,ngc_direct_clock_score_norm,ngc_direct_clock_dof,ngc_direct_clock_sigma_source,ngc_direct_clock_std_ns,ngc_direct_ris_score,ngc_direct_ris_score_norm,ngc_direct_ris_available,ngc_direct_total_score,ngc_direct_cert_status,ngc_direct_cert_reason,ngc_rescue_requested,ngc_rescue_request_reason,ngc_rescue_clock_score,ngc_rescue_clock_score_norm,ngc_rescue_clock_dof,ngc_rescue_clock_sigma_source,ngc_rescue_clock_std_ns,ngc_rescue_ris_score,ngc_rescue_ris_score_norm,ngc_rescue_ris_available,ngc_rescue_total_score,ngc_rescue_cert_status,ngc_rescue_cert_reason,ngc_selected_by,ngc_final_unreliable,ngc_threshold_clock_green,ngc_threshold_clock_red,proposed_stage2_policy
fig5,direct_vp,0,3147786918,0.0,snr_db,0.0,1,1,1,3,full_6d,3147786918,,,nan,,False,,29.42734091996681,0.6001173655654167,0.6001173655654167,3.1374815263514345e-06,0.004707596349581067,2.3998258362988912e-12,0.2714191302349041,True,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,d7a3fda99b600764,adaptive_jones,cpu,False,,numpy,numpy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,0.99893770104866,0.99893770104866,0.99893770104866,0.0,True,1,4,3096665.6748452573,3096682.093149712,[0.99893770104866],[1.0010634286294589],[3.082668015780213e-08],direct_vp,[],3094497.9506769306,3096568,True,15122.40592979502,43074.34129425101,nan,0.0,[5.011946769081794],7.01310454698978,27.019657750963233,34.67791047797073,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,,False,,nan,,,nan,nan,nan,,,,,,,,0.6001173655654167,3.1374815263514345e-06,0.2714191302349041,nan,nan,nan,False,not_run,not_requested,[0.99893770104866],[1.0010634286294589],[3.082668015780213e-08],,,,15122.40592979502,43074.34129425101,nan,nan,direct_vp,direct_vp,False,[],False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan,reliability_gated
fig5,old_gated,0,3147786918,0.0,snr_db,0.0,1,1,1,3,full_6d,3147786918,,,nan,,False,,25.79460773797473,0.6001173655654167,0.6001173655654167,3.1374815263514345e-06,0.004707596349581067,2.3998258362988912e-12,0.2714191302349041,True,direct_vp,global_exact_spherical_vp,main_single_proposed,True,e84fa7f44aa2f9b3,adaptive_jones,cpu,False,,numpy,numpy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,0.99893770104866,0.99893770104866,0.99893770104866,0.0,True,1,4,3096665.6748452573,3096682.093149712,[0.99893770104866],[1.0010634286294589],[3.082668015780213e-08],direct_vp,[],3094497.9506769306,3096568,True,15122.40592979502,43074.34129425101,nan,0.0,[5.011946769081794],7.01310454698978,24.65285129303811,32.311104020045605,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,,False,,nan,,,nan,nan,nan,,,,,,,,0.6001173655654167,3.1374815263514345e-06,0.2714191302349041,nan,nan,nan,False,not_run,not_requested,[0.99893770104866],[1.0010634286294589],[3.082668015780213e-08],,,,15122.40592979502,43074.34129425101,nan,nan,direct_vp,direct_vp,False,[],False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan,reliability_gated_ris_only
fig5,adaptive_jones_vp_proposed,0,3147786918,0.0,snr_db,0.0,1,1,1,3,full_6d,3147786918,,,nan,,False,,51.1475094310008,0.6001173655654167,0.6001173655654167,3.1374815263514345e-06,0.004707596349581067,2.3998258362988912e-12,0.2714191302349041,True,direct_vp_rollback,global_exact_spherical_vp,main_single_proposed,True,4790a8c068285585,adaptive_jones,cpu,False,,numpy,numpy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,0.99893770104866,0.99893770104866,0.99893770104866,0.0,True,1,4,3096665.6748452573,3096682.093149712,[0.99893770104866],[1.0010634286294589],[3.082668015780213e-08],jnpp_then_vp,[],3094497.9506769306,3096568,True,15122.40592979502,43074.34129425101,nan,0.0,[5.011946769081794],7.01310454698978,26.235954765987117,33.89420749299461,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,,False,,nan,,,nan,nan,nan,,,,,,,,0.6001173655654167,3.1374815263514345e-06,0.2714191302349041,0.6001173655654167,3.1374815263514345e-06,0.2714191302349041,True,rollback,existing_selector_rollback,[0.99893770104866],[1.0010634286294589],[3.082668015780213e-08],[0.99893770104866],[1.0010634286294589],[3.082668015780213e-08],15122.40592979502,43074.34129425101,15122.40592979502,43074.34129425101,direct_vp,direct_vp,False,[],True,1.0,0.0,0.0,0,data_only_efim_tau_crb,0.0,9.604509219806955e-07,9.604509219806955e-07,True,9.604509219806955e-07,red,clock_red,True,ngc_red_run_rescue,0.0,0.0,0,sigma_tau_k,0.0,9.604509219806955e-07,9.604509219806955e-07,True,9.604509219806955e-07,red,clock_red,both_uncertified_lower_raw,True,0.0,0.0,ngc_certified_ris_only
fig5,force_rescue,0,3147786918,0.0,snr_db,0.0,1,1,1,3,full_6d,3147786918,,,nan,,False,,48.64199210400693,0.6001173655654167,0.6001173655654167,3.1374815263514345e-06,0.004707596349581067,2.3998258362988912e-12,0.2714191302349041,True,direct_vp_rollback,global_exact_spherical_vp,main_single_proposed,True,63b3d1ffec75bd7a,adaptive_jones,cpu,False,,numpy,numpy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,0.99893770104866,0.99893770104866,0.99893770104866,0.0,True,1,4,3096665.6748452573,3096682.093149712,[0.99893770104866],[1.0010634286294589],[3.082668015780213e-08],jnpp_then_vp,[],3094497.9506769306,3096568,True,15122.40592979502,43074.34129425101,nan,0.0,[5.011946769081794],7.01310454698978,23.42222422902705,31.080476956034545,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,,False,,nan,,,nan,nan,nan,,,,,,,,0.6001173655654167,3.1374815263514345e-06,0.2714191302349041,0.6001173655654167,3.1374815263514345e-06,0.2714191302349041,True,rollback,existing_selector_rollback,[0.99893770104866],[1.0010634286294589],[3.082668015780213e-08],[0.99893770104866],[1.0010634286294589],[3.082668015780213e-08],15122.40592979502,43074.34129425101,15122.40592979502,43074.34129425101,direct_vp,direct_vp,False,[],False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan,force_ris_only
fig5,oracle_init_vp,0,3147786918,0.0,snr_db,0.0,1,1,1,3,full_6d,3147786918,,,nan,,False,,16.502719279029407,0.004714781527130579,0.004714781527130579,3.13747644191332e-06,0.004707637690591682,2.3998254865735457e-12,0.2714191302349041,False,oracle_init_vp,global_exact_spherical_vp,,False,,adaptive_jones,cpu,False,,numpy,numpy.linalg.solve,fixed_pol_anchor,False,,fixed_pol_anchor,nan,nan,nan,nan,False,1,4,3096665.6748452573,3096681.5850702147,[0.9989377010486101],[1.0010634286295088],[4.296314861852309e-09],oracle_init_vp,"[""oracle_truth_initialization""]",nan,,,nan,nan,nan,nan,,0.0,16.502445116988383,16.502445116988383,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,,False,,nan,,,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,,,,,,,,nan,nan,nan,nan,,,,[],False,nan,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan,
