figure,variant,trial_id,seed,snr_db,x_name,x_value,K,receiver_mode,nested_receiver_noise_convention,reference_receiver_mode,reference_sigma2,nested_base_y_noisy_hash,failed,error,runtime_s,position_rmse_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,global_vp_mode,selected_vp_family_branch,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m,rss_mb_before,rss_mb_after,rss_mb_delta,warning
fig4,scalar_peb,0,3147786918,0.0,snr_db,0.0,3,scalar,fixed_full6d_reference_sigma2,full_6d,0.3964529139661309,f4e3c9fc9e302c66,False,,5.009388924998348,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.011693779852248566,0.011693779852248566,nan,nan,nan,nan,nan,
fig4,dual_pol_peb,0,3147786918,0.0,snr_db,0.0,3,dual_pol,fixed_full6d_reference_sigma2,full_6d,0.3964529139661309,f4e3c9fc9e302c66,False,,3.0648563080030726,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0015799029197969662,nan,0.0015799029197969662,nan,nan,nan,nan,
fig4,full_6d_evs_peb,0,3147786918,0.0,snr_db,0.0,3,full_6d,fixed_full6d_reference_sigma2,full_6d,0.3964529139661309,f4e3c9fc9e302c66,False,,0.0003529570094542578,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0003571212682911131,nan,nan,0.0003571212682911131,nan,nan,nan,
