snr_db,seed,weight_mode,selected_branch,ue_position_rmse_m,y_nmse,raw_objective,total_runtime_s,error_message,assignment_margin,sigma_delta_t_ns,rank1_ratio_max,initial_z_residual,direct_vp_good,direct_vp_raw_objective,direct_vp_nfev,stage2_rescue_mode,jnpp_weight_mode,jnpp_weights,jnpp_rank1_ratios,jnpp_use_leave_one_out,jnpp_leave_one_out_effective,jnpp_num_candidates,jnpp_num_subsets,jnpp_best_objective,jnpp_best_clock_std_ns,jnpp_runtime_s,direct_vp_selected,jnpp_selected,rollback_selected
-20.0,2025,equal,direct_vp,0.004852938117177253,0.00022450817489003887,26.512587411048813,51.8887418419763,,4.248855110688627,0.2571904347886123,0.45955330365800073,0.9897896103013272,True,26.512587411048813,6,,,,,nan,nan,nan,nan,nan,nan,nan,True,False,False
-20.0,2025,exponential,direct_vp,0.004852938117177253,0.00022450817489003887,26.512587411048813,52.63359492699965,,4.248855110688627,0.2571904347886123,0.45955330365800073,0.9897896103013272,True,26.512587411048813,6,,,,,nan,nan,nan,nan,nan,nan,nan,True,False,False
-20.0,2025,inverse_rank,direct_vp,0.004852938117177253,0.00022450817489003887,26.512587411048813,41.756690822017845,,4.248855110688627,0.2571904347886123,0.45955330365800073,0.9897896103013272,True,26.512587411048813,6,,,,,nan,nan,nan,nan,nan,nan,nan,True,False,False
-20.0,2026,equal,direct_vp,0.001712750721269608,0.0007223384311479524,47.02275191969588,38.44859546402586,,5.847290002339848,0.013974688887972826,0.339379320609213,0.9902809998107909,True,47.02275191969588,5,,,,,nan,nan,nan,nan,nan,nan,nan,True,False,False
-20.0,2026,exponential,direct_vp,0.001712750721269608,0.0007223384311479524,47.02275191969588,48.39164302899735,,5.847290002339848,0.013974688887972826,0.339379320609213,0.9902809998107909,True,47.02275191969588,5,,,,,nan,nan,nan,nan,nan,nan,nan,True,False,False
-20.0,2026,inverse_rank,direct_vp,0.001712750721269608,0.0007223384311479524,47.02275191969588,38.597649960021954,,5.847290002339848,0.013974688887972826,0.339379320609213,0.9902809998107909,True,47.02275191969588,5,,,,,nan,nan,nan,nan,nan,nan,nan,True,False,False
-20.0,2027,equal,direct_vp,0.005598413105177121,0.00016173926198382406,7.882922963002589,35.018501263984945,,11.24714111452869,0.35361177344845496,0.32488897880751616,0.9900312900037403,True,7.882922963002589,5,,,,,nan,nan,nan,nan,nan,nan,nan,True,False,False
-20.0,2027,exponential,direct_vp,0.005598413105177121,0.00016173926198382406,7.882922963002589,35.35791815700941,,11.24714111452869,0.35361177344845496,0.32488897880751616,0.9900312900037403,True,7.882922963002589,5,,,,,nan,nan,nan,nan,nan,nan,nan,True,False,False
-20.0,2027,inverse_rank,direct_vp,0.005598413105177121,0.00016173926198382406,7.882922963002589,36.069700602995,,11.24714111452869,0.35361177344845496,0.32488897880751616,0.9900312900037403,True,7.882922963002589,5,,,,,nan,nan,nan,nan,nan,nan,nan,True,False,False
-20.0,2028,equal,direct_vp,0.0027630233513728027,0.0004568555547758445,33.98525364759404,36.07425623299787,,5.398020786040014,0.002308850601696772,0.39529842751788263,0.9901340420943038,True,33.98525364759404,5,,,,,nan,nan,nan,nan,nan,nan,nan,True,False,False
