snr_db,weight_mode,num_runs,num_success,median_rmse_m,mean_rmse_m,p90_rmse_m,outlier_rate,median_y_nmse,median_runtime_s,direct_vp_selected_rate,jnpp_selected_rate,rollback_selected_rate,median_jnpp_runtime_s
-25.0,equal,50,50,0.7824270882956359,0.7398033355479642,1.4889161638844584,0.7,0.9789658504085508,83.48724656300328,0.4,0.04,0.56,1.6271691200090572
-25.0,exponential,50,50,0.7669484199836398,0.7236528391929261,1.4525103713877998,0.7,0.9055177928962814,82.69874856600654,0.4,0.06,0.54,1.7617025664949324
-25.0,inverse_rank,50,50,0.7490991588299978,0.7035586279697088,1.4525103713877998,0.7,0.8214921294548377,86.9348033270071,0.4,0.06,0.54,1.7549199600034626
-20.0,equal,50,50,0.0047035932918458095,0.2026166131002239,0.8924903065467951,0.22,0.00043554257778517655,41.71313547099999,0.82,0.02,0.16,1.7557639349834062
-20.0,exponential,50,50,0.0047035932918458095,0.18178284211535817,0.8825346532632267,0.2,0.0004170854643587576,43.56863198950305,0.82,0.04,0.14,2.153539749997435
-20.0,inverse_rank,50,50,0.004537433671908208,0.1658477353005023,0.8766713241611233,0.2,0.00040432516127843676,41.998035593511304,0.82,0.06,0.12,2.0215804729959927
