figure,variant,trial_id,seed,snr_db,x_name,x_value,K,paper_k,effective_K,num_ris_paths,receiver_mode,config_seed,nested_receiver_noise_convention,reference_receiver_mode,reference_sigma2,nested_base_y_noisy_hash,failed,error,runtime_s,position_rmse_m,position_error_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,final_runner_name,used_main_single_proposed_path,variant_config_hash,global_vp_mode,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,jones_mode,adaptive_enabled,adaptive_policy_name,selected_vp_family_branch,lambda_path_min,lambda_path_max,lambda_path_mean,lambda_clipped_fraction,used_stage1_regularizer,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m,efim_unscaled_cache_hit,efim_unscaled_cache_key,efim_sigma2,efim_reuse_mode,peb_backend,rss_mb_before,rss_mb_after,rss_mb_delta,warning,debug_main_position_error_m,debug_main_y_nmse,debug_main_raw_objective,debug_main_global_vp_mode,debug_main_adaptive_enabled,debug_config_diff_summary
fig1,free_jones_vp,0,3147786918,0.0,snr_db,0.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,498.65046172600705,0.024922375343859826,0.024922375343859826,0.0021351305917354673,0.005466304305978075,3.930803285015235e-12,0.39713557219610485,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,b48dac61a19ba054,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[2.6947052082550557e-06,7.241458472918392e-07,6.765460282924151e-06]",jnpp_then_vp,[],3101908.040746005,3096560,False,8784015.613537965,65.53508341994397,17.590422289122607,0.024728192784879918,"[5.003057421038621,4.942549780190982,4.970396344476029]",21.541626349964645,452.21160321700154,474.5406088749296,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,
fig1,PEB,0,3147786918,0.0,snr_db,0.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,1.682894175988622,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,aebb2d22e7169129,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0003571212682911131,nan,nan,0.0003571212682911131,False,962164d98d323cdd7cb400e4eec2c624a67a3254e86d277bb8039d2bde664ab1,0.3964529139661309,computed_unscaled,cpu,nan,nan,nan,,,,,,,
