figure,variant,trial_id,seed,snr_db,x_name,x_value,K,receiver_mode,failed,error,runtime_s,position_rmse_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,global_vp_mode,selected_vp_family_branch,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m
fig2,stage1_only,0,3147786918,-30.0,snr_db,-30.0,1,full_6d,False,,10.017731286003254,0.6046386527810583,0.2827191363683542,0.15656967299319957,9.741324825148016e-10,271.48588544906016,True,stage1_only,stage1_only,none,,0,0,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,9.491486888000509,0.0,9.990971418010304,nan,nan,nan,nan
fig2,fixed_pol_vp,0,3147786918,-30.0,snr_db,-30.0,1,full_6d,False,,23.09297859700746,0.6186588316038965,0.002927995167603791,0.13683285501500464,7.398459574487995e-11,271.41915937485896,True,direct_vp,global_exact_spherical_vp,fixed_pol,,1,6,nan,nan,,,,direct_vp,[],3094498.282906757,3096568,True,13.426306770734469,45802.68550479464,nan,0.0,[6.496392695589273],10.764102550994721,10.612016207000124,21.707535121997353,nan,nan,nan,nan
fig2,free_jones_vp,0,3147786918,-30.0,snr_db,-30.0,1,full_6d,False,,20.05274215200916,0.606752805366397,0.0030823009618860782,0.1669140793988193,7.487913121865511e-11,271.41942155758136,True,direct_vp,global_exact_spherical_vp,jones_free,,2,4,nan,nan,[0.0],,[0.0007535371862756484],direct_vp,[],3094501.272098773,3096568,True,18.237356006443196,39317.99951046669,nan,0.0,[6.496392695589273],9.928166088007856,8.927281384996604,19.204838727004244,nan,nan,nan,nan
fig2,regularized_jones_vp,0,3147786918,-30.0,snr_db,-30.0,1,full_6d,False,,21.920621390992892,0.6066108591122892,0.003345106433935002,0.166236580984084,7.46766228359869e-11,271.41947220730145,True,direct_vp,global_exact_spherical_vp,jones_regularized,,2,4,nan,nan,[0.9999999999839999],,[0.0001884078690477033],direct_vp,[],3094501.8495652727,3096568,True,18.22401824652395,39330.8184008043,nan,0.0,[6.496392695589273],10.064582400998916,10.686701694998192,21.083078802010277,nan,nan,nan,nan
fig2,adaptive_jones_vp_proposed,0,3147786918,-30.0,snr_db,-30.0,1,full_6d,False,,34.87753665300261,0.6186588316038965,0.002927995167603791,0.13683285501500464,7.398459574487995e-11,271.41915937485896,True,direct_vp,global_exact_spherical_vp,adaptive_jones,fixed_pol_anchor,1,4,3096665.6748452573,3096670.9679862186,[984.251103732269],[0.0010160008916665273],[7.760263209129305e-10],direct_vp,[],3094498.282906757,3096568,True,13.426306770734469,45802.68550479464,nan,0.0,[6.496392695589273],9.764376075007021,23.69749044701166,33.786770348015125,nan,nan,nan,nan
