figure,variant,trial_id,seed,snr_db,x_name,x_value,K,paper_k,effective_K,num_ris_paths,receiver_mode,config_seed,nested_receiver_noise_convention,reference_receiver_mode,reference_sigma2,nested_base_y_noisy_hash,failed,error,runtime_s,position_rmse_m,position_error_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,final_runner_name,used_main_single_proposed_path,variant_config_hash,global_vp_mode,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,jones_mode,adaptive_enabled,adaptive_policy_name,selected_vp_family_branch,lambda_path_min,lambda_path_max,lambda_path_mean,lambda_clipped_fraction,used_stage1_regularizer,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m,efim_unscaled_cache_hit,efim_unscaled_cache_key,efim_sigma2,efim_reuse_mode,peb_backend,rss_mb_before,rss_mb_after,rss_mb_delta,warning,debug_main_position_error_m,debug_main_y_nmse,debug_main_raw_objective,debug_main_global_vp_mode,debug_main_adaptive_enabled,debug_config_diff_summary,direct_candidate_position_error_m,direct_candidate_y_nmse,direct_candidate_raw_objective,rescue_candidate_position_error_m,rescue_candidate_y_nmse,rescue_candidate_raw_objective,rescue_candidate_available,rescue_accept_decision,rescue_reject_reason,direct_candidate_lambda_jones_per_path,direct_candidate_snr_eff_per_path,direct_candidate_jones_leakage_per_path,rescue_candidate_lambda_jones_per_path,rescue_candidate_snr_eff_per_path,rescue_candidate_jones_leakage_per_path,direct_candidate_data_only_scaled_efim_lambda_min,direct_candidate_data_only_scaled_efim_condition_number,rescue_candidate_data_only_scaled_efim_lambda_min,rescue_candidate_data_only_scaled_efim_condition_number,legacy_stage1_decision,gof_reliability_decision,stage1_geometry_trigger,stage1_geometry_trigger_reasons,ngc_policy_active,ngc_lambda_ris,ngc_direct_clock_score,ngc_direct_clock_score_norm,ngc_direct_clock_dof,ngc_direct_clock_sigma_source,ngc_direct_clock_std_ns,ngc_direct_ris_score,ngc_direct_ris_score_norm,ngc_direct_ris_available,ngc_direct_total_score,ngc_direct_cert_status,ngc_direct_cert_reason,ngc_rescue_requested,ngc_rescue_request_reason,ngc_rescue_clock_score,ngc_rescue_clock_score_norm,ngc_rescue_clock_dof,ngc_rescue_clock_sigma_source,ngc_rescue_clock_std_ns,ngc_rescue_ris_score,ngc_rescue_ris_score_norm,ngc_rescue_ris_available,ngc_rescue_total_score,ngc_rescue_cert_status,ngc_rescue_cert_reason,ngc_selected_by,ngc_final_unreliable,ngc_threshold_clock_green,ngc_threshold_clock_red,proposed_stage2_policy
fig1,adaptive_jones_vp_proposed,0,3147786918,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,76.09551976099988,0.001179403684748315,0.001179403684748315,2.5972770373095412e-05,0.0001795371821948078,9.97677977792019e-13,3.963112893702112,False,direct_vp,global_exact_spherical_vp,main_single_proposed,True,9ddc73c05e706ecb,adaptive_jones,cpu,False,,numpy,numpy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,18.799690675524293,72.09819046298318,40.34455219437572,0.0,True,3,4,3096725.458075429,3101629.5401668134,"[72.09819046298318,18.799690675524293,30.135775444619693]","[0.013869973622171891,0.05319236455752547,0.033183151427696206]","[1.3766053806233532e-08,2.379537835241956e-08,7.653730133780611e-08]",direct_vp,"[""poor_clock_consistency""]",3095469.8123310856,3096560,True,826432.8995161116,69.53544782816799,4.80569153309507,0.12792508600913546,"[5.1223676084276395,4.813879652300758,4.920498951567428]",22.846810813000047,74.0039041399998,97.46541996699989,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.001179403684748315,2.5972770373095412e-05,3.963112893702112,nan,nan,nan,False,not_run,not_requested,"[72.09819046298318,18.799690675524293,30.135775444619693]","[0.013869973622171891,0.05319236455752547,0.033183151427696206]","[1.3766053806233532e-08,2.379537835241956e-08,7.653730133780611e-08]",,,,826432.8995161116,69.53544782816799,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",True,1.0,0.07661524631889284,0.07661524631889284,2,data_only_efim_tau_crb,0.07990371618333993,0.00013912689001537783,0.00013912689001537783,True,0.07675437320890822,green,clock_green,False,ngc_green_skip_rescue,nan,nan,2,,nan,nan,nan,False,nan,,candidate_unavailable,ngc_green_skip_rescue,False,9.21034037197618,13.815510557964274,ngc_certified_ris_only
fig1,adaptive_jones_vp_proposed_old_gated,0,3147786918,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,73.192914363,0.001179403684748315,0.001179403684748315,2.5972770373095412e-05,0.0001795371821948078,9.97677977792019e-13,3.963112893702112,False,direct_vp,global_exact_spherical_vp,main_single_proposed,True,7e1e12b2ca8c5123,adaptive_jones,cpu,False,,numpy,numpy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,18.799690675524293,72.09819046298318,40.34455219437572,0.0,True,3,4,3096725.458075429,3101629.5401668134,"[72.09819046298318,18.799690675524293,30.135775444619693]","[0.013869973622171891,0.05319236455752547,0.033183151427696206]","[1.3766053806233532e-08,2.379537835241956e-08,7.653730133780611e-08]",direct_vp,"[""poor_clock_consistency""]",3095469.8123310856,3096560,True,826432.8995161116,69.53544782816799,4.80569153309507,0.12792508600913546,"[5.1223676084276395,4.813879652300758,4.920498951567428]",22.846810813000047,71.48406306699985,94.94557889399994,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.001179403684748315,2.5972770373095412e-05,3.963112893702112,nan,nan,nan,False,not_run,not_requested,"[72.09819046298318,18.799690675524293,30.135775444619693]","[0.013869973622171891,0.05319236455752547,0.033183151427696206]","[1.3766053806233532e-08,2.379537835241956e-08,7.653730133780611e-08]",,,,826432.8995161116,69.53544782816799,nan,nan,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan,reliability_gated_ris_only
fig1,adaptive_jones_vp_proposed_force_lower_raw,0,3147786918,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,140.6433273120001,0.001179403684748315,0.001179403684748315,2.5972770373095412e-05,0.0001795371821948078,9.97677977792019e-13,3.963112893702112,False,direct_vp_rollback,global_exact_spherical_vp,main_single_proposed,True,cc69ec28a8b5dc2a,adaptive_jones,cpu,False,,numpy,numpy.linalg.solve,fixed_pol_anchor,True,fixed_anchor_then_adaptive_jones_score_selection,fixed_pol_anchor,18.799690675524293,72.09819046298318,40.34455219437572,0.0,True,3,4,3096725.458075429,3101629.5401668134,"[72.09819046298318,18.799690675524293,30.135775444619693]","[0.013869973622171891,0.05319236455752547,0.033183151427696206]","[1.3766053806233532e-08,2.379537835241956e-08,7.653730133780611e-08]",jnpp_then_vp,"[""poor_clock_consistency""]",3095469.8123310856,3096560,True,826432.8995161116,69.53544782816799,4.80569153309507,0.12792508600913546,"[5.1223676084276395,4.813879652300758,4.920498951567428]",22.846810813000047,72.44570701499993,95.90722284200001,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.001179403684748315,2.5972770373095412e-05,3.963112893702112,0.0011794026657080262,2.5972711768672574e-05,3.963112893702113,True,rollback,existing_selector_rollback,"[72.09819046298318,18.799690675524293,30.135775444619693]","[0.013869973622171891,0.05319236455752547,0.033183151427696206]","[1.3766053806233532e-08,2.379537835241956e-08,7.653730133780611e-08]","[72.09819042210742,18.799690679031933,30.13577544922082]","[0.013869973630035413,0.05319236454760085,0.03318315142262981]","[1.768734003633302e-08,2.5451387875794204e-08,8.063711421993238e-08]",826432.8995161116,69.53544782816799,826432.8987620024,69.535447716648,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]",False,1.0,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan,force_ris_only
fig1,PEB,0,3147786918,-10.0,snr_db,-10.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,0.0016313490000356978,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,f8c70be99810249f,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.001129316608687985,nan,nan,0.001129316608687985,False,962164d98d323cdd7cb400e4eec2c624a67a3254e86d277bb8039d2bde664ab1,3.964529139661309,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,,,,,,,,nan,nan,nan,nan,,,,[],False,nan,nan,nan,,,nan,nan,nan,False,nan,,,False,,nan,nan,,,nan,nan,nan,False,nan,,,,False,nan,nan,
