target_delay_separation_ns,achieved_delay_separation_ns_mean,polarization_overlap_target,receiver_mode,n,n_failed,n_resolved,resolution_probability,resolution_ci_low,resolution_ci_high,resolution_ci_method,panel_pairing_accuracy,pole_collapse_rate,stage1_delay_rmse_ns_median,stage1_delay_rmse_ns_p95,position_rmse_m,position_p95_m,clock_rmse_ns,channel_nmse_p95
0.1,0.09999999999964355,0.1,dual_pol,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.565,0.0,45.29673968429054,90.06240423084154,0.7344514128514175,1.609819047911261,1.6999367274713733,0.9964673751018689
0.1,0.09999999999964355,0.1,full_6d,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.46,0.0,47.84823920092833,91.56992707406222,0.718971406963937,1.7509861124831545,1.5474706420783972,0.9929416046301602
0.1,0.09999999999964355,0.1,scalar,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.34,0.015,68.04057970669336,106.05104288588852,1.1287437036977115,2.0064619962729404,2.312990945908309,1.0000319022242594
0.1,0.09999999999964355,0.5,dual_pol,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.52,0.01,44.53117758776513,90.09609543371185,0.6466111823060782,1.5034955143824367,1.6068514412387007,0.995588119941621
0.1,0.09999999999964355,0.5,full_6d,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.445,0.0,47.59558112662868,90.91881842889725,0.6371363470445288,1.5339410157397606,1.4733392020488767,0.9907851592421588
0.1,0.09999999999964355,0.5,scalar,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.345,0.025,67.60341385553309,103.85221479809357,1.1867684709842017,2.082571589204841,2.35514136038026,0.9996836838481408
0.1,0.09999999999964355,0.9,dual_pol,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.4,0.005,44.491149039853184,90.22369092374308,0.7850386224706737,1.7952365781285584,1.6953241965802344,0.9959596270800705
0.1,0.09999999999964355,0.9,full_6d,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.49,0.01,47.74846933205204,90.50335357472171,0.6620647480310299,1.4486018129782094,1.5308631076333583,0.9915922072027533
0.1,0.09999999999964355,0.9,scalar,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.34,0.015,67.87010773120188,104.73009576819253,1.182751284021671,2.051273969248977,2.4438081457752374,0.9995579455489131
0.1,0.09999999999964355,1.0,dual_pol,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.405,0.005,44.483957079278824,90.2426776755724,0.8490449752281035,1.9781229042024144,1.8242714892053078,0.9962346547163448
0.1,0.09999999999964355,1.0,full_6d,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.515,0.005,48.63847963518448,91.57331483532877,0.563591346901571,1.412454276233686,1.3591468127292405,0.9908126201664239
0.1,0.09999999999964355,1.0,scalar,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.38,0.015,68.12029824037928,104.88179391045169,1.1483216549032471,2.1880522871468218,2.395873751758081,0.9994915833693689
0.2,0.19999999999971727,0.1,dual_pol,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.55,0.0,45.28654828357118,89.84337157968993,0.7230323291306607,1.5550208601555515,1.6696543077669805,0.9963152767125645
0.2,0.19999999999971727,0.1,full_6d,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.41,0.0,46.387251938628935,91.64259056879803,0.7096418717522502,1.648269855938096,1.5511567476861956,0.9933958543669805
0.2,0.19999999999971727,0.1,scalar,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.4,0.015,67.89168254028448,106.01315308613985,1.1902248971840186,2.090384290236475,2.2939522690753575,0.9995105737821759
0.2,0.19999999999971727,0.5,dual_pol,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.505,0.01,43.87430485038777,89.83030422594256,0.734029958653664,1.5557911248624519,1.7534649536610272,0.9965201536969217
0.2,0.19999999999971727,0.5,full_6d,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.39,0.0,46.35633857135793,91.55460400005003,0.6760801132779456,1.5633812927334751,1.6797727759793202,0.9937506789916335
0.2,0.19999999999971727,0.5,scalar,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.43,0.02,66.90283988158936,104.22472519523588,1.1079787556285694,2.010988447976419,2.3194399228200973,0.9996961265885129
0.2,0.19999999999971727,0.9,dual_pol,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.435,0.015,42.262767492592864,89.1643335749498,0.7911941189143659,1.7264617749225988,1.5893437393877046,0.9960218456555597
0.2,0.19999999999971727,0.9,full_6d,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.46,0.01,46.99458626636966,91.56333296052466,0.5426531162929292,1.3195966602993623,1.4783423871008916,0.9905011646113168
0.2,0.19999999999971727,0.9,scalar,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.46,0.015,66.35863295075215,106.13388476066955,1.1287636848490326,2.0250782321345007,2.475401469181821,0.9995305060295427
0.2,0.19999999999971727,1.0,dual_pol,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.425,0.015,42.26022667877905,89.20629501724999,0.8262148437157683,1.951303347303787,1.5397796989540165,0.9964508264676826
0.2,0.19999999999971727,1.0,full_6d,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.48,0.005,46.98633698387083,91.98109655520284,0.5729316821209983,1.3730098984232941,1.4384783477567191,0.9907764165304589
0.2,0.19999999999971727,1.0,scalar,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.505,0.015,66.6087797419766,106.05257016457142,1.16864453131999,2.0460083510577727,2.621829155378248,0.9996926508930477
0.5,0.4999999999996868,0.1,dual_pol,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.57,0.0,45.00037432507358,90.02475762755817,0.7204128786203977,1.5639671924877079,1.4739169462866348,0.996199103008823
0.5,0.4999999999996868,0.1,full_6d,200,0,3,0.015,0.003104107621553509,0.0432082819177126,Clopper-Pearson exact,0.43,0.03,16.55980616199497,87.39301397609053,0.5814773560253019,1.44984118852316,1.3046530981922249,0.9916564455554343
0.5,0.4999999999996868,0.1,scalar,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.395,0.015,67.54127889738837,105.87980528558136,1.1198671665887567,2.027746002844891,2.3453055739810487,1.0000401861396226
0.5,0.4999999999996868,0.5,dual_pol,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.445,0.02,42.57335823391733,88.3148858289907,0.6945720322261,1.5322435248936415,1.6468827469377851,0.9965930344053291
0.5,0.4999999999996868,0.5,full_6d,200,0,2,0.01,0.0012133490137360304,0.035654668397239776,Clopper-Pearson exact,0.37,0.03,16.64700149827064,86.69542173862595,0.5252959156750132,1.37830766490436,1.2898075019859243,0.9893363812249132
0.5,0.4999999999996868,0.5,scalar,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.515,0.03,65.73804331285953,106.54872051377785,1.1106255114648276,1.9739979148820617,2.4479495653772356,0.9996007668765822
0.5,0.4999999999996868,0.9,dual_pol,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.385,0.025,40.83571817978401,88.34949911595422,0.7763470131203097,1.6425718248981813,1.7940013134589052,0.9965791569326393
0.5,0.4999999999996868,0.9,full_6d,200,0,1,0.005,0.00012658102786701825,0.02754189845720562,Clopper-Pearson exact,0.39,0.04,17.119478010874936,83.20144047921478,0.5695334044805634,1.383179873634921,1.2311650815275599,0.9909594319469495
0.5,0.4999999999996868,0.9,scalar,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.485,0.06,59.01805314083455,96.20325595124015,1.142139931636366,1.9748351510188864,2.5372895660585515,0.9996874943371911
0.5,0.4999999999996868,1.0,dual_pol,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.425,0.025,40.0413292081122,88.66391077255523,0.684588958034587,1.6191962794096795,1.5386181200116418,0.9967265728322564
0.5,0.4999999999996868,1.0,full_6d,200,0,1,0.005,0.00012658102786701825,0.02754189845720562,Clopper-Pearson exact,0.41,0.05,17.792646091375097,84.64829661599886,0.5633808162838057,1.527855669007091,1.1742264577105452,0.9920299741568801
0.5,0.4999999999996868,1.0,scalar,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.455,0.065,57.46904757795885,93.80541883420183,1.1218665821070135,1.9484188415277917,2.5453918565910922,0.9997205011666411
1.0,0.9999999999998899,0.1,dual_pol,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.525,0.0,43.649916779534266,86.69856984478541,0.7414981464066663,1.6240156261606702,1.6479842991499567,0.9956881204146633
1.0,0.9999999999998899,0.1,full_6d,200,0,83,0.415,0.34593366818078025,0.48662468561680267,Clopper-Pearson exact,0.72,0.06,0.4232664181399477,69.75240244200111,0.33306017324092496,0.700000630797677,0.7017230096499945,0.7688138900748746
1.0,0.9999999999998899,0.1,scalar,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.49,0.015,67.00663640407177,105.59188569914461,1.1630994442092775,1.9920468815575814,2.2705158723135637,0.999851757446092
1.0,0.9999999999998899,0.5,dual_pol,200,0,1,0.005,0.00012658102786701825,0.02754189845720562,Clopper-Pearson exact,0.4,0.045,16.25532498918679,84.26264130172306,0.707808366093523,1.6198749284842169,1.6551958900909551,0.9954009994925249
1.0,0.9999999999998899,0.5,full_6d,200,0,80,0.4,0.33154626373563956,0.47146432720295395,Clopper-Pearson exact,0.735,0.075,0.4250483541983488,70.62670286602456,0.35344884834180856,0.8055245102420496,0.6632991006588758,0.8495518375934049
1.0,0.9999999999998899,0.5,scalar,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.44,0.055,56.11088083019621,93.63542978974823,1.0310598574728387,1.9335687639779353,2.3499185118763415,0.9995024388380558
1.0,0.9999999999998899,0.9,dual_pol,200,0,9,0.045,0.020780422227004353,0.08370268807585404,Clopper-Pearson exact,0.415,0.05,6.587749406502313,82.49082070086249,0.6984842661455176,1.6308161845943596,1.6583509697377523,0.9968498785117194
1.0,0.9999999999998899,0.9,full_6d,200,0,83,0.415,0.34593366818078025,0.48662468561680267,Clopper-Pearson exact,0.75,0.085,0.42865848062653655,69.94102926086362,0.3250983020612386,0.6822932511983902,0.6033310260903252,0.6806069349559667
