figure,variant,x_value,metric,mean,median,std,p10,p90,success_rate,outlier_rate,n
fig2,adaptive_jones_vp_proposed,-30.0,y_nmse,0.002927995167603791,0.002927995167603791,0.0,0.002927995167603791,0.002927995167603791,1.0,1.0,1
fig2,fixed_pol_vp,-30.0,y_nmse,0.002927995167603791,0.002927995167603791,0.0,0.002927995167603791,0.002927995167603791,1.0,1.0,1
fig2,free_jones_vp,-30.0,y_nmse,0.0030823009618860782,0.0030823009618860782,0.0,0.0030823009618860782,0.0030823009618860782,1.0,1.0,1
fig2,regularized_jones_vp,-30.0,y_nmse,0.003345106433935002,0.003345106433935002,0.0,0.003345106433935002,0.003345106433935002,1.0,1.0,1
fig2,stage1_only,-30.0,y_nmse,0.2827191363683542,0.2827191363683542,0.0,0.2827191363683542,0.2827191363683542,1.0,1.0,1
