figure,trial_id,seed,snr_db,true_K,assumed_K,calibration_std_deg,T,ris_side,M_R,r_ue_m,baseline,position_rmse_m,y_nmse,raw_objective_final,runtime_s,failed,error,y_noisy_hash,data_hash,warning,peb_position_m,peb_is_data_only,peb_uses_regularization,nuisance_model,clock_eliminated,efim_condition_number,efim_parameter_order,peb_reference_type,peb_reference_data_hash,k_mismatch_scene_mode,true_scene_hash,estimator_scene_hash,first_trueK_preserved,rss_mb_before,rss_mb_after
fig10a,0,2734548545,-10.0,3,3,0.0,64,64,4096,3.521757768185907,proposed,0.0009853888096893568,0.00012215996764051697,3.353638798088604,34.255031272999986,False,,0bed311b185ed745,bac47da33eace1c8,,nan,,,,,,,,,,,,,nan,nan
fig10a,0,2734548545,-10.0,3,3,0.0,64,64,4096,3.521757768185907,peb,nan,nan,nan,0.4486115530000916,False,,0bed311b185ed745,bac47da33eace1c8,,0.0022157025356892464,True,False,jones_linear,True,62.973900936231324,"[""p_x_m"",""p_y_m"",""p_z_m"",""c_delta_t_m""]",matched_model,3fd4bc885ab1ccf3,,,,,nan,nan
