figure,trial_id,seed,snr_db,true_K,assumed_K,calibration_std_deg,T,ris_side,M_R,r_ue_m,baseline,position_rmse_m,y_nmse,raw_objective_final,runtime_s,failed,error,y_noisy_hash,data_hash,warning,peb_position_m,peb_free_jones_m,peb_constrained_jones_m,peb_anchored_jones_m,peb_variant,jones_bound_type,constrained_jones_peb_m,anchored_jones_peb_m,free_jones_peb_m,peb_fim_rank_chi_free,peb_fim_rank_chi_constrained,peb_fim_rank_chi_anchored,peb_fim_cond_chi_free,peb_fim_cond_chi_constrained,peb_fim_cond_chi_anchored,peb_clock_schur_used,peb_rank_deficient,anchored_prior_scaling,anchored_prior_lambda,anchored_prior_precision_norm,peb_free_projection_schur_relerr,peb_con_minus_free_min_eig,peb_hyb_minus_free_min_eig,peb_ordering_ok,peb_is_data_only,peb_uses_regularization,nuisance_model,clock_eliminated,efim_condition_number,efim_parameter_order,peb_reference_type,peb_reference_data_hash,k_mismatch_scene_mode,true_scene_hash,estimator_scene_hash,first_trueK_preserved,rss_mb_before,rss_mb_after
fig10a,0,2734548545,0.0,3,3,0.0,64,64,4096,3.521757768185907,ris_momp,3.91163072794383,0.9820312166129518,0.6647703221687632,140.27386346500134,False,,303a8324d1486b25,8b9ca76c65509ff3,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan
fig10a,0,2734548545,0.0,3,3,0.0,64,64,4096,3.521757768185907,nf_mmpsr,1.4017845768876185,0.9274583749637307,0.6464700771248015,14.592577923031058,False,,303a8324d1486b25,8b9ca76c65509ff3,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan
fig10a,0,2734548545,0.0,3,3,0.0,64,64,4096,3.521757768185907,peb,nan,nan,nan,1.4080205400241539,False,,303a8324d1486b25,8b9ca76c65509ff3,,0.0007006666630188535,0.0007006666630188535,0.0007006652334349547,nan,free_jones_peb,free,0.0007006652334349547,nan,0.0007006666630188535,4,4,0,84.30969482883069,84.3086987161867,inf,True,False,disabled,nan,nan,2.045850228487329e-15,5.668274282474502,nan,True,True,False,jones_linear,True,62.973900936231324,"[""p_x_m"",""p_y_m"",""p_z_m"",""c_delta_t_m""]",matched_model,f63e7af6af42dfb4,,,,,nan,nan
fig10a,0,2734548545,0.0,3,3,0.0,64,64,4096,3.521757768185907,constrained_jones_peb,nan,nan,nan,1.0795330979744904,False,,303a8324d1486b25,8b9ca76c65509ff3,,0.0007006652334349547,0.0007006666630188535,0.0007006652334349547,nan,constrained_jones_peb,constrained,0.0007006652334349547,nan,0.0007006666630188535,4,4,0,84.30969482883069,84.3086987161867,inf,True,False,disabled,nan,nan,2.045850228487329e-15,5.668274282474502,nan,True,True,False,jones_linear,True,62.973900936231324,"[""p_x_m"",""p_y_m"",""p_z_m"",""c_delta_t_m""]",matched_model,f63e7af6af42dfb4,,,,,nan,nan
