figure,baseline,x_name,x_value,n,success_rate,plot_metric,rmse_m,median_m,p90_m,p95_m,outlier_rate,runtime_s_mean,runtime_s_median,runtime_s_p95,rss_mb_peak_mean
fig9,nf_mmpsr,assumed_K,2.0,24,1.0,position_rmse_m,0.7358996584396997,0.5728560574001117,0.9710118755710456,1.1619973180504095,1.0,6.540778260134782,6.536430716048926,7.169300653971732,nan
fig9,nf_mmpsr,assumed_K,3.0,24,1.0,position_rmse_m,0.6049241838686619,0.5389471796938916,0.9710118755710456,0.9710118755710456,0.9583333333333334,9.108451063123843,9.083650060463697,9.90814080662094,nan
fig9,nf_mmpsr,assumed_K,4.0,24,1.0,position_rmse_m,0.6049241838686619,0.5389471796938916,0.9710118755710456,0.9710118755710456,0.9583333333333334,9.730282860885685,10.399432624224573,12.367438296042383,nan
fig9,nf_mmpsr,assumed_K,5.0,24,1.0,position_rmse_m,0.6049241838686619,0.5389471796938916,0.9710118755710456,0.9710118755710456,0.9583333333333334,8.66242019032749,7.689816711470485,14.540379273239521,nan
fig9,nf_ris_groupomp_localgrid_wls,assumed_K,2.0,24,1.0,position_rmse_m,1.7894526294523512,1.7792955769547734,1.86949190958362,2.1431414776272875,1.0,1.6330186599322285,1.6465058904141188,1.9102602515369653,nan
fig9,nf_ris_groupomp_localgrid_wls,assumed_K,3.0,24,1.0,position_rmse_m,1.7776610000066668,1.6840262051153903,2.19339254861476,2.2042065487964524,1.0,2.3855112646318353,2.3644554261118174,2.7098392731510104,nan
fig9,nf_ris_groupomp_localgrid_wls,assumed_K,4.0,24,1.0,position_rmse_m,1.7652912388968813,1.6576440741254537,2.0980985375735135,2.1827127299264,1.0,2.4300931035929048,2.4660286060534418,3.413068577367812,nan
fig9,nf_ris_groupomp_localgrid_wls,assumed_K,5.0,24,1.0,position_rmse_m,1.7211806488471215,1.6289447094747556,1.971219918231207,2.1591626992695705,1.0,2.2557267689844593,1.7950601913034916,3.74472326640971,nan
fig9,proposed,assumed_K,2.0,24,1.0,position_rmse_m,0.4735968008769758,0.0027940699079285463,0.6366944110916933,1.1044488604515423,0.16666666666666666,119.35049887855227,91.91658672690392,258.2179772323928,nan
fig9,proposed,assumed_K,3.0,24,1.0,position_rmse_m,0.24369169091955084,0.0003617990673261874,0.0008380053528341801,0.0009202362705184803,0.041666666666666664,73.57436892623082,50.62591839348897,147.7604497194755,nan
fig9,proposed,assumed_K,4.0,24,1.0,position_rmse_m,0.37300565431135857,0.19690874801627106,0.6912851765333508,0.7678116806291673,0.7083333333333334,734.1704894174278,791.593248963356,1370.1339154647662,nan
fig9,proposed,assumed_K,5.0,24,1.0,position_rmse_m,0.5729255816219225,0.006899147657702187,0.9216589634141328,1.0297670503794893,0.2916666666666667,474.7216429764715,430.5733284698799,840.1681229934093,nan
fig9,ris_momp,assumed_K,2.0,24,1.0,position_rmse_m,5.0774529309629335,4.941251833831122,6.256692873617599,6.456208872029416,1.0,24.24974543915596,24.279650292824954,25.64086600234732,nan
fig9,ris_momp,assumed_K,3.0,24,1.0,position_rmse_m,4.7491234802929565,4.562762111663578,5.7116869452972105,6.119418333401333,1.0,40.353458934114315,40.489159459248185,42.15949136740528,nan
fig9,ris_momp,assumed_K,4.0,24,1.0,position_rmse_m,4.733999495165526,4.823438597440455,5.919138829160871,6.053836545246425,1.0,51.74807161985276,56.14031553408131,62.44521975931711,nan
fig9,ris_momp,assumed_K,5.0,24,1.0,position_rmse_m,4.849804399038189,4.534589986734996,5.968987558142255,6.442155328590846,1.0,52.17238987070353,48.57217186875641,84.05435659098438,nan
