figure,baseline,x_name,x_value,n,success_rate,plot_metric,rmse_m,median_m,p90_m,p95_m,outlier_rate,runtime_s_mean,runtime_s_median,runtime_s_p95,rss_mb_peak_mean
fig10b,constrained_jones_peb,M_R,256.0,24,1.0,peb_position_m,0.0015258403892389571,0.001468333567492539,0.0017654205295138364,0.0017904788644057543,nan,5.732827316193531,5.821431364864111,6.281171643780544,nan
fig10b,constrained_jones_peb,M_R,576.0,24,1.0,peb_position_m,0.00108219878677101,0.0010320073121974204,0.0012262263845733519,0.0013146746508272491,nan,5.494050074058275,5.582499315030873,6.024440557463095,nan
fig10b,constrained_jones_peb,M_R,1024.0,24,1.0,peb_position_m,0.0007861795823169088,0.0007768652514936891,0.0008994253002062205,0.0009599553549371754,nan,5.28337660129182,5.422716235741973,5.93751052962616,nan
fig10b,constrained_jones_peb,M_R,2304.0,24,1.0,peb_position_m,0.0005453412204923358,0.00053176581468893,0.0006507640370150181,0.0006817687730698434,nan,5.806427064390543,5.720545200165361,6.370721213240176,nan
fig10b,constrained_jones_peb,M_R,4096.0,24,1.0,peb_position_m,0.00040867412412304153,0.00038789842962592155,0.0004697580061396786,0.0005180720378391691,nan,4.351919011484521,4.197357174940407,6.479597530793398,nan
fig10b,nf_mmpsr,M_R,256.0,24,1.0,position_rmse_m,0.0658819374904836,0.07150174823037528,0.0756327475370291,0.0756327475370291,0.041666666666666664,2.886713250346171,2.882364480756223,3.2953697636257857,nan
fig10b,nf_mmpsr,M_R,576.0,24,1.0,position_rmse_m,0.17752072208853062,0.01767766952966372,0.0756327475370291,0.419401630193435,0.08333333333333333,3.3014947957514473,3.2649708641692996,3.828911622287705,nan
fig10b,nf_mmpsr,M_R,1024.0,24,1.0,position_rmse_m,0.1580848516224751,0.05208166663999894,0.14833847201725742,0.4336502963590078,0.125,3.8411656953782463,3.9456274625845253,4.370454094558954,nan
fig10b,nf_mmpsr,M_R,2304.0,24,1.0,position_rmse_m,0.4204585015937958,0.151436569931609,0.8413924668078991,0.9710118755710456,0.5,6.1345286422486724,6.316793299745768,6.827835970791057,nan
fig10b,nf_mmpsr,M_R,4096.0,24,1.0,position_rmse_m,0.60625585263498,0.5389471796938916,0.9710118755710456,0.9710118755710456,0.9166666666666666,7.236917519864316,7.767206287011504,9.545955768413842,nan
fig10b,nf_ris_groupomp_localgrid_wls,M_R,256.0,24,1.0,position_rmse_m,1.694374474133977,1.7033807256751197,1.8765658152479503,2.0353166367491635,1.0,0.8016543186968192,0.7844706606119871,1.0183253097347915,nan
fig10b,nf_ris_groupomp_localgrid_wls,M_R,576.0,24,1.0,position_rmse_m,1.7102050181171253,1.6767099232760807,1.8365261531537809,2.0202706225625966,1.0,0.9111796586463848,0.9440270098857582,1.0859680199529975,nan
fig10b,nf_ris_groupomp_localgrid_wls,M_R,1024.0,24,1.0,position_rmse_m,1.7100331745460084,1.705706016345663,1.8523695732126277,1.893518910137841,1.0,0.9949512196859965,1.0296902409754694,1.155879389680922,nan
fig10b,nf_ris_groupomp_localgrid_wls,M_R,2304.0,24,1.0,position_rmse_m,1.7176168467468913,1.745031826880099,1.869491907250667,1.869491909560558,1.0,1.577829130498382,1.5874160500243306,1.8407066556625067,nan
fig10b,nf_ris_groupomp_localgrid_wls,M_R,4096.0,24,1.0,position_rmse_m,1.7407143783005032,1.7269512544292505,2.059439163842652,2.143940835596108,1.0,1.8278770735487342,1.7646420933306217,2.7487791151273995,nan
fig10b,proposed,M_R,256.0,24,1.0,position_rmse_m,0.0017567790968628172,0.0014388703344731415,0.002362297686443675,0.0031018831882139797,0.0,47.39990636582176,47.60144393099472,57.272259985283014,nan
fig10b,proposed,M_R,576.0,24,1.0,position_rmse_m,0.0011704026451299933,0.0010417259499137074,0.0018322332151890148,0.0019042263680843139,0.0,38.625382852507755,37.90503501100466,46.071980211790645,nan
fig10b,proposed,M_R,1024.0,24,1.0,position_rmse_m,0.00923391918134947,0.0006197138382619919,0.0015316934177462924,0.0021436955971895415,0.0,50.326550491619855,37.24707972910255,42.47416980587877,nan
fig10b,proposed,M_R,2304.0,24,1.0,position_rmse_m,0.14288817118801672,0.00030092808015370497,0.0009588560413404912,0.0011456129929707315,0.041666666666666664,43.327107475449644,41.30609297286719,51.503991397330516,nan
fig10b,proposed,M_R,4096.0,24,1.0,position_rmse_m,0.18693709111171253,0.00029351580269768246,0.0007001791956220932,0.5485424887538621,0.08333333333333333,53.39293054572772,48.150988583453,84.76269128383137,nan
fig10b,ris_momp,M_R,256.0,24,1.0,position_rmse_m,4.647421591931613,4.665533388283326,5.961791828737937,6.861423486314967,1.0,23.314230857300572,23.312341972719878,24.991306138830257,nan
fig10b,ris_momp,M_R,576.0,24,1.0,position_rmse_m,3.975609578288697,3.506553294043197,5.034155878937538,6.914784634528961,1.0,23.412812501618948,23.922357054427266,25.97031649961136,nan
fig10b,ris_momp,M_R,1024.0,24,1.0,position_rmse_m,5.1522066715568675,4.672548147550111,6.833255265062822,7.664111465256421,1.0,23.971407476851407,24.61889287084341,26.887812818633392,nan
fig10b,ris_momp,M_R,2304.0,24,1.0,position_rmse_m,5.11703832138504,4.742027365856662,6.805601365808698,7.106524527461473,1.0,29.25184164615348,29.45354168396443,32.41844245376996,nan
fig10b,ris_momp,M_R,4096.0,24,1.0,position_rmse_m,5.1861838238910245,5.235315246626022,6.685871364363554,6.97942532006734,1.0,33.39104285114445,36.218432660680264,39.70339961545542,nan
