figure,trial_id,seed,snr_db,true_K,assumed_K,calibration_std_deg,delta_tau_min_ns,target_delta_tau_min_ns,achieved_delta_tau_min_ns,resolvability_target_abs_error_ns,resolvability_geometry_valid,resolvability_bracket_valid,T,ris_side,M_R,r_ue_m,baseline,position_rmse_m,outlier_flag,y_nmse,raw_objective_final,runtime_s,failed,error,y_noisy_hash,data_hash,warning,peb_position_m,peb_free_jones_m,peb_constrained_jones_m,peb_anchored_jones_m,peb_variant,jones_bound_type,constrained_jones_peb_m,anchored_jones_peb_m,free_jones_peb_m,peb_fim_rank_chi_free,peb_fim_rank_chi_constrained,peb_fim_rank_chi_anchored,peb_fim_cond_chi_free,peb_fim_cond_chi_constrained,peb_fim_cond_chi_anchored,peb_clock_schur_used,peb_rank_deficient,anchored_prior_scaling,anchored_prior_lambda,anchored_prior_precision_norm,peb_free_projection_schur_relerr,peb_con_minus_free_min_eig,peb_hyb_minus_free_min_eig,peb_ordering_ok,peb_is_data_only,peb_uses_regularization,nuisance_model,clock_eliminated,efim_condition_number,efim_parameter_order,peb_reference_type,peb_reference_data_hash,batch_size,max_batch_memory_mb,num_batches,baseline_backend,gpu_used,gpu_device,gpu_num_batches,gpu_batch_size,cache_enabled,cache_hits,cache_misses,cache_estimated_bytes,scoring_time_s,backend_warning,factorized_scoring,score_mode,coarse_backend,coarse_gpu_used,local_refinement_backend,local_refinement_gpu_used,wls_backend,mixed_backend,k_mismatch_scene_mode,true_scene_hash,estimator_scene_hash,first_trueK_preserved,rss_mb_before,rss_mb_after,selected_branch,proposed_stage2_policy,ngc_policy_active,ngc_rescue_requested,rescue_requested,ngc_selected_by,ngc_final_unreliable,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,vp_dictionary_mode,vp_dictionary_mode_requested,vp_jacobian_mode,vp_matrix_free_enabled,vp_matrix_free_fallback_reason,vp_precontract_static_modes,vp_factor_cache_hits,vp_factor_cache_misses,vp_matrix_free_num_objective_calls,vp_matrix_free_debug_num_compares,vp_matrix_free_debug_rel_G_diff,vp_matrix_free_debug_rel_b_diff,vp_matrix_free_debug_rel_x_hat_diff,vp_matrix_free_debug_rel_regularized_objective_diff,vp_matrix_free_debug_rel_gradient_diff
fig9,14,2159553696,0.0,3,2,0.0,0.0,0.0,3.0064184435359778,0.0,1,1,256,64,4096,3.521757768185907,ris_momp,4.184596440694043,1,0.9747554121849572,0.5232777608920695,24.959710049442947,False,,873316534c099d49,6b0f0ecc02d513cb,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,256.0,21354,cupy,True,0,21354,10,True,0,2,80493927,7.0443095890805125,,True,factorized_group_projection,,,,,,False,slice_physical_scene,91b2eeba3b74d82c,546782e09642a517,True,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig9,14,2159553696,0.0,3,2,0.0,0.0,0.0,3.0064184435359778,0.0,1,1,256,64,4096,3.521757768185907,nf_mmpsr,0.5728560574001117,1,0.29133536593054526,0.342278818072128,6.78718825802207,False,,873316534c099d49,6b0f0ecc02d513cb,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,256.0,104,cupy,True,0,104,64,True,0,1,80514023,6.730065851472318,,True,factorized_2K_gram_projection,,,,,,False,slice_physical_scene,91b2eeba3b74d82c,546782e09642a517,True,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig9,14,2159553696,0.0,3,2,0.0,0.0,0.0,3.0064184435359778,0.0,1,1,256,64,4096,3.521757768185907,nf_ris_groupomp_localgrid_wls,1.776369566663167,1,0.9830159293290627,0.525454587680627,1.536745605058968,False,,873316534c099d49,6b0f0ecc02d513cb,subris_fallback_to_physical_panel_centers,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,40,mixed,True,0,40,128,True,0,2,82576712,0.30817378871142864,mixed_backend_cpu_wls_and_final_fit,True,factorized_group_projection,cupy,True,cupy,True,cpu,True,slice_physical_scene,91b2eeba3b74d82c,546782e09642a517,True,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig9,14,2159553696,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,64,4096,3.521757768185907,proposed,0.00046886029271108875,0,4.472072440773458e-06,0.26491218294361235,52.91753124538809,False,,873316534c099d49,274cb52116785574,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,matched_physical_scene,91b2eeba3b74d82c,91b2eeba3b74d82c,True,nan,nan,direct_vp,ngc_certified_ris_only,True,False,False,ngc_green_skip_rescue,False,,,,,,explicit,,legacy_least_squares_numerical,False,,,0,0,,,,,,,
fig9,14,2159553696,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,64,4096,3.521757768185907,ris_momp,3.9973833878366203,1,0.9663292175379831,0.5210594165246692,40.672791321761906,False,,873316534c099d49,274cb52116785574,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,256.0,48045,cupy,True,0,48045,10,True,0,2,203225333,11.166955177672207,,True,factorized_group_projection,,,,,,False,matched_physical_scene,91b2eeba3b74d82c,91b2eeba3b74d82c,True,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig9,14,2159553696,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,64,4096,3.521757768185907,nf_mmpsr,0.20653389552322912,1,0.28704211013858455,0.34112325101097585,9.455479201860726,False,,873316534c099d49,274cb52116785574,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,256.0,104,cupy,True,0,104,64,True,0,1,203245429,9.384758956730366,,True,factorized_2K_gram_projection,,,,,,False,matched_physical_scene,91b2eeba3b74d82c,91b2eeba3b74d82c,True,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig9,14,2159553696,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,64,4096,3.521757768185907,nf_ris_groupomp_localgrid_wls,1.7752749684161815,1,0.9820159866638049,0.5251791650438149,2.5815507555380464,False,,873316534c099d49,274cb52116785574,subris_fallback_to_physical_panel_centers,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,90,mixed,True,0,90,128,True,0,2,206207801,0.5478253522887826,mixed_backend_cpu_wls_and_final_fit,True,factorized_group_projection,cupy,True,cupy,True,cpu,True,matched_physical_scene,91b2eeba3b74d82c,91b2eeba3b74d82c,True,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig9,14,2159553696,0.0,3,4,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,64,4096,3.521757768185907,proposed,0.0006197781604524366,0,0.03693780485933865,0.2746209115091787,872.328485975042,False,,873316534c099d49,6f99d69dc3559754,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,extended_physical_scene,91b2eeba3b74d82c,231fe38244f68115,True,nan,nan,direct_vp,ngc_certified_ris_only,True,True,True,rescue_unavailable_direct_fallback,True,,,,,,matrix_free,matrix_free,analytic_reduced_vp_matrix_free_gradient,True,,evs_bs_to_y_evs,13,1,13,0,,,,,
fig9,14,2159553696,0.0,3,4,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,64,4096,3.521757768185907,ris_momp,4.548612013479371,1,0.9573920286544765,0.5186989742154985,53.70251734089106,False,,873316534c099d49,6f99d69dc3559754,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,256.0,85412,cupy,True,0,85412,10,True,0,2,367173036,15.043604604899883,,True,factorized_group_projection,,,,,,False,extended_physical_scene,91b2eeba3b74d82c,231fe38244f68115,True,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig9,14,2159553696,0.0,3,4,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,256,64,4096,3.521757768185907,nf_mmpsr,0.20653389552322912,1,0.28704255813614327,0.3411230972272396,8.617446552030742,False,,873316534c099d49,6f99d69dc3559754,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,256.0,104,cupy,True,0,104,64,True,0,1,367193132,8.545539340935647,,True,factorized_2K_gram_projection,,,,,,False,extended_physical_scene,91b2eeba3b74d82c,231fe38244f68115,True,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
