figure,trial_id,seed,snr_db,true_K,assumed_K,calibration_std_deg,delta_tau_min_ns,target_delta_tau_min_ns,achieved_delta_tau_min_ns,resolvability_target_abs_error_ns,resolvability_geometry_valid,resolvability_bracket_valid,T,ris_side,M_R,r_ue_m,baseline,position_rmse_m,outlier_flag,y_nmse,raw_objective_final,runtime_s,failed,error,y_noisy_hash,data_hash,warning,peb_position_m,peb_free_jones_m,peb_constrained_jones_m,peb_anchored_jones_m,peb_variant,jones_bound_type,constrained_jones_peb_m,anchored_jones_peb_m,free_jones_peb_m,peb_fim_rank_chi_free,peb_fim_rank_chi_constrained,peb_fim_rank_chi_anchored,peb_fim_cond_chi_free,peb_fim_cond_chi_constrained,peb_fim_cond_chi_anchored,peb_clock_schur_used,peb_rank_deficient,anchored_prior_scaling,anchored_prior_lambda,anchored_prior_precision_norm,peb_free_projection_schur_relerr,peb_con_minus_free_min_eig,peb_hyb_minus_free_min_eig,peb_ordering_ok,peb_is_data_only,peb_uses_regularization,nuisance_model,clock_eliminated,efim_condition_number,efim_parameter_order,peb_reference_type,peb_reference_data_hash,batch_size,max_batch_memory_mb,num_batches,baseline_backend,gpu_used,gpu_device,gpu_num_batches,gpu_batch_size,cache_enabled,cache_hits,cache_misses,cache_estimated_bytes,scoring_time_s,backend_warning,factorized_scoring,score_mode,coarse_backend,coarse_gpu_used,local_refinement_backend,local_refinement_gpu_used,wls_backend,mixed_backend,k_mismatch_scene_mode,true_scene_hash,estimator_scene_hash,first_trueK_preserved,rss_mb_before,rss_mb_after,selected_branch,proposed_stage2_policy,ngc_policy_active,ngc_rescue_requested,rescue_requested,ngc_selected_by,ngc_final_unreliable,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,vp_dictionary_mode,vp_dictionary_mode_requested,vp_jacobian_mode,vp_matrix_free_enabled,vp_matrix_free_fallback_reason,vp_precontract_static_modes,vp_factor_cache_hits,vp_factor_cache_misses,vp_matrix_free_num_objective_calls,vp_matrix_free_debug_num_compares,vp_matrix_free_debug_rel_G_diff,vp_matrix_free_debug_rel_b_diff,vp_matrix_free_debug_rel_x_hat_diff,vp_matrix_free_debug_rel_regularized_objective_diff,vp_matrix_free_debug_rel_gradient_diff
fig10a,12,3482550917,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,proposed,0.000849924067434065,0,1.2477333059807785e-05,0.2523111029565556,14.346146576106548,False,,0ff6d809ff0fda90,b67d4d33935aa5d6,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,,,,,nan,nan,direct_vp,ngc_certified_ris_only,True,False,False,ngc_green_skip_rescue,False,,,,,,explicit,,legacy_least_squares_numerical,False,,,0,0,,,,,,,
fig10a,12,3482550917,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,ris_momp,8.267575516680267,1,0.8227912262272029,0.4589379292482904,11.296255425550044,False,,0ff6d809ff0fda90,b67d4d33935aa5d6,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,256.0,11175,cupy,True,0,11175,43,True,0,2,108649389,4.821553274989128,,True,factorized_group_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,12,3482550917,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,nf_mmpsr,0.20653389552322912,1,0.19647911004042728,0.30159737085533284,5.131768452934921,False,,0ff6d809ff0fda90,b67d4d33935aa5d6,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,256.0,104,cupy,True,0,104,64,True,0,1,108669485,5.118143090978265,,True,factorized_2K_gram_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,12,3482550917,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,nf_ris_groupomp_localgrid_wls,1.7790446874657184,1,0.9694384513448917,0.49615592179810664,1.2796661900356412,False,,0ff6d809ff0fda90,b67d4d33935aa5d6,subris_fallback_to_physical_panel_centers,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,90,mixed,True,0,90,128,True,0,2,111115761,0.25384880322963,mixed_backend_cpu_wls_and_final_fit,True,factorized_group_projection,cupy,True,cupy,True,cpu,True,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,12,3482550917,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,constrained_jones_peb,nan,,nan,nan,0.9188158055767417,False,,0ff6d809ff0fda90,b67d4d33935aa5d6,,0.0008344131356439254,0.0008344473512615063,0.0008344131356439254,nan,constrained_jones_peb,constrained,0.0008344131356439254,nan,0.0008344473512615063,4,4,0,86.00463877224144,85.99151528759273,inf,True,False,disabled,nan,nan,1.8550227489739067e-15,22.541332652560904,nan,True,True,False,jones_linear,True,81.2515402802419,"[""p_x_m"",""p_y_m"",""p_z_m"",""c_delta_t_m""]",matched_model,007eb96790cbcc02,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,0,2734548545,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,proposed,0.0003110505598695116,0,1.222659407121076e-05,0.33536387796402656,14.715016825124621,False,,3a19e7ac09560516,c1d5c8ec62040548,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,,,,,nan,nan,direct_vp,ngc_certified_ris_only,True,False,False,ngc_green_skip_rescue,False,,,,,,explicit,,legacy_least_squares_numerical,False,,,0,0,,,,,,,
fig10a,0,2734548545,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,ris_momp,4.459931107442499,1,0.9057672602421147,0.6389134303798043,11.107328481040895,False,,3a19e7ac09560516,c1d5c8ec62040548,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,256.0,11175,cupy,True,0,11175,43,True,0,2,108649389,4.794059907086194,,True,factorized_group_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,0,2734548545,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,nf_mmpsr,0.5389471796938916,1,0.3161019550078101,0.44113547474749987,5.411574169993401,False,,3a19e7ac09560516,c1d5c8ec62040548,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,256.0,104,cupy,True,0,104,64,True,0,1,108669485,5.398492516949773,,True,factorized_2K_gram_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,0,2734548545,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,nf_ris_groupomp_localgrid_wls,1.6536558161404722,1,0.9661758094482831,0.6594030921910086,1.0706096235662699,False,,3a19e7ac09560516,c1d5c8ec62040548,subris_fallback_to_physical_panel_centers,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,90,mixed,True,0,90,128,True,0,2,111115761,0.21189355663955212,mixed_backend_cpu_wls_and_final_fit,True,factorized_group_projection,cupy,True,cupy,True,cpu,True,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,0,2734548545,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,constrained_jones_peb,nan,,nan,nan,0.9559289421886206,False,,3a19e7ac09560516,c1d5c8ec62040548,,0.0007006652334349547,0.0007006666630188592,0.0007006652334349547,nan,constrained_jones_peb,constrained,0.0007006652334349547,nan,0.0007006666630188592,4,4,0,84.30969482883182,84.3086987161872,inf,True,False,disabled,nan,nan,1.884685362334066e-15,5.668274317070461,nan,True,True,False,jones_linear,True,62.97390093623156,"[""p_x_m"",""p_y_m"",""p_z_m"",""c_delta_t_m""]",matched_model,a0d1ac35283b753c,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
