figure,baseline,x_name,x_value,n,success_rate,plot_metric,rmse_m,median_m,p90_m,p95_m,outlier_rate,runtime_s_mean,runtime_s_median,runtime_s_p95,rss_mb_peak_mean
fig11,nf_mmpsr,achieved_delta_tau_min_ns,0.09999999999963904,24,1.0,position_rmse_m,0.5625674728051145,0.5389471796938916,0.8986261056896281,0.9710118755710456,0.8333333333333334,9.986570065297807,9.89055619109422,10.549450184684247,nan
fig11,nf_mmpsr,achieved_delta_tau_min_ns,0.2500000000001634,24,1.0,position_rmse_m,0.5625674728051147,0.5389471796938916,0.8986261056896281,0.9710118755710456,0.8333333333333334,8.554089194784561,9.088226556312293,9.64182564560324,nan
fig11,nf_mmpsr,achieved_delta_tau_min_ns,0.49999999999968736,24,1.0,position_rmse_m,0.5453143803692508,0.5389471796938916,0.8986261056896281,0.9710118755710456,0.875,8.920528345624916,8.897062452044338,9.700602044491097,nan
fig11,nf_mmpsr,achieved_delta_tau_min_ns,0.9999999999998863,24,1.0,position_rmse_m,0.5736281756104442,0.5389471796938916,0.9710118755710456,0.9710118755710456,0.875,8.567306838658018,8.765503705944866,9.367070409609004,nan
fig11,nf_mmpsr,achieved_delta_tau_min_ns,1.9999999999998082,24,1.0,position_rmse_m,0.5480474930948047,0.5389471796938916,0.8515651301197652,0.9710118755710456,0.875,8.79657644010149,8.77357790665701,9.568679024046286,nan
fig11,nf_mmpsr,achieved_delta_tau_min_ns,4.99999999999951,24,1.0,position_rmse_m,0.5026871801047513,0.5389471796938916,0.5728560574001117,0.9112885028454046,0.8333333333333334,8.86270653406003,8.853826300706714,10.03399471216835,nan
fig11,nf_mmpsr,achieved_delta_tau_min_ns,9.999999999999694,24,1.0,position_rmse_m,0.4329263914531738,0.47927260080743633,0.5728560574001117,0.5728560574001117,0.5416666666666666,8.723467424201468,8.819877655245364,9.722696804720908,nan
fig11,nf_mmpsr,achieved_delta_tau_min_ns,19.999999999999424,24,1.0,position_rmse_m,0.2742449388016729,0.0735672478837024,0.4800667271328018,0.5301151118097276,0.375,8.178054449885773,8.220129873603582,10.051077606808393,nan
fig11,proposed,achieved_delta_tau_min_ns,0.09999999999963904,24,1.0,position_rmse_m,0.7801879874124769,0.5070094771450806,1.1988949132861846,1.574927952818881,0.75,516.90078299512,388.87998673086986,1111.3288849583819,nan
fig11,proposed,achieved_delta_tau_min_ns,0.2500000000001634,24,1.0,position_rmse_m,0.6100284944826898,0.2987672886386797,0.9222185187872722,0.9917475996817465,0.5833333333333334,514.2919388447577,369.4899690183811,1387.0811082845082,nan
fig11,proposed,achieved_delta_tau_min_ns,0.49999999999968736,24,1.0,position_rmse_m,0.3933357422405409,0.026635759241441154,0.700000063989573,0.7000000906721769,0.4583333333333333,283.40245453993947,101.7382272593677,779.6512760194948,nan
fig11,proposed,achieved_delta_tau_min_ns,0.9999999999998863,24,1.0,position_rmse_m,0.3719280452819336,0.00030052404675569175,0.700000439781593,0.7000005798610927,0.25,115.2377175364333,60.685571120586246,390.46821216908216,nan
fig11,proposed,achieved_delta_tau_min_ns,1.9999999999998082,24,1.0,position_rmse_m,0.14288732563208856,0.0002354055913162607,0.0005130137493992901,0.0005532607695613047,0.041666666666666664,59.15280757215805,50.96698146453127,91.86167306127027,nan
fig11,proposed,achieved_delta_tau_min_ns,4.99999999999951,24,1.0,position_rmse_m,0.14288768820638845,0.00031964372208346517,0.0008605695006505382,0.0012223475906348996,0.041666666666666664,53.03331524669193,49.84340596012771,75.84779022717846,nan
fig11,proposed,achieved_delta_tau_min_ns,9.999999999999694,24,1.0,position_rmse_m,0.0003898037978435318,0.00023097473599298474,0.0006277679829881815,0.0008080864683316427,0.0,47.40237546137845,43.878060024697334,50.15402778666466,nan
fig11,proposed,achieved_delta_tau_min_ns,19.999999999999424,24,0.0,position_rmse_m,nan,nan,nan,nan,0.0,nan,nan,nan,nan
fig11,stage1_only,achieved_delta_tau_min_ns,0.09999999999963904,24,1.0,position_rmse_m,0.9034363129218305,0.8032431035603722,1.178675630898884,1.3899967563827071,1.0,19.253063408269856,19.01250362629071,20.84422413194552,nan
fig11,stage1_only,achieved_delta_tau_min_ns,0.2500000000001634,24,1.0,position_rmse_m,0.7619148088341252,0.7113040020795989,1.0190585661243319,1.071730791002335,1.0,17.97862929943949,18.636012845672667,19.619164870120585,nan
fig11,stage1_only,achieved_delta_tau_min_ns,0.49999999999968736,24,1.0,position_rmse_m,0.5593065398926209,0.5002296479707979,0.9269068617469844,0.9779508013190873,1.0,19.649242253624834,19.682867395225912,20.767671137163415,nan
fig11,stage1_only,achieved_delta_tau_min_ns,0.9999999999998863,24,1.0,position_rmse_m,0.37647418218429307,0.21865980472713445,0.5451158891437117,0.5501709423852116,1.0,18.75969111348968,18.97499268501997,20.906786591606213,nan
fig11,stage1_only,achieved_delta_tau_min_ns,1.9999999999998082,24,1.0,position_rmse_m,0.324097259314542,0.20782530985821906,0.5406468982045932,0.5409966539632381,1.0,18.633167910079163,18.662714652251452,19.69831177010201,nan
fig11,stage1_only,achieved_delta_tau_min_ns,4.99999999999951,24,1.0,position_rmse_m,0.35928971469359655,0.22893309854481564,0.6865238226283352,0.700101524788308,0.7083333333333334,18.658706015363958,18.597596552222967,19.710448643378914,nan
fig11,stage1_only,achieved_delta_tau_min_ns,9.999999999999694,24,1.0,position_rmse_m,0.17760847039821712,0.022424992568380816,0.33616915289411786,0.3368690537664296,0.2916666666666667,17.28183377631164,17.276213311590254,19.37304985979572,nan
fig11,stage1_only,achieved_delta_tau_min_ns,19.999999999999424,24,0.0,position_rmse_m,nan,nan,nan,nan,0.0,nan,nan,nan,nan
