trial_id,seed,snr_db,K,failed,error,runtime_s,p_true_x,p_true_y,p_true_z,p_hat_x,p_hat_y,p_hat_z,err_x_m,err_y_m,err_z_m,position_error_m,delta_t_true_s,delta_t_hat_s,delta_t_error_s,clock_error_ns,clock_range_error_m,y_nmse,raw_objective_final,residual_norm,noise_variance,stage1_position_error_m,stage2_position_error_m,final_position_error_m,selected_branch,global_vp_mode,jones_mode,adaptive_enabled,boundary_hit,boundary_hit_axis,distance_to_position_box_boundary_m,z_rescue_triggered,z_rescue_num_starts,z_rescue_best_z,z_rescue_selected_reason,direct_boundary_hit,rescue_boundary_hit,branch_score_margin,boundary_selection_rule_used,warning
0,3147786918,0.0,3,False,,78.14288854799997,1.25,0.55,0.75,1.249980893619662,0.5500082385142053,0.7496282101209845,-1.9106380338085316e-05,8.23851420528321e-06,-0.0003717898790155383,0.0003723716436899067,5e-09,4.999500205272879e-09,-4.997947271211449e-13,0.0004997947271211449,0.00014983468973908727,2.5944651614142025e-06,0.39631128991806286,783.3288035331384,0.3964529139661309,0.2000519753751517,0.2000519753751517,0.0003723716436899067,direct_vp,adaptive_jones,fixed_pol_anchor,True,False,[],0.3996282101209845,False,0,0.7496282101209845,not_triggered,False,False,nan,False,
1,112311654,0.0,3,False,,64.44598150900003,1.25,0.55,0.75,1.2499044412582732,0.5500551413127668,0.7499359347161496,-9.55587417268422e-05,5.514131276673773e-05,-6.406528385038968e-05,0.0001275789876464284,5e-09,4.999087108718964e-09,-9.128912810364177e-13,0.0009128912810364176,0.00027367792102867645,8.866666832285895e-06,0.3038171112657051,685.8544944573567,0.3038314297188423,0.19911839330557585,0.19911839330557585,0.0001275789876464284,direct_vp,adaptive_jones,fixed_pol_anchor,True,False,[],0.39993593471614963,False,0,0.7499359347161496,not_triggered,False,False,nan,False,
2,3251202663,0.0,3,False,,118.75878254799989,1.25,0.55,0.75,1.250117155562405,0.5499875226753832,0.7500910162569148,0.00011715556240510239,-1.2477324616844143e-05,9.101625691476656e-05,0.00014887937551865516,5e-09,5.000179977140455e-09,1.7997714045462106e-13,0.00017997714045462105,5.395578932070208e-05,8.108070798343165e-06,0.22850568477780978,594.8046819530471,0.2287057192270079,0.20271209801439238,0.20271209801439238,0.00014887937551865516,direct_vp,adaptive_jones,fixed_pol_anchor,True,False,[],0.4000910162569148,False,0,0.7500910162569148,not_triggered,False,False,nan,False,
3,3422926171,0.0,3,False,,55.725839393000115,1.25,0.55,0.75,1.2497962475663522,0.5500656412790457,0.7495317557196778,-0.00020375243364778584,6.564127904562511e-05,-0.00046824428032221643,0.000514855841752438,5e-09,5.00047208656887e-09,4.720865688698157e-13,0.00047208656886981565,0.00014152799287026833,1.14220336431987e-05,0.278144730463428,656.237874889708,0.2780626491560737,0.20137126668116373,0.20137126668116373,0.000514855841752438,direct_vp,adaptive_jones,fixed_pol_anchor,True,False,[],0.3995317557196778,False,0,0.7495317557196778,not_triggered,False,False,nan,False,
4,287230138,0.0,3,False,,66.03322032499977,1.25,0.55,0.75,1.2497190519286785,0.5499418916113097,0.7498225682427975,-0.00028094807132150734,-5.8108388690358836e-05,-0.00017743175720252857,0.00033732837425784636,5e-09,4.999365149329435e-09,-6.348506705652568e-13,0.0006348506705652568,0.00019032344299170658,4.566366433045161e-06,0.49430920243726306,874.8331306158818,0.4943582367100889,0.20272504502083566,0.20272504502083566,0.00033732837425784636,direct_vp,adaptive_jones,fixed_pol_anchor,True,False,[],0.3998225682427975,False,0,0.7498225682427975,not_triggered,False,False,nan,False,
5,2290547997,0.0,3,False,,90.45564359399987,1.25,0.55,0.75,1.2500078897248217,0.5500354729656043,0.7494582523873604,7.889724821685817e-06,3.547296560424407e-05,-0.000541747612639587,0.0005429650585877638,5e-09,5.000655958815956e-09,6.559588159559595e-13,0.0006559588159559595,0.00019665150578220672,4.503284220815642e-06,0.27276976710982515,649.866260994473,0.27300020886016524,0.20106933932826504,0.20106933932826504,0.0005429650585877638,direct_vp,adaptive_jones,fixed_pol_anchor,True,False,[],0.39945825238736044,False,0,0.7494582523873604,not_triggered,False,False,nan,False,
6,1919806993,0.0,3,False,,80.07697070899985,1.25,0.55,0.75,1.249963844803902,0.5500361522008104,0.7500979258697652,-3.615519609789786e-05,3.615220081032433e-05,9.792586976520301e-05,0.0001104701579503667,5e-09,5.000226107660073e-09,2.261076600730848e-13,0.00022610766007308478,6.778537118593856e-05,2.2971045960002445e-06,0.4198014956987802,806.2094133489595,0.4199671633749915,0.20176129929137213,0.20176129929137213,0.0001104701579503667,direct_vp,adaptive_jones,fixed_pol_anchor,True,False,[],0.4000979258697652,False,0,0.7500979258697652,not_triggered,False,False,nan,False,
7,1914929603,0.0,3,False,,92.61291327699996,1.25,0.55,0.75,1.2497910483401273,0.5500747746991539,0.7496465707174658,-0.00020895165987266928,7.47746991538456e-05,-0.00035342928253423445,0.0004173299768166139,5e-09,4.999411241722581e-09,-5.887582774192798e-13,0.0005887582774192797,0.00017650529115537176,5.366912942858129e-06,0.7354901884361645,1067.1225950533767,0.7361137239348519,0.2051630341581808,0.2051630341581808,0.0004173299768166139,direct_vp,adaptive_jones,fixed_pol_anchor,True,False,[],0.3996465707174658,False,0,0.7496465707174658,not_triggered,False,False,nan,False,
8,641399591,0.0,3,False,,76.59772416700002,1.25,0.55,0.75,1.2499758372586716,0.5499872464760229,0.7497754641364599,-2.416274132843732e-05,-1.2753523977115933e-05,-0.00022453586354009847,0.00022619205215488355,5e-09,4.999676895335449e-09,-3.2310466455130813e-13,0.00032310466455130814,9.686434157710213e-05,3.738167719553828e-06,0.22558786920274185,590.9949160798038,0.2254925735329804,0.20151960916215636,0.20151960916215636,0.00022619205215488355,direct_vp,adaptive_jones,fixed_pol_anchor,True,False,[],0.3997754641364599,False,0,0.7497754641364599,not_triggered,False,False,nan,False,
9,3933360494,0.0,3,False,,634.0146007900003,1.25,0.55,0.75,1.2499672499046515,0.5499538503144683,0.7500831170851381,-3.275009534853268e-05,-4.6149685531737816e-05,8.311708513808469e-05,0.0001005525338411116,5e-09,5.0003188752366436e-09,3.1887523664345693e-13,0.00031887523664345693,9.559639098867362e-05,5.097164848815006e-06,0.11912266568504569,429.4603518465563,0.11912225890998429,0.5316939679641677,0.5316939679641677,0.0001005525338411116,direct_vp,adaptive_jones,fixed_pol_anchor,True,False,[],0.4000831170851381,True,7,0.7500831170851381,lowest_raw_objective,False,False,nan,False,
10,781873798,0.0,3,False,,69.24235972099996,1.25,0.55,0.75,1.2502182991921496,0.5499329140370421,0.7500065610573179,0.0002182991921495514,-6.708596295790237e-05,6.561057317888697e-06,0.00022846905959508922,5e-09,5.0008737464203336e-09,8.737464203334795e-13,0.0008737464203334795,0.000261942587020475,4.193910495846923e-06,0.2203603085708477,584.1072002950663,0.22052459114280942,0.20129663053495858,0.20129663053495858,0.00022846905959508922,direct_vp,adaptive_jones,fixed_pol_anchor,True,False,[],0.4000065610573179,False,0,0.7500065610573179,not_triggered,False,False,nan,False,
