figure,variant,trial_id,seed,snr_db,x_name,x_value,K,receiver_mode,failed,error,runtime_s,position_rmse_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,global_vp_mode,selected_vp_family_branch,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m,rss_mb_before,rss_mb_after,rss_mb_delta,warning
fig2,stage1_only,0,3147786918,-30.0,snr_db,-30.0,3,full_6d,False,,0.13364967899906333,1.1778377528231043,1.004181042444542,1.6508666044515086,7.405076457704916e-08,396.70808201780886,True,stage1_only,stage1_only,none,,0,0,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,24.32042349800031,0.0,25.02351116400314,nan,nan,nan,nan,nan,nan,nan,
fig2,fixed_pol_vp,0,3147786918,-30.0,snr_db,-30.0,3,full_6d,False,,68.75214573999983,1.096229250586114,1.0030551537733041,0.5738258444545836,3.8201421275382466e-09,396.70643690401647,True,direct_vp,global_exact_spherical_vp,fixed_pol,,3,10,nan,nan,,,,direct_vp,"[""low_assignment_margin"",""poor_clock_consistency""]",3098556.1923942296,3096560,True,58.16989232811977,44.20456129568474,0.0009840919187011283,64.00997687443564,"[125.47884993660334,-9.059694946277833,-11.52048835303332]",24.32042349800031,66.86486469600277,91.88837586000591,nan,nan,nan,nan,nan,nan,nan,
fig2,free_jones_vp,0,3147786918,-30.0,snr_db,-30.0,3,full_6d,False,,19.744120108996867,2.12001752964543,1.0049801769509525,1.210480868883749,3.0020218499847452e-09,396.70639359566417,True,direct_vp,global_exact_spherical_vp,jones_free,,6,4,nan,nan,"[0.0,0.0,0.0]",,"[0.3114675045337438,0.0715105166305581,0.3797199738912132]",direct_vp,"[""low_assignment_margin"",""poor_clock_consistency""]",3098555.8541255486,3096560,True,48.73094718934334,53.446839385465736,0.0009840919187011283,64.00997687443564,"[125.47884993660334,-9.059694946277833,-11.52048835303332]",24.32042349800031,17.862953608997486,42.886464773000625,nan,nan,nan,nan,nan,nan,nan,
fig2,regularized_jones_vp,0,3147786918,-30.0,snr_db,-30.0,3,full_6d,False,,37.67613997600347,2.1109525450798827,1.0041584953822682,1.2073048284180468,2.9942344633862408e-09,396.70654782781116,True,direct_vp,global_exact_spherical_vp,jones_regularized,,6,4,nan,nan,"[0.9999999999839999,0.9999999999839999,0.9999999999839999]",,"[0.07186520508535095,0.01305924641865232,0.1314011596124139]",direct_vp,"[""low_assignment_margin"",""poor_clock_consistency""]",3098557.058787056,3096560,True,47.896876410261925,51.657746057205564,0.0009840919187011283,64.00997687443564,"[125.47884993660334,-9.059694946277833,-11.52048835303332]",24.32042349800031,35.70808349700019,60.73159466100333,nan,nan,nan,nan,nan,nan,nan,
fig2,adaptive_jones_vp_proposed,0,3147786918,-30.0,snr_db,-30.0,3,full_6d,False,,90.7408749089991,1.096229250586114,1.0030551537733041,0.5738258444545836,3.8201421275382466e-09,396.70643690401647,True,direct_vp,global_exact_spherical_vp,adaptive_jones,fixed_pol_anchor,3,4,3096725.458075429,3096729.3002740312,"[414053.5891151664,328629.2097063214,1921120.644465053]","[2.4151453150869015e-06,3.0429421421925254e-06,5.205285163950808e-07]","[1.3227595942682966e-12,3.967200263764321e-13,1.6157348645257773e-13]",direct_vp,"[""low_assignment_margin"",""poor_clock_consistency""]",3098556.1923942296,3096560,True,58.16989232811977,44.20456129568474,0.0009840919187011283,64.00997687443564,"[125.47884993660334,-9.059694946277833,-11.52048835303332]",24.32042349800031,88.95211472099982,113.97562588500296,nan,nan,nan,nan,nan,nan,nan,
fig2,PEB,0,3147786918,-30.0,snr_db,-30.0,3,full_6d,False,,3.0959938269988925,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.011182975705068644,nan,nan,0.011182975705068644,nan,nan,nan,
