trial_id,seed,snr_db,K,failed,error,runtime_s,p_true_x,p_true_y,p_true_z,p_hat_x,p_hat_y,p_hat_z,err_x_m,err_y_m,err_z_m,position_error_m,delta_t_true_s,delta_t_hat_s,delta_t_error_s,clock_error_ns,clock_range_error_m,y_nmse,raw_objective_final,residual_norm,noise_variance,stage1_position_error_m,stage2_position_error_m,final_position_error_m,selected_branch,global_vp_mode,jones_mode,adaptive_enabled
10,781873798,0.0,3,False,,66.42692103199988,1.25,0.55,0.75,1.2502182991921496,0.5499329140370421,0.7500065610573179,0.0002182991921495514,-6.708596295790237e-05,6.561057317888697e-06,0.00022846905959508922,5e-09,5.0008737464203336e-09,8.737464203334795e-13,0.0008737464203334795,0.000261942587020475,4.193910495846923e-06,0.2203603085708477,584.1072002950663,0.22052459114280942,0.20129663053495858,0.20129663053495858,0.00022846905959508922,direct_vp,adaptive_jones,fixed_pol_anchor,True
11,3685333214,0.0,3,False,,115.12258231299893,1.25,0.55,0.75,1.2505130587724342,0.5500208402250331,1.4499999999999997,0.0005130587724342384,2.0840225033014192e-05,0.6999999999999997,0.7000001883311308,5e-09,5.036934252941113e-09,3.693425294111295e-11,0.03693425294111295,0.01107261047360998,0.034445380335075326,0.29624994837226615,677.2593595258759,0.28674312832228127,0.5324906497960854,0.5324906497960854,0.7000001883311308,direct_vp_rollback,adaptive_jones,fixed_pol_anchor,True
12,2210497206,0.0,3,False,,66.9322677529999,1.25,0.55,0.75,1.2500498754217326,0.5499753267406373,0.7496061588678111,4.9875421732625824e-05,-2.4673259362728572e-05,-0.00039384113218887684,0.0003977526427623129,5e-09,4.999740685620968e-09,-2.593143790319014e-13,0.00025931437903190137,7.774049508471737e-05,3.027345355994901e-06,0.4559175753340912,840.1736194852047,0.45558038103096565,0.20126782839189006,0.20126782839189006,0.0003977526427623129,direct_vp,adaptive_jones,fixed_pol_anchor,True
13,634888206,0.0,3,False,,68.871990646001,1.25,0.55,0.75,1.2499113438570344,0.5500104384090625,0.7495047857190933,-8.865614296560409e-05,1.0438409062452081e-05,-0.0004952142809067084,0.0005031958426728514,5e-09,5.000258841812457e-09,2.58841812456905e-13,0.00025884181245690497,7.759882318963057e-05,4.155436214740094e-06,0.20446468052867564,562.64572448956,0.20455692554871044,0.2072672346236231,0.2072672346236231,0.0005031958426728514,direct_vp,adaptive_jones,fixed_pol_anchor,True
14,1092560480,0.0,3,False,,99.23293382500015,1.25,0.55,0.75,1.2496133556308402,0.5490452332854863,1.449999999999993,-0.0003866443691598054,-0.0009547667145137773,0.6999999999999931,0.7000007579091165,5e-09,5.041509776502327e-09,4.150977650232721e-11,0.04150977650232721,0.012444317928663318,0.0867857941109701,0.2349347932223177,603.1141858127659,0.21631840949807746,0.5332244976139925,0.5332244976139925,0.7000007579091165,direct_vp_rollback,adaptive_jones,fixed_pol_anchor,True
15,2734808712,0.0,3,False,,66.66861985600008,1.25,0.55,0.75,1.2497627947106273,0.54999442939147,0.75033284915648,-0.00023720528937265506,-5.570608530014454e-06,0.00033284915648001956,0.00040876147317869897,5e-09,5.001034656163992e-09,1.0346561639917049e-12,0.0010346561639917049,0.0003101821145879243,4.741521969474905e-06,0.11545139049077138,422.7907313082624,0.11534740679242614,0.2042556117035267,0.2042556117035267,0.00040876147317869897,direct_vp,adaptive_jones,fixed_pol_anchor,True
16,1080178429,0.0,3,False,,107.13091432599867,1.25,0.55,0.75,1.250073439584599,0.5499874911292333,0.7500405076461119,7.34395845989333e-05,-1.2508870766758662e-05,4.0507646111853646e-05,8.479807679096574e-05,5e-09,4.99923911787652e-09,-7.608821234798524e-13,0.0007608821234798524,0.00022810672204628444,1.8701001444312634e-06,0.48092889509889586,862.9116044734133,0.4802466357959781,0.2020152012047582,0.2020152012047582,8.479807679096574e-05,direct_vp_rollback,adaptive_jones,fixed_pol_anchor,True
17,2127997378,0.0,3,False,,64.6445712650002,1.25,0.55,0.75,1.2500092887434702,0.5499538323738296,0.7497001664207477,9.288743470170502e-06,-4.6167626170490195e-05,-0.0002998335792523399,0.00030350931733431506,5e-09,4.9997234176024965e-09,-2.7658239750358445e-13,0.00027658239750358445,8.291731678713265e-05,5.525583309024281e-06,0.40048656595004734,787.4443118225357,0.4000509529956755,0.20433208842119538,0.20433208842119538,0.00030350931733431506,direct_vp,adaptive_jones,fixed_pol_anchor,True
18,3644258948,0.0,3,False,,80.86601631199846,1.25,0.55,0.75,1.2498467483193423,0.5500279436929332,0.7500469850293273,-0.00015325168065771777,2.7943692933130038e-05,4.698502932731774e-05,0.0001627099277242943,5e-09,5.001085489023853e-09,1.085489023852858e-12,0.0010854890238528579,0.0003254214225928689,3.6767299542525428e-06,0.4394780824555113,824.8870476185682,0.43985002009860585,0.2027393961410307,0.2027393961410307,0.0001627099277242943,direct_vp,adaptive_jones,fixed_pol_anchor,True
19,3846521747,0.0,3,False,,79.99748921600258,1.25,0.55,0.75,1.2503187492745087,0.5499782087963427,0.7493536087723198,0.0003187492745087006,-2.1791203657306468e-05,-0.0006463912276801764,0.0007210392331756594,5e-09,5.000944614214121e-09,9.446142141211168e-13,0.0009446142141211169,0.00028318821711310796,6.82528805300702e-06,0.11852845730879612,428.38789444815234,0.11858033347287425,0.2020077862936691,0.2020077862936691,0.0007210392331756594,direct_vp,adaptive_jones,fixed_pol_anchor,True
