figure,variant,snr_db,trial_id,seed,receiver_mode,K,paper_k,effective_K,selected_branch,reliability_decision,trigger_reasons,gof_pass,position_error_m,peb_position_m,error_over_peb,relative_outlier_5peb,y_nmse,raw_objective_final,direct_candidate_position_error_m,direct_candidate_y_nmse,direct_candidate_raw_objective,rescue_candidate_position_error_m,rescue_candidate_y_nmse,rescue_candidate_raw_objective,rescue_candidate_available,rescue_accept_decision,rescue_reject_reason
fig1_fig2,free_jones_vp_gated_rescue,0.0,0,3147786918,full_6d,3,3,3,ris_only_stage2_then_vp,jnpp_then_vp,[],False,0.0002721063675608797,0.0003571212682911129,0.7619438877526276,False,4.837933427880749e-06,0.3963122666122597,0.008942744070379769,0.002325683937900114,0.3972313877803199,0.0002721063675608797,4.837933427880749e-06,0.3963122666122597,True,accepted,accepted
fig1_fig2,free_jones_vp_force_rescue,0.0,0,3147786918,full_6d,3,3,3,ris_only_stage2_then_vp,jnpp_then_vp,[],False,0.0002721063675608797,0.0003571212682911129,0.7619438877526276,False,4.837933427880749e-06,0.3963122666122597,0.008942744070379769,0.002325683937900114,0.3972313877803199,0.0002721063675608797,4.837933427880749e-06,0.3963122666122597,True,accepted,accepted
fig1_fig2,free_jones_vp,0.0,1,112311654,full_6d,3,3,3,direct_vp,jnpp_then_vp,"[""poor_clock_consistency""]",False,0.028852416422729156,0.0004542847401665288,63.51174466514684,True,0.010645437927363203,0.30697979908331124,0.028852416422729156,0.010645437927363203,0.30697979908331124,nan,nan,nan,False,not_run,not_requested
fig1_fig2,free_jones_vp_gated_rescue,0.0,1,112311654,full_6d,3,3,3,ris_only_stage2_then_vp,jnpp_then_vp,"[""poor_clock_consistency""]",False,0.001166336219607669,0.0004542847401665288,2.5674122779913784,False,1.0961459753832517e-05,0.30381815859513356,0.028852416422729156,0.010645437927363203,0.30697979908331124,0.001166336219607669,1.0961459753832517e-05,0.30381815859513356,True,accepted,accepted
fig1_fig2,free_jones_vp_force_rescue,0.0,1,112311654,full_6d,3,3,3,ris_only_stage2_then_vp,jnpp_then_vp,"[""poor_clock_consistency""]",False,0.001166336219607669,0.0004542847401665288,2.5674122779913784,False,1.0961459753832517e-05,0.30381815859513356,0.028852416422729156,0.010645437927363203,0.30697979908331124,0.001166336219607669,1.0961459753832517e-05,0.30381815859513356,True,accepted,accepted
fig1_fig2,free_jones_vp,0.0,2,3251202663,full_6d,3,3,3,direct_vp,direct_vp,[],True,0.0007050436772920958,0.00034924305916974056,2.0187764904138796,False,1.70028221102721e-05,0.22850698884464082,0.0007050436772920958,1.70028221102721e-05,0.22850698884464082,nan,nan,nan,False,not_run,not_requested
fig1_fig2,free_jones_vp_gated_rescue,0.0,2,3251202663,full_6d,3,3,3,direct_vp,direct_vp,[],True,0.0007050436772920958,0.00034924305916974056,2.0187764904138796,False,1.70028221102721e-05,0.22850698884464082,0.0007050436772920958,1.70028221102721e-05,0.22850698884464082,nan,nan,nan,False,not_run,not_requested
fig1_fig2,free_jones_vp_force_rescue,0.0,2,3251202663,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,[],True,0.0007050436772920958,0.00034924305916974056,2.0187764904138796,False,1.70028221102721e-05,0.22850698884464082,0.0007050436772920958,1.70028221102721e-05,0.22850698884464082,0.0013474654960348798,1.3365711131425437e-05,0.22850708642550108,True,rollback,existing_selector_rollback
fig1_fig2,free_jones_vp,0.0,3,3422926171,full_6d,3,3,3,direct_vp,jnpp_then_vp,[],False,0.022367073362424446,0.00034567784068279927,64.70496725576606,True,0.0017236412191798233,0.27860783106184106,0.022367073362424446,0.0017236412191798233,0.27860783106184106,nan,nan,nan,False,not_run,not_requested
fig1_fig2,free_jones_vp_gated_rescue,0.0,3,3422926171,full_6d,3,3,3,ris_only_stage2_then_vp,jnpp_then_vp,[],False,0.001492492725948815,0.00034567784068279927,4.317582877169021,False,1.640837678595183e-05,0.27814611383098137,0.022367073362424446,0.0017236412191798233,0.27860783106184106,0.001492492725948815,1.640837678595183e-05,0.27814611383098137,True,accepted,accepted
fig1_fig2,free_jones_vp_force_rescue,0.0,3,3422926171,full_6d,3,3,3,ris_only_stage2_then_vp,jnpp_then_vp,[],False,0.001492492725948815,0.00034567784068279927,4.317582877169021,False,1.640837678595183e-05,0.27814611383098137,0.022367073362424446,0.0017236412191798233,0.27860783106184106,0.001492492725948815,1.640837678595183e-05,0.27814611383098137,True,accepted,accepted
fig1_fig2,free_jones_vp,0.0,4,287230138,full_6d,3,3,3,direct_vp,direct_vp,[],True,0.0008861707856045484,0.00031735169972477585,2.7923933805083836,False,2.107243143831488e-05,0.49432522842595034,0.0008861707856045484,2.107243143831488e-05,0.49432522842595034,nan,nan,nan,False,not_run,not_requested
fig1_fig2,free_jones_vp_gated_rescue,0.0,4,287230138,full_6d,3,3,3,direct_vp,direct_vp,[],True,0.0008861707856045484,0.00031735169972477585,2.7923933805083836,False,2.107243143831488e-05,0.49432522842595034,0.0008861707856045484,2.107243143831488e-05,0.49432522842595034,nan,nan,nan,False,not_run,not_requested
fig1_fig2,free_jones_vp_force_rescue,0.0,4,287230138,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,[],True,0.0008861707856045484,0.00031735169972477585,2.7923933805083836,False,2.107243143831488e-05,0.49432522842595034,0.0008861707856045484,2.107243143831488e-05,0.49432522842595034,0.0008900785661367445,5.37778241769326e-06,0.49431106339231734,True,rollback,existing_selector_rollback
fig1_fig2,free_jones_vp,0.0,5,2290547997,full_6d,3,3,3,direct_vp,jnpp_then_vp,[],False,0.00834477184171572,0.000383671861947529,21.74976241248818,True,0.0023255645169372005,0.2734069545280687,0.00834477184171572,0.0023255645169372005,0.2734069545280687,nan,nan,nan,False,not_run,not_requested
fig1_fig2,free_jones_vp_gated_rescue,0.0,5,2290547997,full_6d,3,3,3,ris_only_stage2_then_vp,jnpp_then_vp,[],False,0.0005690949548582973,0.000383671861947529,1.4832856180006413,False,4.71585841597705e-06,0.2727705913458384,0.00834477184171572,0.0023255645169372005,0.2734069545280687,0.0005690949548582973,4.71585841597705e-06,0.2727705913458384,True,accepted,accepted
fig1_fig2,free_jones_vp_force_rescue,0.0,5,2290547997,full_6d,3,3,3,ris_only_stage2_then_vp,jnpp_then_vp,[],False,0.0005690949548582973,0.000383671861947529,1.4832856180006413,False,4.71585841597705e-06,0.2727705913458384,0.00834477184171572,0.0023255645169372005,0.2734069545280687,0.0005690949548582973,4.71585841597705e-06,0.2727705913458384,True,accepted,accepted
