variant,snr_db,n,mean_error_over_peb,median_error_over_peb,p90_error_over_peb,max_error_over_peb,outlier_count_5peb,outlier_rate_5peb,direct_vp_count,ris_only_stage2_then_vp_count,direct_vp_rollback_count,jnpp_decision_count,gof_fail_count
free_jones_vp,-5.0,6,18.56088063155687,16.42586308893124,37.54393186923026,40.287055010288896,3,0.5,6,0,0,0,0
free_jones_vp,0.0,6,29.969806885220645,23.395479759744344,64.10835596045645,64.70496725576606,4,0.6666666666666666,6,0,0,4,4
free_jones_vp_force_rescue,-5.0,6,18.56088063155687,16.42586308893124,37.54393186923026,40.287055010288896,3,0.5,0,0,6,6,0
free_jones_vp_force_rescue,0.0,6,2.3235657553059883,2.293094384202629,3.554988128838702,4.317582877169021,0,0.0,0,4,2,6,4
free_jones_vp_gated_rescue,-5.0,6,18.56088063155687,16.42586308893124,37.54393186923026,40.287055010288896,3,0.5,6,0,0,0,0
free_jones_vp_gated_rescue,0.0,6,2.3235657553059883,2.293094384202629,3.554988128838702,4.317582877169021,0,0.0,2,4,0,4,4
