figure,variant,trial_id,seed,snr_db,x_name,x_value,K,paper_k,effective_K,num_ris_paths,receiver_mode,config_seed,nested_receiver_noise_convention,reference_receiver_mode,reference_sigma2,nested_base_y_noisy_hash,failed,error,runtime_s,position_rmse_m,position_error_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,final_runner_name,used_main_single_proposed_path,variant_config_hash,global_vp_mode,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,jones_mode,adaptive_enabled,adaptive_policy_name,selected_vp_family_branch,lambda_path_min,lambda_path_max,lambda_path_mean,lambda_clipped_fraction,used_stage1_regularizer,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m,efim_unscaled_cache_hit,efim_unscaled_cache_key,efim_sigma2,efim_reuse_mode,peb_backend,rss_mb_before,rss_mb_after,rss_mb_delta,warning,debug_main_position_error_m,debug_main_y_nmse,debug_main_raw_objective,debug_main_global_vp_mode,debug_main_adaptive_enabled,debug_config_diff_summary,direct_candidate_position_error_m,direct_candidate_y_nmse,direct_candidate_raw_objective,rescue_candidate_position_error_m,rescue_candidate_y_nmse,rescue_candidate_raw_objective,rescue_candidate_available,rescue_accept_decision,rescue_reject_reason
fig1,free_jones_vp_force_rescue,0,3147786918,0.0,snr_db,0.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,50.718080851002014,0.0002721063675608797,0.0002721063675608797,4.837933427880749e-06,0.00012150353023216338,2.8975895128791614e-13,0.3963122666122597,False,ris_only_stage2_then_vp,global_exact_spherical_vp,proposed_post_stage1,False,ddb3d869524f9b9b,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[4.6611750028730005e-06,6.598414887281953e-07,8.008207064241155e-06]",jnpp_then_vp,[],3102656.427825666,3096560,False,8210714.247787928,69.67986043668448,17.58971928547601,0.024743475388426,"[5.003091910898832,4.942547214331634,4.97040442855503]",22.26248416200542,1.5696609610022279,27.999267636005243,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.008942744070379769,0.002325683937900114,0.3972313877803199,0.0002721063675608797,4.837933427880749e-06,0.3963122666122597,True,accepted,accepted
fig1,PEB,0,3147786918,0.0,snr_db,0.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,1.6893902920055552,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,7eb7cc478121eee6,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0003571212682911129,nan,nan,0.0003571212682911129,False,962164d98d323cdd7cb400e4eec2c624a67a3254e86d277bb8039d2bde664ab1,0.3964529139661309,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
fig1,free_jones_vp,1,112311654,0.0,snr_db,0.0,3,3,3,3,full_6d,112311654,,,nan,,False,,34.379633473996364,0.028852416422729156,0.028852416422729156,0.010645437927363203,0.01503255484925431,5.991429293781024e-12,0.30697979908331124,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,59abc561be3607c0,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[3.817920758915586e-07,5.526976757448476e-07,1.9399861551523894e-05]",jnpp_then_vp,"[""poor_clock_consistency""]",3128663.4144658814,3096560,False,5653040.386696273,87.99927471903439,7.504416492466278,0.16442412852488128,"[4.9908384064641345,4.995227221914958,4.6442572747527135]",24.217490550996445,28.43143539099401,53.08559475299262,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.028852416422729156,0.010645437927363203,0.30697979908331124,nan,nan,nan,False,not_run,not_requested
fig1,free_jones_vp_gated_rescue,1,112311654,0.0,snr_db,0.0,3,3,3,3,full_6d,112311654,,,nan,,False,,37.250330144001055,0.001166336219607669,0.001166336219607669,1.0961459753832517e-05,4.657352407978706e-05,7.455773486198865e-13,0.30381815859513356,False,ris_only_stage2_then_vp,global_exact_spherical_vp,proposed_post_stage1,False,59abc561be3607c0,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[4.6425884402554566e-07,7.512305498884503e-07,8.681426198559514e-06]",jnpp_then_vp,"[""poor_clock_consistency""]",3128663.4144658814,3096560,False,5653040.386696273,87.99927471903439,7.504416492466278,0.16442412852488128,"[4.9908384064641345,4.995227221914958,4.6442572747527135]",24.217490550996445,1.545496311999159,27.84756268699857,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.028852416422729156,0.010645437927363203,0.30697979908331124,0.001166336219607669,1.0961459753832517e-05,0.30381815859513356,True,accepted,accepted
fig1,free_jones_vp_force_rescue,1,112311654,0.0,snr_db,0.0,3,3,3,3,full_6d,112311654,,,nan,,False,,40.0842880420023,0.001166336219607669,0.001166336219607669,1.0961459753832517e-05,4.657352407978706e-05,7.455773486198865e-13,0.30381815859513356,False,ris_only_stage2_then_vp,global_exact_spherical_vp,proposed_post_stage1,False,ab0fe3b883285d31,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[4.6425884402554566e-07,7.512305498884503e-07,8.681426198559514e-06]",jnpp_then_vp,"[""poor_clock_consistency""]",3128663.4144658814,3096560,False,5653040.386696273,87.99927471903439,7.504416492466278,0.16442412852488128,"[4.9908384064641345,4.995227221914958,4.6442572747527135]",24.217490550996445,1.7258316279985593,30.072973182999704,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.028852416422729156,0.010645437927363203,0.30697979908331124,0.001166336219607669,1.0961459753832517e-05,0.30381815859513356,True,accepted,accepted
fig1,PEB,1,112311654,0.0,snr_db,0.0,3,3,3,3,full_6d,112311654,,,nan,,False,,2.0021459630006575,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,5d0412b3664cbf24,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0004542847401665288,nan,nan,0.0004542847401665288,False,03cd7c332e4eed0126bd941bde17e626eadbdc845abb58ecb3c9db59f411c888,0.3038314297188423,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
fig1,free_jones_vp,2,3251202663,0.0,snr_db,0.0,3,3,3,3,full_6d,3251202663,,,nan,,False,,6.46771679000085,0.0007050436772920958,0.0007050436772920958,1.70028221102721e-05,0.0005217439179661598,2.579012180697315e-13,0.22850698884464082,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,36a8b3092adcd420,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[7.711613277937214e-07,1.3367341370332584e-06,1.6468114003446364e-05]",direct_vp,[],3093885.277028189,3096560,True,8429929.981018765,73.92602841106316,21.907332837456938,0.05420306416812995,"[4.903080002660355,5.010836979998729,5.024131403426888]",22.337110492997454,4.308702810005343,27.03560488000221,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0007050436772920958,1.70028221102721e-05,0.22850698884464082,nan,nan,nan,False,not_run,not_requested
fig1,free_jones_vp_gated_rescue,2,3251202663,0.0,snr_db,0.0,3,3,3,3,full_6d,3251202663,,,nan,,False,,6.701659922997351,0.0007050436772920958,0.0007050436772920958,1.70028221102721e-05,0.0005217439179661598,2.579012180697315e-13,0.22850698884464082,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,36a8b3092adcd420,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[7.711613277937214e-07,1.3367341370332584e-06,1.6468114003446364e-05]",direct_vp,[],3093885.277028189,3096560,True,8429929.981018765,73.92602841106316,21.907332837456938,0.05420306416812995,"[4.903080002660355,5.010836979998729,5.024131403426888]",22.337110492997454,4.367389798004297,27.094291868001164,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0007050436772920958,1.70028221102721e-05,0.22850698884464082,nan,nan,nan,False,not_run,not_requested
fig1,free_jones_vp_force_rescue,2,3251202663,0.0,snr_db,0.0,3,3,3,3,full_6d,3251202663,,,nan,,False,,22.52987777799717,0.0007050436772920958,0.0007050436772920958,1.70028221102721e-05,0.0005217439179661598,2.579012180697315e-13,0.22850698884464082,False,direct_vp_rollback,global_exact_spherical_vp,proposed_post_stage1,False,c77ad9effc12b1ba,jones_free,cupy,True,0,cupy,cupy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[7.711613277937214e-07,1.3367341370332584e-06,1.6468114003446364e-05]",jnpp_then_vp,[],3093885.277028189,3096560,True,8429929.981018765,73.92602841106316,21.907332837456938,0.05420306416812995,"[4.903080002660355,5.010836979998729,5.024131403426888]",22.337110492997454,4.404645062000782,27.13154713199765,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0007050436772920958,1.70028221102721e-05,0.22850698884464082,0.0013474654960348798,1.3365711131425437e-05,0.22850708642550108,True,rollback,existing_selector_rollback
fig1,PEB,2,3251202663,0.0,snr_db,0.0,3,3,3,3,full_6d,3251202663,,,nan,,False,,1.6759991889994126,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,e9eaf8d0f67cf957,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.00034924305916974056,nan,nan,0.00034924305916974056,False,8987930e90af29d022988cd1458542371c71a26f04123b06ffb10e357efad045,0.2287057192270079,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
