label,p_x,p_y,p_z,clock_s,old_total_objective,ccop_total_objective,absolute_error,relative_error,trig_absolute_error
truth,1.25,0.55,0.75,5e-09,2.774957583736456,2.7749575837364566,4.440892098500626e-16,1.6003459384489052e-16,0.0
stage1_low,0.3,-0.4107468116003886,1.1499766669366451,0.0,2.936698450678308,2.9366984506783096,1.7763568394002505e-15,6.048822748518674e-16,8.881784197001252e-16
stage1_mid,0.3,-0.4107468116003886,1.1499766669366451,5e-09,2.956059408836022,2.9560594088360226,4.440892098500626e-16,1.5023013695957048e-16,4.440892098500626e-16
old_solution,0.4415449079766357,0.7252980975453996,1.1616893621977524,3.673712947754824e-09,2.8207273533566295,2.820727353356631,1.3322676295501878e-15,4.723135073529194e-16,4.440892098500626e-16
old_position_high,0.4415449079766357,0.7252980975453996,1.1616893621977524,1e-08,2.929380944197262,2.9293809441972622,4.440892098500626e-16,1.5159831319642733e-16,0.0
