trial,statistic
0,12.588895218349396
1,7.998345895605713
2,4.32699455526343
3,16.721041134276682
4,10.65535606480129
5,14.460867591527755
6,7.873935891331838
7,4.348325054365273
8,4.596401381715357
9,9.811234870343696
10,6.754648898219026
11,11.508138158108594
12,8.933877226775802
13,8.416250640764389
14,14.122885552109794
15,13.168039224016601
16,9.60318388685173
17,8.436580590101924
18,15.929306536797494
19,8.36700207286696
20,10.486606617457971
21,9.5942011554089
22,14.30412990387507
23,8.87867734602731
24,9.001227844003482
25,21.40666869407096
26,10.035897067340123
27,13.5384847027145
28,6.370367325276519
29,10.067004439468416
30,10.742677566560785
31,12.585241957149764
32,5.784304253532292
33,12.3055748158144
34,14.484970011629901
35,9.446949530042593
36,16.55231581573186
37,16.13693432984925
38,11.915011263831373
39,14.080734449213145
40,10.93518342136567
41,14.615051541602634
42,19.54831739482944
43,8.565773197841482
44,10.219405749257932
45,11.361455249679354
46,14.800518669036093
47,11.765762693198232
48,19.991503918370345
49,6.770581721074878
50,5.563257178621864
51,7.611380736893823
52,12.756758318475448
53,11.183211504392286
54,11.814345102407373
55,12.249172866585937
56,15.257917276349612
57,7.034327314988214
58,11.344366068523106
59,8.22690309793828
60,10.413372575922425
61,9.491570485228227
62,11.050091083047628
63,7.796000980332312
64,8.341116502716682
65,9.803941475899165
66,7.201649907324449
67,10.821900009666484
68,17.83753511019242
69,23.05389257235678
70,16.515178721224775
71,5.568625326207021
72,10.482655073229097
73,14.709184715171574
74,7.974191371306301
75,3.8013332404908082
76,16.132804886019702
77,10.371577813066128
78,8.857552527746327
79,16.049927828175655
80,23.637276932232975
81,11.19601614638592
82,7.7105337269509295
83,8.7224331944072
84,9.447908957267096
85,4.022127666730114
86,10.374234465670789
87,5.372600897951833
88,25.378636426305924
89,6.131471402715475
90,5.890375426274317
91,11.632762534617875
92,7.125019449718331
93,16.302215338500467
94,17.40797218695221
95,25.459828900684318
96,6.2872448962490415
97,7.706556837013984
98,15.919494818831504
99,8.033791414842142
100,12.478608629817046
101,6.767275895135388
102,10.840231054681036
103,21.075023450287702
104,6.396145768894263
105,6.7287957484311445
106,3.577464497327324
107,27.63905560588542
108,9.545665045139128
109,12.946862617103394
110,11.298837238389144
111,10.084673314137843
112,16.75764418240281
113,10.374074156307891
114,18.843837910669077
115,8.170450386943019
116,11.458785821975976
117,17.048183069440526
118,6.510579632536476
119,9.911301346349251
120,10.120704177853296
121,8.86435774567488
122,11.165278416936424
123,15.547241501774659
124,7.45511285848014
125,11.820611891690271
126,11.728126898941657
127,4.405033180401616
128,12.929033770101078
129,13.418869856002717
130,12.607893826442915
131,15.81729059483332
132,7.987777151587678
133,9.520501891055071
134,6.331808275215169
135,3.719362139324818
136,11.790680860250166
137,12.325061367039481
138,9.499801383680467
139,6.741616353284424
140,8.800164849583664
141,11.602018365522188
142,7.946162462743476
143,8.78370908844486
144,10.359317290232868
145,9.858820405252363
146,12.799789172087014
147,6.397827508160559
148,21.24221433835539
149,13.800058166127473
150,4.901048078224766
151,7.178464118040303
152,10.251567395548566
153,15.163858657618452
154,6.50887721685519
155,10.614426429618522
156,12.010631472619336
157,12.640261633105187
158,9.438067065219952
159,8.738077325405136
160,19.939002702394745
161,9.79139502719529
162,7.3701104246711955
163,9.356437362648954
164,19.990497595684698
165,16.49537184568634
166,1.873870872005144
167,9.369452062640283
168,5.856618044856964
169,13.35559412739097
170,11.767235805689875
171,15.714680406099765
172,9.500218363384029
173,11.983912856925667
174,8.30551136457476
175,17.665899318391222
176,8.669212213546169
177,14.488056368406927
178,8.315860074676362
179,4.966642925225811
180,11.000798917525188
181,8.410623659032154
182,2.9967511885527074
183,6.164890332167154
184,11.596604876756997
185,8.507944219523564
186,13.04688552322875
187,8.510685349109025
188,7.278842323941407
189,23.968798170958678
190,6.638338531280897
191,24.806078231655
192,26.071175057896937
193,14.179908378672328
194,9.557899204036222
195,4.981604707187847
196,13.325694852631575
197,11.995892516128714
198,14.825216527375888
199,15.466338190650319
200,16.716972570288963
201,1.8846344482021045
202,12.631340289300075
203,14.81919079032473
204,10.325817962619496
205,14.574441903129792
206,12.22730455475637
207,14.233650370904567
208,9.30098264682388
209,10.983586414040186
210,5.133720182853346
211,22.840516290938147
212,13.77664869049942
213,7.754525846993811
214,12.982804749952248
215,4.85774462913789
216,5.825357147694565
217,13.25636688187823
218,8.937673644371928
219,17.927162005664627
220,7.781163067406407
221,7.754035817688283
222,11.277563641929277
223,12.005469391024267
224,15.04380447557026
225,12.639272611808202
226,11.44707065429843
227,14.281784105223874
228,8.65283346816631
229,5.358460859852137
230,3.6103611530163557
231,5.0954808253575505
232,5.194488895541385
233,19.817729546958056
234,15.560108818011411
235,14.272308579250225
236,9.317932690474386
237,10.801894827790257
238,10.063062547835749
239,12.661168692269271
240,9.20645792106415
241,11.178193984927308
242,15.214981736580759
243,20.25855538075539
244,15.038216774295808
245,7.736801881947648
246,15.104889258768441
247,5.194335059634545
248,10.479757936852966
249,6.5492098758880095
250,7.538777976399154
251,12.411753302841825
252,7.3614725075572975
253,13.61597009173298
254,9.281040636295057
255,4.882233946310287
256,10.124172011250966
257,20.01473773656744
258,12.260279656030628
259,11.549228521192736
260,3.2335837094405293
261,32.60624265837366
262,8.025235761698001
263,12.973648525074859
264,24.138544532320882
265,8.580579104879678
266,9.823663436056579
267,16.16288690888333
268,6.588111204079886
269,4.302551652524721
270,14.89554782544443
271,10.170411952900615
272,4.882523090306254
273,7.3710079927363115
274,8.788620931549255
275,14.507066976450915
276,9.932599552303511
277,8.405023334119575
278,10.421710490986356
279,10.92096986144993
280,7.767318402272247
281,5.157191185138566
282,10.124309950275432
283,10.934675430733733
284,4.29861830137858
285,13.93579193785218
286,4.2922908406041325
287,7.329019004297126
288,10.657408978551915
289,10.322398178652218
290,5.21275240098964
291,18.17323397660403
292,9.821978809097343
293,15.589942690465445
294,10.315031190175837
295,4.960923633708525
296,12.410196549599394
297,5.880201046744846
298,14.356589900633772
299,7.669712497104692
300,1.821864226980605
301,9.163341973967096
302,10.950721164257978
303,6.060452357071304
304,12.52270519062661
305,17.69512185525442
306,15.625412417609134
307,5.396787273037644
308,11.612879053860375
309,10.804851715345745
310,6.893459697942713
311,8.45691659497683
312,9.723865301602657
313,13.286757779922013
314,9.471620406076502
315,6.931685787911584
316,19.730370260897995
317,3.1517820881921472
318,17.07891174145939
319,11.98551598465581
320,8.056706895966876
321,21.829802808578307
322,11.704776813762736
323,12.408842091213808
324,15.206870308812999
325,10.191876278128454
326,7.882681423824103
327,14.382786613476465
328,8.562423159826967
329,17.590056316630953
330,6.538598147423608
331,12.295169092860109
332,11.140922956175839
333,12.133048903721518
334,24.083710687950354
335,6.433922990300141
336,10.582819572513982
337,9.468247228350826
338,11.917756955852466
339,7.86729455297672
340,10.439087992358315
341,13.906997754197816
342,9.625278392607038
343,10.330011378896762
344,5.18898387456361
345,15.343761574104693
346,10.727701085483085
347,11.668742250622882
348,10.846558540399158
349,5.15956338362414
350,19.907954914564954
351,9.595347742642316
352,7.280877469542614
353,15.803351249564678
354,8.03768825010044
355,12.5152800408947
356,9.5044536733494
357,8.222382004639181
358,7.990847881279298
359,8.607760348758804
360,16.044914541565674
361,14.747213189576318
362,8.781002782526079
363,7.129758583590216
364,13.38922926420836
365,9.85432432106714
366,11.611306724328111
367,11.638042834552971
368,7.359834176120075
369,18.23001521742952
370,6.283084520333369
371,18.69270686848894
372,9.969479972122647
373,7.913490522691026
374,7.0011920408941695
375,15.36669029227057
376,4.771676288930671
377,6.328176604869078
378,22.914382254158912
379,10.142370391302268
380,15.739860758390098
381,7.775793856598966
382,10.474023116909333
383,7.649631256777069
384,14.431890225869218
385,15.057969431416467
386,9.862269710882044
387,6.3140865987744945
388,6.853664291124128
389,11.848495404836854
390,11.222253187535477
391,8.337609357754424
392,10.69952906032531
393,8.434890533379583
394,9.89572647930108
395,13.95652235935689
396,5.321975587845153
397,12.435855644611362
398,8.594169206874907
399,7.698393461010979
400,8.835293243901795
401,15.878550222156242
402,10.953090176790878
403,7.830769818157366
404,11.890034300849624
405,13.501027259672153
406,9.319260904294211
407,12.70364299452749
408,16.67581928501888
409,5.226374465703145
410,7.070660073609087
411,11.23413403054305
412,8.370039919582936
413,10.243716654847507
414,10.115660584932355
415,11.754089532064228
416,3.781832705220956
417,10.97828696842619
418,18.287324792982513
419,7.818709298467925
420,5.996625584004096
421,14.912150564958472
422,9.277494886095466
423,18.335209258483427
424,8.707435377434129
425,16.474195935242378
426,11.912818728059518
427,9.826712348195485
428,3.213109195428085
429,8.378171881253023
430,6.396635985527698
431,16.718192766845128
432,8.042123255496385
433,18.52411860378128
434,15.810444724522869
435,6.79750586987892
436,10.01476288695391
437,6.098108380054485
438,8.198106671531793
439,7.28175320310165
440,7.185990094665624
441,4.199680621054817
442,7.228557333659925
443,9.109297769735011
444,10.670565705384861
445,7.923702416854269
446,5.893405517972066
447,21.362395856850448
448,5.644975470873208
449,4.090765254967488
450,7.185870576518585
451,10.307113287094955
452,16.701359542646305
453,10.866505080092661
454,7.062459390860786
455,8.523056064750428
456,19.93262645181496
457,11.350235276058118
458,9.76920213738533
459,11.705109528375505
460,9.500470650028724
461,11.931507675584566
462,10.28068204859696
463,4.942929534918074
464,11.35774250030526
465,16.06760951097066
466,5.10961808619089
467,11.207131599504656
468,10.29197150270436
469,8.726622994161659
470,14.716060669300926
471,14.502958721199818
472,7.354921582030219
473,12.342886073918367
474,8.631236298581301
475,10.582350840792932
476,11.03491041790676
477,9.788736227773265
478,16.42068259374303
479,19.674570142435126
480,4.316853223288062
481,10.444632767951157
482,17.194548258584355
483,15.202238811519647
484,11.72481112288287
485,9.439851374244043
486,12.758327979780045
487,9.691116893648887
488,8.897147357275225
489,8.877771512250746
490,14.943663437435426
491,14.03979652467177
492,13.299798760114191
493,10.850176340344635
494,8.200553739427026
495,21.293637669048568
496,9.321977343087307
497,14.788400583002007
498,7.817345479280883
499,15.417067785494584
500,11.424136780090755
501,9.295359283093157
502,12.654256061313266
503,11.495362207509675
504,5.651190245270067
505,5.671336139511381
506,3.0027635914454236
507,6.635415126704059
508,3.5019160195848933
509,8.644413315148993
510,9.617279165989931
511,6.157882372368144
512,7.6422546648846215
513,6.055781905550548
514,16.348689345879997
515,17.81224065285006
516,12.290806824734334
517,12.664019865240764
518,10.728395642404951
519,5.797225992413037
520,10.218276927821732
521,5.093865408832269
522,5.947911948150317
523,12.095964486972184
524,6.380574030691983
525,12.223000527590571
526,7.346054731945316
527,8.951382105120839
528,8.334569384279721
529,6.694397410599262
530,10.237455680081737
531,9.74311105011144
532,13.21352319701311
533,18.920253781424528
534,11.568800751502192
535,11.16064030388447
536,11.896864259410277
537,6.326184690037769
538,5.596915158707971
539,9.338907078468205
540,9.223771530712266
541,16.435627181284772
542,12.869126616533999
543,5.80721453006198
544,9.50083068744956
545,4.959064515907642
546,5.038507464839902
547,14.06502756671589
548,10.664981826270928
549,15.436786813042822
550,20.735454785007214
551,8.533933577439306
552,6.378882855650163
553,23.182460857218103
554,14.796906182774572
555,10.343565346896554
556,5.1828162583219495
557,11.859519639190298
558,9.372204028963006
559,7.16596546850432
560,10.5031688168311
561,11.986538666350242
562,26.327961823560376
563,5.338922784344164
564,15.113837691525362
565,11.99261080635923
566,4.553418379958732
567,11.204950573922353
568,9.65430433020145
569,11.057019357228832
570,13.298800979988878
571,15.782771386230365
572,12.652886193614235
573,13.430568338911208
574,13.605081190845283
575,10.034811720321533
576,22.61926746479932
577,6.699191737621824
578,9.546961026422093
579,2.982980572979429
580,8.675504680988828
581,6.420215099051697
582,12.531584773155249
583,7.2574119825871515
584,11.20820210812119
585,17.481663454903565
586,8.90852131290041
587,3.9386542739345276
588,4.54633000943551
589,9.42000991396765
590,14.673878085222702
591,16.077183631906635
592,14.559841211039378
593,8.042762388954529
594,6.457717289615984
595,17.1859406622611
596,11.742415893155998
597,9.48498481137814
598,2.2192369901703985
599,14.305719829846463
600,7.334127377441804
601,8.025677581702308
602,10.090158642402045
603,10.696003911610555
604,11.234900235623645
605,7.819983580557728
606,11.637565593824672
607,15.422390973498658
608,6.882101623496798
609,7.843802601238281
610,15.182344032799909
611,7.9656882892598615
612,12.952327781585165
613,6.508561954011046
614,15.569954521380444
615,3.666323112001674
616,3.507989438950485
617,6.0860069226955
618,7.137615784465343
619,1.6301365321251824
620,10.196327998424104
621,12.31907788213197
622,10.91437997443064
623,9.855242927772277
624,13.136580102523324
625,9.023410501768891
626,8.556378978863965
627,7.099989090508739
628,6.720274923880065
629,8.574425913239281
630,15.482064154944736
631,9.182666377158524
632,7.336680309484491
633,17.10961592615763
634,6.076365928261149
635,11.455579092665266
636,6.284190359291232
637,17.84139226769525
638,14.52170587275357
639,11.087743172560842
640,10.717488428750327
641,16.44683095675772
642,19.233429532694984
643,8.029292688611294
644,10.447909658881553
645,15.217229465913261
