figure,baseline,x_name,x_value,n,success_rate,plot_metric,rmse_m,median_m,p90_m,p95_m,runtime_s_mean
fig9,ff_omp,assumed_K,2.0,1,1.0,position_rmse_m,1.8694919095837654,1.8694919095837654,1.8694919095837654,1.8694919095837654,10.797100837000471
fig9,ff_omp,assumed_K,3.0,1,1.0,position_rmse_m,2.4280997440720458,2.4280997440720458,2.4280997440720458,2.4280997440720458,22.156435606999366
fig9,ff_omp,assumed_K,5.0,1,1.0,position_rmse_m,1.8694919095839728,1.8694919095839728,1.8694919095839728,1.8694919095839728,67.68248542800029
fig9,nf_mmpsr,assumed_K,2.0,1,1.0,position_rmse_m,1.14564392373896,1.14564392373896,1.14564392373896,1.14564392373896,12.942095522000272
fig9,nf_mmpsr,assumed_K,3.0,1,1.0,position_rmse_m,1.14564392373896,1.14564392373896,1.14564392373896,1.14564392373896,17.312927316999776
fig9,nf_mmpsr,assumed_K,5.0,1,1.0,position_rmse_m,1.14564392373896,1.14564392373896,1.14564392373896,1.14564392373896,28.075282275000063
fig9,proposed,assumed_K,2.0,1,1.0,position_rmse_m,0.6676661497306955,0.6676661497306955,0.6676661497306955,0.6676661497306955,250.59693303800032
fig9,proposed,assumed_K,3.0,1,1.0,position_rmse_m,8.492313744422114e-05,8.492313744422114e-05,8.492313744422114e-05,8.492313744422114e-05,86.75052583700017
fig9,proposed,assumed_K,5.0,1,1.0,position_rmse_m,8.454181355759975e-05,8.454181355759975e-05,8.454181355759975e-05,8.454181355759975e-05,578.0103528760001
fig9,ris_momp,assumed_K,2.0,1,1.0,position_rmse_m,2.5288337232803553,2.5288337232803553,2.5288337232803553,2.5288337232803553,20.90215999100019
fig9,ris_momp,assumed_K,3.0,1,1.0,position_rmse_m,1.8694919095831188,1.8694919095831188,1.8694919095831188,1.8694919095831188,43.329866332000165
fig9,ris_momp,assumed_K,5.0,1,1.0,position_rmse_m,1.8694919095839566,1.8694919095839566,1.8694919095839566,1.8694919095839566,124.94948232600018
