plot_name,figure,variant,x_value,metric,plot_metric_name,plot_y_mean,plot_y_median,plot_y_std,plot_y_p10,plot_y_p90,mean,median,std,p10,p90,success_rate,outlier_rate,n,K,paper_k,effective_K,position_rmse_m_mean,position_rmse_m_median,position_rmse_m_std,position_rmse_m_p10,position_rmse_m_p90,y_nmse_mean,y_nmse_median,y_nmse_std,y_nmse_p10,y_nmse_p90,range_rmse_m_mean,range_rmse_m_median,range_rmse_m_std,range_rmse_m_p10,range_rmse_m_p90,tau_rmse_s_mean,tau_rmse_s_median,tau_rmse_s_std,tau_rmse_s_p10,tau_rmse_s_p90,raw_objective_final_mean,raw_objective_final_median,raw_objective_final_std,raw_objective_final_p10,raw_objective_final_p90,outlier_flag_mean,outlier_flag_median,outlier_flag_std,outlier_flag_p10,outlier_flag_p90,peb_position_m_mean,peb_position_m_median,peb_position_m_std,peb_position_m_p10,peb_position_m_p90,peb_scalar_m_mean,peb_scalar_m_median,peb_scalar_m_std,peb_scalar_m_p10,peb_scalar_m_p90,peb_dual_m_mean,peb_dual_m_median,peb_dual_m_std,peb_dual_m_p10,peb_dual_m_p90,peb_evs_m_mean,peb_evs_m_median,peb_evs_m_std,peb_evs_m_p10,peb_evs_m_p90
fig1,fig1,PEB,0.0,peb_position_m,peb_position_m,0.00040570300422882084,0.00040570300422882084,4.858173593770776e-05,0.00036683761547865465,0.00044456839297898703,0.00040570300422882084,0.00040570300422882084,4.858173593770776e-05,0.00036683761547865465,0.00044456839297898703,1.0,0.0,2,3,3,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.00040570300422882084,0.00040570300422882084,4.858173593770776e-05,0.00036683761547865465,0.00044456839297898703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00040570300422882084,0.00040570300422882084,4.858173593770776e-05,0.00036683761547865465,0.00044456839297898703
fig1,fig1,adaptive_jones_vp_proposed,0.0,position_rmse_m,position_rmse_m,0.000249975756208566,0.000249975756208566,0.00012240805581353143,0.0001520493115577409,0.00034790220085939116,0.000249975756208566,0.000249975756208566,0.00012240805581353143,0.0001520493115577409,0.00034790220085939116,1.0,0.0,2,3,3,3,0.000249975756208566,0.000249975756208566,0.00012240805581353143,0.0001520493115577409,0.00034790220085939116,5.7305768984311555e-06,5.7305768984311555e-06,3.1360856229478918e-06,3.221708400072842e-06,8.23944539678947e-06,7.881748116032415e-05,7.881748116032415e-05,2.160024620097495e-05,6.153728419954419e-05,9.609767812110412e-05,4.502284182041873e-13,4.502284182041873e-13,1.358894980113277e-13,3.4151681979512516e-13,5.589400166132494e-13,0.35006420059188414,0.35006420059188414,0.046247089326178686,0.31306652913094124,0.3870618720528271,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig1,fig1,fixed_pol_vp,0.0,position_rmse_m,position_rmse_m,0.000249975756208566,0.000249975756208566,0.00012240805581353143,0.0001520493115577409,0.00034790220085939116,0.000249975756208566,0.000249975756208566,0.00012240805581353143,0.0001520493115577409,0.00034790220085939116,1.0,0.0,2,3,3,3,0.000249975756208566,0.000249975756208566,0.00012240805581353143,0.0001520493115577409,0.00034790220085939116,5.7305768984311555e-06,5.7305768984311555e-06,3.1360856229478918e-06,3.221708400072842e-06,8.23944539678947e-06,7.881748116032415e-05,7.881748116032415e-05,2.160024620097495e-05,6.153728419954419e-05,9.609767812110412e-05,4.502284182041873e-13,4.502284182041873e-13,1.358894980113277e-13,3.4151681979512516e-13,5.589400166132494e-13,0.35006420059188414,0.35006420059188414,0.046247089326178686,0.31306652913094124,0.3870618720528271,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig1,fig1,free_jones_vp,0.0,position_rmse_m,position_rmse_m,0.007462634681251162,0.007462634681251162,0.0015257819121416286,0.006242009151537859,0.008683260210964465,0.007462634681251162,0.007462634681251162,0.0015257819121416286,0.006242009151537859,0.008683260210964465,1.0,0.0,2,3,3,3,0.007462634681251162,0.007462634681251162,0.0015257819121416286,0.006242009151537859,0.008683260210964465,0.0012741701235172286,0.0012741701235172286,0.0010796215424735114,0.0004104728895384195,0.002137867357496038,0.005167261824651258,0.005167261824651258,0.002615472233713411,0.0030748840376805292,0.007259639611621987,3.5157147611168402e-12,3.5157147611168402e-12,1.5896702868497203e-12,2.243978531637064e-12,4.787450990596616e-12,0.35055589796735864,0.35055589796735864,0.04668668118559299,0.3132065530188842,0.38790524291583306,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig1,fig1,regularized_jones_vp,0.0,position_rmse_m,position_rmse_m,0.009974170677822816,0.009974170677822816,0.0009886558007823404,0.009183246037196944,0.01076509531844869,0.009974170677822816,0.009974170677822816,0.0009886558007823404,0.009183246037196944,0.01076509531844869,1.0,0.0,2,3,3,3,0.009974170677822816,0.009974170677822816,0.0009886558007823404,0.009183246037196944,0.01076509531844869,0.002339207370791697,0.002339207370791697,1.3986640114507527e-05,0.002328018058700091,0.002350396682883303,0.008075550472175166,0.008075550472175166,0.0002952792949229444,0.00783932703623681,0.008311773908113522,6.792280152588131e-12,6.792280152588131e-12,1.6887467214311153e-12,5.441282775443239e-12,8.143277529733024e-12,0.35087745091873335,0.35087745091873335,0.04636477736848141,0.31378562902394824,0.3879692728135185,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig1,fig1,stage1_only,0.0,position_rmse_m,position_rmse_m,0.19958518434036376,0.19958518434036376,0.0004667910347879306,0.19921175151253342,0.19995861716819413,0.19958518434036376,0.19958518434036376,0.0004667910347879306,0.19921175151253342,0.19995861716819413,1.0,1.0,2,3,3,3,0.19958518434036376,0.19958518434036376,0.0004667910347879306,0.19921175151253342,0.19995861716819413,0.00016008502148331672,0.00016008502148331672,8.457694940540997e-05,9.242346195898875e-05,0.0002277465810076447,0.0374902299937808,0.0374902299937808,0.01959989975246492,0.021810310191808867,0.05317014979575274,2.8693788696546255e-11,2.8693788696546255e-11,4.701407703523208e-12,2.493266253372769e-11,3.245491485936482e-11,0.3501196860293441,0.3501196860293441,0.04628715950122725,0.31308995842836235,0.3871494136303259,1.0,1.0,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,fig2,adaptive_jones_vp_proposed,0.0,y_nmse,y_nmse,5.7305768984311555e-06,5.7305768984311555e-06,3.1360856229478918e-06,3.221708400072842e-06,8.23944539678947e-06,5.7305768984311555e-06,5.7305768984311555e-06,3.1360856229478918e-06,3.221708400072842e-06,8.23944539678947e-06,1.0,0.0,2,3,3,3,0.000249975756208566,0.000249975756208566,0.00012240805581353143,0.0001520493115577409,0.00034790220085939116,5.7305768984311555e-06,5.7305768984311555e-06,3.1360856229478918e-06,3.221708400072842e-06,8.23944539678947e-06,7.881748116032415e-05,7.881748116032415e-05,2.160024620097495e-05,6.153728419954419e-05,9.609767812110412e-05,4.502284182041873e-13,4.502284182041873e-13,1.358894980113277e-13,3.4151681979512516e-13,5.589400166132494e-13,0.35006420059188414,0.35006420059188414,0.046247089326178686,0.31306652913094124,0.3870618720528271,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,fig2,fixed_pol_vp,0.0,y_nmse,y_nmse,5.7305768984311555e-06,5.7305768984311555e-06,3.1360856229478918e-06,3.221708400072842e-06,8.23944539678947e-06,5.7305768984311555e-06,5.7305768984311555e-06,3.1360856229478918e-06,3.221708400072842e-06,8.23944539678947e-06,1.0,0.0,2,3,3,3,0.000249975756208566,0.000249975756208566,0.00012240805581353143,0.0001520493115577409,0.00034790220085939116,5.7305768984311555e-06,5.7305768984311555e-06,3.1360856229478918e-06,3.221708400072842e-06,8.23944539678947e-06,7.881748116032415e-05,7.881748116032415e-05,2.160024620097495e-05,6.153728419954419e-05,9.609767812110412e-05,4.502284182041873e-13,4.502284182041873e-13,1.358894980113277e-13,3.4151681979512516e-13,5.589400166132494e-13,0.35006420059188414,0.35006420059188414,0.046247089326178686,0.31306652913094124,0.3870618720528271,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,fig2,free_jones_vp,0.0,y_nmse,y_nmse,0.0012741701235172286,0.0012741701235172286,0.0010796215424735114,0.0004104728895384195,0.002137867357496038,0.0012741701235172286,0.0012741701235172286,0.0010796215424735114,0.0004104728895384195,0.002137867357496038,1.0,0.0,2,3,3,3,0.007462634681251162,0.007462634681251162,0.0015257819121416286,0.006242009151537859,0.008683260210964465,0.0012741701235172286,0.0012741701235172286,0.0010796215424735114,0.0004104728895384195,0.002137867357496038,0.005167261824651258,0.005167261824651258,0.002615472233713411,0.0030748840376805292,0.007259639611621987,3.5157147611168402e-12,3.5157147611168402e-12,1.5896702868497203e-12,2.243978531637064e-12,4.787450990596616e-12,0.35055589796735864,0.35055589796735864,0.04668668118559299,0.3132065530188842,0.38790524291583306,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,fig2,regularized_jones_vp,0.0,y_nmse,y_nmse,0.002339207370791697,0.002339207370791697,1.3986640114507527e-05,0.002328018058700091,0.002350396682883303,0.002339207370791697,0.002339207370791697,1.3986640114507527e-05,0.002328018058700091,0.002350396682883303,1.0,0.0,2,3,3,3,0.009974170677822816,0.009974170677822816,0.0009886558007823404,0.009183246037196944,0.01076509531844869,0.002339207370791697,0.002339207370791697,1.3986640114507527e-05,0.002328018058700091,0.002350396682883303,0.008075550472175166,0.008075550472175166,0.0002952792949229444,0.00783932703623681,0.008311773908113522,6.792280152588131e-12,6.792280152588131e-12,1.6887467214311153e-12,5.441282775443239e-12,8.143277529733024e-12,0.35087745091873335,0.35087745091873335,0.04636477736848141,0.31378562902394824,0.3879692728135185,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
