trial_id,seed,ablation,variant,snr_db,failed,error,runtime_s,y_nmse,position_rmse_m,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,global_vp_mode,selected_vp_family_branch,linear_nuisance_dim,nonlinear_dim,global_vp_runtime_s,total_runtime_s,reliability_decision,legacy_stage1_decision,bad_score,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_efim_lambda_min,data_only_efim_condition_number,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,jones_rho_summary,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,proposed_stage2_policy
0,3147786918,vp_family,stage1_only_no_vp,-20.0,False,,30.259165654000753,0.0003072542346195432,0.6028138253220584,0.046307249903958514,2.3808778825849884e-11,27.141913916212978,True,direct_vp,global_exact_spherical_vp,adaptive_jones,fixed_pol_anchor,1,4,13.327896773998873,27.868104676999792,direct_vp,direct_vp,0,[],3094498.052457824,3096568,True,0.0,2.6753263642611203e+17,145.4692913596646,43928.30168957116,3096665.6748452573,3096668.8279373385,[99.51535129306212],[0.010048700897970917],[4.5311005467072766e-10],,nan,0.0,[5.20173197938292],13.73828412399962,reliability_gated_ris_only
0,3147786918,vp_family,fixed_pol_vp,-20.0,False,,20.996712414000285,0.0003072542346195432,0.6028138253220584,0.046307249903958514,2.3808778825849884e-11,27.141913916212978,True,direct_vp,global_exact_spherical_vp,fixed_pol,,1,6,8.480660195000382,19.829125270000077,direct_vp,direct_vp,0,[],3094498.052457824,3096568,True,0.0,2.6753263642611203e+17,145.4692913596646,43928.30168957116,nan,nan,,,,,nan,0.0,[5.20173197938292],11.032206849000431,reliability_gated_ris_only
0,3147786918,vp_family,jones_free_vp,-20.0,False,,16.914070307999282,0.00045716646537095646,0.5957468657198812,0.02162491598926497,2.3804504068464318e-11,27.141937723133687,True,direct_vp,global_exact_spherical_vp,jones_free,,2,4,4.505007691999708,15.69216914900062,direct_vp,direct_vp,0,[],3094500.7667273483,3096568,True,38976.278424889955,2.6034666384318294e+17,155.6223529448341,42428.03523128734,nan,nan,[0.0],,[4.577915888012498e-06],"{""min"":0.0,""median"":0.0,""max"":0.0}",nan,0.0,[5.20173197938292],10.876877675000287,reliability_gated_ris_only
0,3147786918,vp_family,jones_regularized_vp,-20.0,False,,16.340180642000632,0.00046037016143704004,0.5957468657198812,0.02162491598926497,2.3806814700897406e-11,27.141938035252753,True,direct_vp,global_exact_spherical_vp,jones_regularized,,2,4,4.091130007000174,15.570478613000887,direct_vp,direct_vp,0,[],3094500.8023126004,3096568,True,38976.27841146537,2.603466639324008e+17,155.62235295583508,42428.03522821417,nan,nan,[0.9999999999839999],,[1.144481160967176e-06],"{""min"":464907.27766946633,""median"":464907.27766946633,""max"":464907.27766946633}",nan,0.0,[5.20173197938292],11.157258616000036,reliability_gated_ris_only
0,3147786918,vp_family,adaptive_jones_vp_proposed,-20.0,False,,24.293694701998902,0.0003072542346195432,0.6028138253220584,0.046307249903958514,2.3808778825849884e-11,27.141913916212978,True,direct_vp,global_exact_spherical_vp,adaptive_jones,fixed_pol_anchor,1,4,12.391587853000601,23.529007893997914,direct_vp,direct_vp,0,[],3094498.052457824,3096568,True,0.0,2.6753263642611203e+17,145.4692913596646,43928.30168957116,3096665.6748452573,3096668.8279373385,[99.51535129306212],[0.010048700897970917],[4.5311005467072766e-10],,nan,0.0,[5.20173197938292],10.77930472999833,reliability_gated_ris_only
0,3147786918,stage2_gate,direct_vp_only,-20.0,False,,25.100863988998753,0.0003072542346195432,0.6028138253220584,0.046307249903958514,2.3808778825849884e-11,27.141913916212978,True,direct_vp,global_exact_spherical_vp,adaptive_jones,fixed_pol_anchor,1,4,12.498364949000461,24.36084156600009,direct_vp,direct_vp,0,[],3094498.052457824,3096568,True,0.0,2.6753263642611203e+17,145.4692913596646,43928.30168957116,3096665.6748452573,3096668.8279373385,[99.51535129306212],[0.010048700897970917],[4.5311005467072766e-10],,nan,0.0,[5.20173197938292],11.535213402999943,reliability_gated_ris_only
0,3147786918,stage2_gate,ris_jnpp_always_then_vp,-20.0,False,,39.170910525999716,0.0003072542346195432,0.6028138253220584,0.046307249903958514,2.3808778825849884e-11,27.141913916212978,True,direct_vp_rollback,global_exact_spherical_vp,adaptive_jones,fixed_pol_anchor,1,4,13.49414598399926,24.77341713199894,jnpp_then_vp,direct_vp,0,[],3094498.052457824,3096568,True,0.0,2.6753263642611203e+17,145.4692913596646,43928.30168957116,3096665.6748452573,3096668.8279373385,[99.51535129306212],[0.010048700897970917],[4.5311005467072766e-10],,nan,0.0,[5.20173197938292],10.944761011000082,force_ris_only
0,3147786918,stage2_gate,reliability_gated_ris_jnpp_then_vp_proposed,-20.0,False,,24.343931449999218,0.0003072542346195432,0.6028138253220584,0.046307249903958514,2.3808778825849884e-11,27.141913916212978,True,direct_vp,global_exact_spherical_vp,adaptive_jones,fixed_pol_anchor,1,4,12.795970645000125,23.60891085500043,direct_vp,direct_vp,0,[],3094498.052457824,3096568,True,0.0,2.6753263642611203e+17,145.4692913596646,43928.30168957116,3096665.6748452573,3096668.8279373385,[99.51535129306212],[0.010048700897970917],[4.5311005467072766e-10],,nan,0.0,[5.20173197938292],10.44684731900088,reliability_gated_ris_only
0,3147786918,jones_lambda,fixed_pol_limit,-20.0,False,,21.36506054900019,0.0003072542346195432,0.6028138253220584,0.046307249903958514,2.3808778825849884e-11,27.141913916212978,True,direct_vp,global_exact_spherical_vp,fixed_pol,,1,6,8.83074992299953,20.31752453899753,direct_vp,direct_vp,0,[],3094498.052457824,3096568,True,0.0,2.6753263642611203e+17,145.4692913596646,43928.30168957116,nan,nan,,,,,nan,0.0,[5.20173197938292],11.167449369999304,reliability_gated_ris_only
0,3147786918,jones_lambda,lambda_1e4,-20.0,False,,16.852812340999662,0.00046587089208673744,0.5957468657198812,0.02162491598926497,2.3809124886725756e-11,27.141938971358375,True,direct_vp,global_exact_spherical_vp,jones_regularized,,2,4,4.692022410999925,16.033632298998782,direct_vp,direct_vp,0,[],3094500.9090396725,3096568,True,38976.27843761378,2.6034666375638026e+17,155.62235294333973,42428.0352313995,nan,nan,[10000.0],,[4.577008477636528e-14],"{""min"":4649072776.769051,""median"":4649072776.769051,""max"":4649072776.769051}",nan,0.0,[5.20173197938292],10.885088375000123,reliability_gated_ris_only
