trial_id,seed,snr_db,route,failed,error,shared_data_hash,diagnostic_mode,K,p_true_x,p_true_y,p_true_z,p_hat_x,p_hat_y,p_hat_z,err_x_m,err_y_m,err_z_m,position_error_m,delta_t_true_s,delta_t_hat_s,delta_t_error_s,clock_error_ns,range_rmse_m,tau_rmse_s,channel_y_nmse,channel_y_rmse_abs,raw_objective_final,regularized_objective_final,outlier_flag,boundary_hit,outer_success,outer_message,outer_n_iter,outer_n_eval,nonlinear_dim,linear_nuisance_dim,clock_certified,clock_certificate_gap_objective,clock_fft_peak_gap_objective,clock_bnb_splits,ccop_position_evaluations,ccop_clock_interval_evaluations,old_incumbent_used,incumbent_non_degradation,data_runtime_s,stage1_runtime_s,route_refinement_runtime_s,metric_reconstruction_runtime_s,route_runtime_s,end_to_end_incremental_runtime_s,incumbent_generation_runtime_s,deployment_runtime_s,paired_trial_wall_runtime_s,noise_variance,vp_backend
0,4191845062,-10.0,ccop_jvp_profiled_3d,False,,4c6db7d8cd15b9654b28,performance,3,1.25,0.55,0.75,1.249741491002687,0.5500211890145132,0.7489175301538457,-0.0002585089973130561,2.1189014513200988e-05,-0.0010824698461543436,0.0011131113348902932,5e-09,4.9970839776491095e-09,-2.916022350890603e-12,0.002916022350890603,0.00034493367980627357,1.7854803231691e-12,5.0590091996846374e-05,0.004291911646854654,3.640529087455257,3.6405369291730847,False,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,20,3,6,True,3.7198814516640685e-10,0.0019975980512079725,21,21,5187,True,True,0.3759348939638585,12.047686270903796,0.5347491770517081,0.08122262801043689,0.615971805062145,13.0395929699298,0.5896438939962536,13.629236863926053,13.642829220974818,3.6411290941227925,numpy_cpu
0,4191845062,-10.0,old_4d_jones_vp,False,,4c6db7d8cd15b9654b28,performance,3,1.25,0.55,0.75,1.2173967221136384,0.5403541780044,0.7372339106072336,-0.03260327788636164,-0.009645821995600046,-0.012766089392766355,0.036317883326127655,5e-09,4.887577992325742e-09,-1.1242200767425843e-10,0.11242200767425843,0.029407295448172666,2.9904578144311404e-11,0.02157424515921011,0.08863103955891403,3.6481671450475175,3.6481738650619406,False,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19,36,4,6,False,nan,nan,0,0,0,False,False,0.3759348939638585,12.047686270903796,0.5896438939962536,0.0,0.5896438939962536,13.013265058863908,0.0,13.013265058863908,13.642829220974818,3.6411290941227925,cpu
1,1963740598,-10.0,ccop_jvp_profiled_3d,False,,213639ecff5da63977c6,performance,3,1.25,0.55,0.75,1.2496226241684232,0.5496110314624423,1.45,-0.00037737583157682053,-0.0003889685375577656,0.7,0.700000209792141,5e-09,5.0476805243203945e-09,4.768052432039435e-11,0.04768052432039435,0.017927843147311495,5.366671210145732e-11,0.08207374222243895,0.1654552423322583,3.3606654802876665,3.360673773224486,True,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,15,3,6,True,2.669772598175441e-10,0.0016425852713745123,21,16,3948,True,True,0.2733891059178859,9.287891652900726,0.41140662087127566,0.08049189508892596,0.4918985159602016,10.053179274778813,0.4838476642034948,10.537026938982308,10.55060758604668,3.3354683817185284,numpy_cpu
1,1963740598,-10.0,old_4d_jones_vp,False,,213639ecff5da63977c6,performance,3,1.25,0.55,0.75,1.2647807488678433,0.5499974768973901,1.45,0.014780748867843307,-2.5231026099525877e-06,0.7,0.7001560329979741,5e-09,5.096073460674338e-09,9.607346067433807e-11,0.09607346067433807,0.028266310993467436,6.024463583971773e-11,0.08754166322417416,0.17087786567232335,3.3624623150221944,3.3624694608381485,True,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,25,4,6,False,nan,nan,0,0,0,False,False,0.2733891059178859,9.287891652900726,0.4838476642034948,0.0,0.4838476642034948,10.045128423022106,0.0,10.045128423022106,10.55060758604668,3.3354683817185284,cpu
2,1670551931,-10.0,ccop_jvp_profiled_3d,False,,550cf4d5f38ed26d977b,performance,3,1.25,0.55,0.75,1.2496523030823194,0.5500290404643652,0.7505589948588972,-0.0003476969176805511,2.904046436513763e-05,0.0005589948588972105,0.0006589474542090674,5e-09,4.992607169576582e-09,-7.392830423418354e-12,0.007392830423418355,0.0002525557443279175,6.552061872626572e-12,9.694510118837371e-05,0.0069993218025556836,5.057011026152154,5.057018710832025,False,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,18,3,6,True,4.985039259693058e-10,0.002942118852794701,24,19,4741,True,True,0.26830799388699234,9.511119057890028,0.47970454092137516,0.08330715703777969,0.5630116979591548,10.342438749736175,0.4347887570038438,10.777227506740019,10.790806422010064,5.053427671454781,numpy_cpu
2,1670551931,-10.0,old_4d_jones_vp,False,,550cf4d5f38ed26d977b,performance,3,1.25,0.55,0.75,1.2361653330634992,0.5466402121858741,0.7437658628658028,-0.013834666936500817,-0.0033597878141259363,-0.006234137134197182,0.015541899794035294,5e-09,4.947587376735596e-09,-5.241262326440451e-11,0.05241262326440451,0.01259322956216377,1.4863313982295942e-11,0.003939779093798083,0.04461993802328546,5.058902599246828,5.058910027370502,False,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5,19,4,6,False,nan,nan,0,0,0,False,False,0.26830799388699234,9.511119057890028,0.4347887570038438,0.0,0.4347887570038438,10.214215808780864,0.0,10.214215808780864,10.790806422010064,5.053427671454781,cpu
3,268311551,-10.0,ccop_jvp_profiled_3d,False,,3bdd1c0ac613bf8c9d7e,performance,3,1.25,0.55,0.75,1.2499290685653377,0.5501504208488612,0.7499040572051936,-7.093143466230245e-05,0.000150420848861188,-9.594279480640289e-05,0.00019199666682168307,5e-09,4.997573933971968e-09,-2.4260660280321708e-12,0.002426066028032171,0.00011171957243764033,2.117770980243574e-12,5.128922109895934e-05,0.006155774146761319,7.381528783655789,7.381536149512045,False,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,17,3,6,True,6.268562905673029e-10,0.004051079132018404,22,18,4460,True,True,0.27112516504712403,11.779098753118888,0.48468247009441257,0.07871805992908776,0.5634005300235003,12.613624448189512,0.40891400701366365,13.022538455203176,13.036108830012381,7.388210336207164,numpy_cpu
3,268311551,-10.0,old_4d_jones_vp,False,,3bdd1c0ac613bf8c9d7e,performance,3,1.25,0.55,0.75,1.2508491890557465,0.5497433529652104,0.7581641195570717,0.000849189055746491,-0.0002566470347896699,0.008164119557071747,0.00821217619727118,5e-09,5.0031773705309045e-09,3.177370530904424e-12,0.003177370530904424,0.0016357653936531673,2.377456937314138e-12,0.0002224274539585259,0.012819285527644057,7.381663451926264,7.381670840196187,False,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5,12,4,6,False,nan,nan,0,0,0,False,False,0.27112516504712403,11.779098753118888,0.40891400701366365,0.0,0.40891400701366365,12.459137925179675,0.0,12.459137925179675,13.036108830012381,7.388210336207164,cpu
4,2546022630,-10.0,ccop_jvp_profiled_3d,False,,1a8c5623f1d65c476a1f,performance,3,1.25,0.55,0.75,1.2499450970247776,0.5500608281672582,0.7482185395509683,-5.490297522237064e-05,6.0828167258164534e-05,-0.0017814604490317132,0.0017833439752567447,5e-09,4.996127711093071e-09,-3.872288906929184e-12,0.003872288906929184,0.0002456173934463717,3.073472654153161e-12,4.397568371997109e-05,0.004535710156383281,4.680448992241636,4.6804569405972405,False,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,16,3,6,True,5.077367709105679e-10,0.0025612572175543157,22,17,4249,True,True,0.2898725278209895,9.379604023182765,0.4363086470402777,0.07884082105010748,0.5151494680903852,10.18462601909414,0.44204391492530704,10.626669934019446,10.649391042999923,4.6781914190855165,numpy_cpu
4,2546022630,-10.0,old_4d_jones_vp,False,,1a8c5623f1d65c476a1f,performance,3,1.25,0.55,0.75,1.2422108868183768,0.5486488552697788,0.7405854611849918,-0.007789113181623231,-0.0013511447302212432,-0.0094145388150082,0.012293470516393547,5e-09,4.972218899243124e-09,-2.7781100756876072e-11,0.027781100756876072,0.007750938848110729,5.5720468912355364e-12,0.0034990645938983694,0.040458984117252704,4.682018939431911,4.682026873518597,False,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,21,4,6,False,nan,nan,0,0,0,False,False,0.2898725278209895,9.379604023182765,0.44204391492530704,0.0,0.44204391492530704,10.111520465929061,0.0,10.111520465929061,10.649391042999923,4.6781914190855165,cpu
