figure,variant,x_value,metric,plot_metric_name,plot_y_mean,plot_y_median,plot_y_std,plot_y_p10,plot_y_p90,mean,median,std,p10,p90,success_rate,outlier_rate,n,position_rmse_m_mean,position_rmse_m_median,position_rmse_m_std,position_rmse_m_p10,position_rmse_m_p90,y_nmse_mean,y_nmse_median,y_nmse_std,y_nmse_p10,y_nmse_p90,range_rmse_m_mean,range_rmse_m_median,range_rmse_m_std,range_rmse_m_p10,range_rmse_m_p90,tau_rmse_s_mean,tau_rmse_s_median,tau_rmse_s_std,tau_rmse_s_p10,tau_rmse_s_p90,raw_objective_final_mean,raw_objective_final_median,raw_objective_final_std,raw_objective_final_p10,raw_objective_final_p90,outlier_flag_mean,outlier_flag_median,outlier_flag_std,outlier_flag_p10,outlier_flag_p90,peb_position_m_mean,peb_position_m_median,peb_position_m_std,peb_position_m_p10,peb_position_m_p90,peb_scalar_m_mean,peb_scalar_m_median,peb_scalar_m_std,peb_scalar_m_p10,peb_scalar_m_p90,peb_dual_m_mean,peb_dual_m_median,peb_dual_m_std,peb_dual_m_p10,peb_dual_m_p90,peb_evs_m_mean,peb_evs_m_median,peb_evs_m_std,peb_evs_m_p10,peb_evs_m_p90
fig1,PEB,-30.0,peb_position_m,peb_position_m,0.011293166086879849,0.011293166086879849,0.0,0.011293166086879849,0.011293166086879849,0.011293166086879849,0.011293166086879849,0.0,0.011293166086879849,0.011293166086879849,1.0,0.0,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.011293166086879849,0.011293166086879849,0.0,0.011293166086879849,0.011293166086879849,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.011293166086879849,0.011293166086879849,0.0,0.011293166086879849,0.011293166086879849
fig1,adaptive_jones_vp_proposed,-30.0,position_rmse_m,position_rmse_m,1.09622887522992,1.09622887522992,0.0,1.09622887522992,1.09622887522992,1.09622887522992,1.09622887522992,0.0,1.09622887522992,1.09622887522992,1.0,1.0,1,1.09622887522992,1.09622887522992,0.0,1.09622887522992,1.09622887522992,1.0030550977223025,1.0030550977223025,0.0,1.0030550977223025,1.0030550977223025,0.5738249982674543,0.5738249982674543,0.0,0.5738249982674543,0.5738249982674543,3.820125808951506e-09,3.820125808951506e-09,0.0,3.820125808951506e-09,3.820125808951506e-09,396.70643690430217,396.70643690430217,0.0,396.70643690430217,396.70643690430217,1.0,1.0,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig1,fixed_pol_vp,-30.0,position_rmse_m,position_rmse_m,1.09622887522992,1.09622887522992,0.0,1.09622887522992,1.09622887522992,1.09622887522992,1.09622887522992,0.0,1.09622887522992,1.09622887522992,1.0,1.0,1,1.09622887522992,1.09622887522992,0.0,1.09622887522992,1.09622887522992,1.0030550977223025,1.0030550977223025,0.0,1.0030550977223025,1.0030550977223025,0.5738249982674543,0.5738249982674543,0.0,0.5738249982674543,0.5738249982674543,3.820125808951506e-09,3.820125808951506e-09,0.0,3.820125808951506e-09,3.820125808951506e-09,396.70643690430217,396.70643690430217,0.0,396.70643690430217,396.70643690430217,1.0,1.0,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig1,free_jones_vp,-30.0,position_rmse_m,position_rmse_m,2.12001752964543,2.12001752964543,0.0,2.12001752964543,2.12001752964543,2.12001752964543,2.12001752964543,0.0,2.12001752964543,2.12001752964543,1.0,1.0,1,2.12001752964543,2.12001752964543,0.0,2.12001752964543,2.12001752964543,1.0049801769509525,1.0049801769509525,0.0,1.0049801769509525,1.0049801769509525,1.210480868883749,1.210480868883749,0.0,1.210480868883749,1.210480868883749,3.0020218499847452e-09,3.0020218499847452e-09,0.0,3.0020218499847452e-09,3.0020218499847452e-09,396.70639359566417,396.70639359566417,0.0,396.70639359566417,396.70639359566417,1.0,1.0,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig1,regularized_jones_vp,-30.0,position_rmse_m,position_rmse_m,2.1109525450798827,2.1109525450798827,0.0,2.1109525450798827,2.1109525450798827,2.1109525450798827,2.1109525450798827,0.0,2.1109525450798827,2.1109525450798827,1.0,1.0,1,2.1109525450798827,2.1109525450798827,0.0,2.1109525450798827,2.1109525450798827,1.0041584953822682,1.0041584953822682,0.0,1.0041584953822682,1.0041584953822682,1.2073048284180468,1.2073048284180468,0.0,1.2073048284180468,1.2073048284180468,2.9942344633862408e-09,2.9942344633862408e-09,0.0,2.9942344633862408e-09,2.9942344633862408e-09,396.70654782781116,396.70654782781116,0.0,396.70654782781116,396.70654782781116,1.0,1.0,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig1,stage1_only,-30.0,position_rmse_m,position_rmse_m,1.1778377528231043,1.1778377528231043,0.0,1.1778377528231043,1.1778377528231043,1.1778377528231043,1.1778377528231043,0.0,1.1778377528231043,1.1778377528231043,1.0,1.0,1,1.1778377528231043,1.1778377528231043,0.0,1.1778377528231043,1.1778377528231043,1.004181042444542,1.004181042444542,0.0,1.004181042444542,1.004181042444542,1.6508666044515086,1.6508666044515086,0.0,1.6508666044515086,1.6508666044515086,7.405076457704916e-08,7.405076457704916e-08,0.0,7.405076457704916e-08,7.405076457704916e-08,396.70808201780886,396.70808201780886,0.0,396.70808201780886,396.70808201780886,1.0,1.0,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
