figure,variant,trial_id,seed,snr_db,x_name,x_value,K,receiver_mode,failed,error,runtime_s,position_rmse_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,global_vp_mode,selected_vp_family_branch,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m
fig4,scalar_peb,17,2127997378,-30.0,snr_db,-30.0,1,scalar,False,,1.1261109050101368,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14127400903370113,0.14127400903370113,nan,nan
fig4,scalar_peb,18,3644258948,-30.0,snr_db,-30.0,1,scalar,False,,0.8979727160040056,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.14630965771160584,0.14630965771160584,nan,nan
fig4,scalar_peb,19,3846521747,-30.0,snr_db,-30.0,1,scalar,False,,1.1088970999990124,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.1516069174157443,0.1516069174157443,nan,nan
fig4,dual_pol_peb,0,3147786918,-30.0,snr_db,-30.0,1,dual_pol,False,,0.9169508250051877,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.04538523704476419,nan,0.04538523704476419,nan
fig4,dual_pol_peb,1,112311654,-30.0,snr_db,-30.0,1,dual_pol,False,,1.106783016002737,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.04725498746656259,nan,0.04725498746656259,nan
fig4,dual_pol_peb,2,3251202663,-30.0,snr_db,-30.0,1,dual_pol,False,,0.9980257370043546,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.046928917098485456,nan,0.046928917098485456,nan
fig4,dual_pol_peb,3,3422926171,-30.0,snr_db,-30.0,1,dual_pol,False,,1.0993689259921666,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.04651545006177337,nan,0.04651545006177337,nan
fig4,dual_pol_peb,4,287230138,-30.0,snr_db,-30.0,1,dual_pol,False,,1.069436728997971,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.048249086661780446,nan,0.048249086661780446,nan
fig4,dual_pol_peb,5,2290547997,-30.0,snr_db,-30.0,1,dual_pol,False,,1.1054391189973103,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.04712286750838419,nan,0.04712286750838419,nan
fig4,dual_pol_peb,6,1919806993,-30.0,snr_db,-30.0,1,dual_pol,False,,0.9512132400122937,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.04872702692913567,nan,0.04872702692913567,nan
