trial_id,seed,hash_match,position_error_m,outlier_flag,boundary_hit,cp_ngc_statistic,cp_ngc_truth_statistic,cp_ngc_dof,cp_ngc_pvalue,cp_ngc_truth_pvalue,oracle_bias_corrected_statistic,oracle_bias_corrected_truth_statistic,oracle_bias_corrected_pvalue,oracle_bias_corrected_truth_pvalue,cp_ngc_delta_t_gls_ns,projected_geometry_rank,cert_information_min_eigenvalue,assignment_margin,selected_clock_std_ns,max_ris_residual,stage1_runtime_s,threshold_a0p05,rejected_a0p05,truth_rejected_a0p05,oracle_bias_corrected_rejected_a0p05,oracle_bias_corrected_truth_rejected_a0p05,threshold_a0p01,rejected_a0p01,truth_rejected_a0p01,oracle_bias_corrected_rejected_a0p01,oracle_bias_corrected_truth_rejected_a0p01
0,4191845062,False,0.0011131113348902932,False,False,21.147991598650858,20.965143714173987,11,0.0318698328545084,0.033733979963010786,6.1907849038742295,6.132359611312324,0.8603358929248431,0.8643883521094593,5.131512236327729,3,50.110718579659604,1.9127067003941487,0.7349945713630266,0.43692164460610267,13.962782082002377,19.67513757268249,True,True,False,False,24.724970311318277,False,False,False,False
1,1963740598,False,0.700000209792141,True,True,39.69026469013682,8.633765020246393,11,4.041121907367671e-05,0.6556563299768532,69.34962433061335,2.740180410164666,1.623682101561726e-10,0.9937331586960977,5.002645809078648,3,54.591042730334955,4.4773845045747995,0.3461839997646195,0.3400361462544958,13.432160983000358,19.67513757268249,True,False,True,False,24.724970311318277,True,False,True,False
2,1670551931,False,0.0006589474542090674,False,False,9.453219195390814,9.404487512581145,11,0.5801335840033639,0.5846097170580888,2.4584495133109097,2.4772749912495984,0.9961262650780591,0.9959914354298817,5.029657495107492,3,49.84464961526323,2.814417864528471,0.44464574916554567,0.3769474806993619,13.946619465001277,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
3,268311551,False,0.00019199666682168307,False,False,16.34339527684982,16.155028944774067,11,0.12885361928301525,0.13547237494901873,5.543597467877619,5.459237574121341,0.9020180551199571,0.9069059994028134,5.110035370302136,3,50.06280634379546,7.463285290243994,0.1605307422709337,0.15490284212634275,14.189179842996964,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
4,2546022630,False,0.0017833439752567447,False,False,11.040458397198385,10.936796302239983,11,0.4398800483029505,0.4485734145950322,0.7642904471767754,0.7951439321933331,0.999987318569971,0.9999844376111469,5.134020824214942,3,49.78107766233885,4.688680469829852,0.22125703560256701,0.2909776967895254,12.727763372000481,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
5,2003832857,False,0.7000026134644585,True,True,37.13856762901759,14.692962899037685,11,0.00010923036766897936,0.19698911420398535,59.56289406557919,1.6378691968935926,1.1176993710022915e-08,0.9994174237240614,5.06551403601504,3,54.551449282774485,3.4418064533062784,0.8318739194872887,0.4451893493471927,13.536333864998596,19.67513757268249,True,False,True,False,24.724970311318277,True,False,True,False
6,3924407702,False,0.0010139921467039387,False,False,10.129387927437069,10.161155612567912,11,0.5187875924765692,0.5159520778161086,0.9320248004863528,0.9497241570349669,0.9999647989173805,0.9999612500057005,4.8642910411047495,3,49.81515999079533,5.945673560268768,0.1991051231748554,0.21173231485912258,12.130590353997832,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
7,3053707144,False,1.0208690749703166,True,True,53779.380334044174,4947.53154696397,11,0.0,0.0,52974.28607123333,4750.955311573509,0.0,0.0,-248.47530947787624,3,62.307486140681455,0.10148724313086253,30.97027646311034,0.9886445153675593,13.402999511999951,19.67513757268249,True,True,True,True,24.724970311318277,True,True,True,True
8,3315122986,False,0.00020422414218455658,False,False,17.30021989728388,17.305124510912947,11,0.09930349311819334,0.09916848345392783,6.471268945955044,6.445832692385199,0.8401448592837233,0.842024530831305,5.234099128687624,3,49.7954182110551,4.9659709867625095,0.20387732221724908,0.19357364862958748,12.844924705997983,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
9,1804969292,False,0.0007909698517836245,False,False,7.48802895561527,7.453489754782084,11,0.7582979056095163,0.7612605232794957,6.407015193203312,6.52770888123065,0.844874800017151,0.8359407779973269,4.9751042422443925,3,49.80989842417712,0.2941060161738982,1.117048777652014,0.9611550904511857,12.759170474000712,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
