trial_id,seed,hash_expected,hash_actual,hash_match,assignment_margin,selected_clock_std_s,max_ris_residual,data_runtime_s,stage1_runtime_s,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,target_0,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11
0,4191845062,4c6db7d8cd15b9654b28,4e6b86827abf679a47ba,False,1.9127067003941487,7.349945713630266e-10,0.43692164460610267,0.5522584570026083,13.962782082002377,3.376372528261449e-08,3.730334830912869e-08,3.229520394953884e-08,4.101061639504977,0.07460927356577597,2.3911814768620534,4.16382451927897,-0.09581454534474101,-2.758847162794295,3.910494274903139,0.1358911248423282,2.988040220381013,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
1,1963740598,213639ecff5da63977c6,0ea6c2881fd85bdbe410,False,4.4773845045747995,3.4618399976461947e-10,0.3400361462544958,0.5618656820006436,13.432160983000358,3.448171310632084e-08,3.731123301347596e-08,3.324388894290381e-08,4.342722736092922,0.07232692682603394,2.3912262853389175,4.189416312541358,-0.09635678489529179,-2.7588956906411495,3.6925061527137317,-0.13772805374832278,2.9878811963648206,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
2,1670551931,550cf4d5f38ed26d977b,6a4ca4a3655417e37115,False,2.814417864528471,4.446457491655457e-10,0.3769474806993619,0.37533861699921545,13.946619465001277,3.429028424065343e-08,3.731308848482065e-08,3.3235733930685416e-08,4.3167253697526204,0.0770566630379137,2.391470016689069,4.12937198237146,-0.09605153109581063,-2.7588730731777846,3.711407060911745,-0.13973518680138555,2.987949531176395,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
3,268311551,3bdd1c0ac613bf8c9d7e,2102c4b49aa94a31b1a3,False,7.463285290243994,1.605307422709337e-10,0.15490284212634275,0.47434557899759966,14.189179842996964,3.43529541578097e-08,3.729732784313317e-08,3.3111668750050294e-08,4.080842022555072,0.07540722809930976,2.3912012583722144,4.101914269578823,-0.09379524230407281,-2.7588388876891075,3.670990407068261,0.13644999250027928,2.987641864810957,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
4,2546022630,1a8c5623f1d65c476a1f,32de02b1b4e2f80cf555,False,4.688680469829852,2.2125703560256703e-10,0.2909776967895254,0.34827806600151234,12.727763372000481,3.4125953781321196e-08,3.7305927496804864e-08,3.2574365888459044e-08,4.076768753093488,0.07465291569561736,2.391272423596479,4.201656127863134,-0.09640106158842877,-2.758903088792901,3.653556544063862,-0.14143533955902088,2.9880749856441624,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
5,2003832857,27ce6a9f440e86015a74,3bb18e003ea7c9709837,False,3.4418064533062784,8.318739194872888e-10,0.4451893493471927,0.33624991299802787,13.536333864998596,3.589053964663016e-08,3.733459946780328e-08,3.318268732678194e-08,3.95524237996444,0.07325670964296341,2.391733477719795,4.09142835423033,-0.09522084420034548,-2.7587928304895675,3.646239015867954,-0.13749907771175626,2.987798820912656,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
6,3924407702,7f031cad3b07b0158f3b,fe0e7c9b8f0b64e833d3,False,5.945673560268768,1.991051231748554e-10,0.21173231485912258,0.37215059400114114,12.130590353997832,3.4231971529249604e-08,3.732378363829058e-08,3.317114734863449e-08,4.09757508257666,0.0719576133458945,2.391464786648747,4.103388743871146,-0.09735970610155927,-2.758717034063102,3.6569725315120487,-0.13895191742675422,2.9879263353987766,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
7,3053707144,543dd0de7252b5ba6462,fa6e326fcb1905bc4993,False,0.10148724313086253,3.097027646311034e-08,0.9886445153675593,0.3574131839995971,13.402999511999951,1.0357400314221728e-07,3.729482330653066e-08,3.4266211297922526e-08,5.77125446737192,1.877511481622182e-07,2.5961142032249436,4.2159430541696965,-0.09578342800995113,-2.7588042432663635,5.1780430818293235,8.850340533133541e-08,3.535140841369038,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
8,3315122986,76eb89a21dc97517c109,0b2d6f92cc4a4294fc3c,False,4.9659709867625095,2.0387732221724908e-10,0.19357364862958748,0.3199592670025595,12.844924705997983,3.4181353113100885e-08,3.7359575109169714e-08,3.3083944287232316e-08,4.079185449957694,0.07144182771692818,2.391420474747902,4.368606985914208,-0.09506916011508036,-2.758901396379595,3.655979154615768,0.1385952105434737,2.9878825761345063,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
9,1804969292,7145023eb999cc019123,9aba861e833825636d39,False,0.2941060161738982,1.1170487776520138e-09,0.9611550904511857,0.4460909509980411,12.759170474000712,3.455775042592039e-08,3.730701005975345e-08,3.3998387351763345e-08,4.537396572558168,0.09304814334181195,2.3874344514019867,4.172767660791757,-0.09691152283543333,-2.7589003696439813,3.4844835612011815,-0.13866956346198847,2.987814516307986,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
10,1162771679,742ba987bca3dc899baa,3e16e4cbce329237ae0e,False,4.8684185912389015,6.217100137712249e-11,0.17321904700766855,0.3125765919976402,13.101894674000505,3.4410869198336e-08,3.7337328296681427e-08,3.3311182492619524e-08,4.028020214537515,0.07379230454348716,2.391299148844562,4.127585789209967,-0.09379285300541365,-2.758844720352652,3.6719809322411807,-0.13751408046311114,2.9877040660093708,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
11,2669766368,c0ed81e57d07ff835dc5,8c61d857844ea0b21475,False,4.602915515496112,4.9018429492224144e-11,0.337704024094839,0.3326782430012827,12.973651063999569,3.431041358157875e-08,3.734619635229105e-08,3.3476607164726706e-08,3.8404245188598063,0.07829762523085486,2.391374067427955,4.003187745370432,-0.0961325157138808,-2.7587428739823623,3.520825244771094,-0.1368590003179092,2.987733717683989,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
12,795438795,52e48856373a76d12405,b8f1d1ca1e685a36235e,False,2.4528346024172594,5.796996858902094e-10,0.700029675553685,0.3178892329997325,12.94282471599945,3.3476343566430825e-08,3.732625362977668e-08,3.28822990722641e-08,4.174721053614683,0.06689336919214707,2.391289233343212,4.139588922093488,-0.09629741074755026,-2.758846625155268,3.8129409939581,-0.13928676317373773,2.9882533813054697,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
13,2634590860,6fe906c4406fa966afe9,070e37dd419a60572fff,False,0.015055971112839272,6.656605112852504e-08,0.9867150762485024,0.3435469460018794,13.035453737000353,3.427003637562989e-08,3.732831662045186e-08,1.79400594340929e-07,4.091243708245052,0.07558697744442741,2.3911387305404643,4.183662896286426,-0.09501085219862966,-2.758800951308111,5.1780430818293235,-0.36249071052087245,2.5365829649385514,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
14,3257551814,a9baa86001aa8d36a2e7,abc83e13fa8d79d2e552,False,11.274009653640087,3.7841781348538796e-11,0.17766541835653038,0.3259061950011528,12.614721431997168,3.4282418105750915e-08,3.726451540972104e-08,3.30566322250291e-08,4.100832601212723,0.07482097541095903,2.3915178303096076,4.2184705578116946,-0.09691067967814954,-2.7588650543836426,3.6441186911097714,-0.1382303922432,2.9878540784164143,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
15,666460866,f5970d03535acf675b58,11447c1b5e05c0a66cb2,False,5.251506658692951,1.1788069880814787e-10,0.1866360460139475,0.3505807229994389,12.395467332000408,3.4504110199574e-08,3.7310835928482265e-08,3.3369141525033466e-08,4.061593743039446,0.07771152124456951,2.391317604878974,4.103552287546769,-0.09510764431897767,-2.75887106119495,3.7167492325225213,-0.13935516316109392,2.987744472687863,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
16,4165246433,297bc485804c054bbaea,324024f51f2ac4ac09d5,False,3.4710522905398435,2.852322147260875e-10,0.3286170055909598,0.31624391099830973,12.197652562001167,3.417821682482049e-08,3.732656619565919e-08,3.314935537813494e-08,4.069391808425275,0.07865644580094576,2.3912968513687014,4.215040116767698,-0.09720590064568313,-2.7589681154510197,3.5044973174865888,-0.13761530645735115,2.9878280132650037,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
17,3618397615,4fb5687bb6e6af7db828,6a7a6ac9f4a7999361d4,False,6.827109898118448,2.437700130184249e-10,0.18117142287307114,0.33995043199684005,12.161896813999192,3.4511040245406935e-08,3.733341178940557e-08,3.322383776472382e-08,3.963541446503151,0.07202564412883312,2.391273709033636,4.153550274809763,-0.0965962028639814,-2.7588858085126997,3.4574001358285895,-0.13842376830400785,2.987707908902214,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
18,607131593,095f9183b36373d2b4d6,87bc07cef1b2a1137bff,False,7.148796717977256,1.4017183424423798e-10,0.20795156846253224,0.30934028800038504,12.281230464002874,3.4337647070442545e-08,3.775508501401954e-08,3.31518811331178e-08,4.044878297146729,0.07206075892955864,2.391446246883236,4.231391811729975,-0.09443297051179632,-2.7589110518392794,3.664493816101095,-0.13793241382466162,2.9878540089865115,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
19,2520533696,df422399c7a07e6552ea,66feaabc9b945ddb2f0c,False,4.969894806435442,1.4426147968966632e-10,0.16446956465148985,0.34994975800145767,12.312049063999439,3.430299196452744e-08,3.7225269263296076e-08,3.3040413077078184e-08,4.129776643770707,0.07391702676406074,2.3912714250261558,4.166097774461039,-0.09722488589850807,-2.7588452520283275,3.581198757490407,0.13819168332125914,2.987802674903498,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
20,1953334482,8f08ce16cc2f6d8c0022,de9bc8963d654a9aad5a,False,7.38662031707313,1.218292837010447e-10,0.14979780535129383,0.31369039099809015,11.957620193003095,3.4405135273378986e-08,3.731954356640615e-08,3.317297403552898e-08,4.034891603718035,0.07239579329984212,2.391259725388756,4.096571777721,-0.09492381227727001,-2.758797798483721,3.6533724042402693,-0.13893832342982246,2.9879044236656918,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
21,1157340362,512b7eccd0e00ec8dab6,e9482d4731be1ce68fd2,False,0.09151273116952126,1.1829149585185621e-08,0.9883500320167575,0.34922904899940477,12.217845185001352,2.0965757163565454e-09,3.72990215702731e-08,3.424478876224412e-08,2.5,-0.4389074451922895,2.6059400694101926,4.254212884928812,-0.09580881577537953,-2.7588621113619025,5.1780430818293235,0.06514985993587157,2.4332970272271046,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
22,2486019150,851f3469b008f257f0ba,1b41d220fd0965a0c00f,False,3.2054816737034604,2.1308573942060923e-10,0.31768682966903034,0.3172213149991876,12.143517658001656,3.4539843255003666e-08,3.7585979999821935e-08,3.315802007451423e-08,3.9824068837120623,0.07233857613021276,2.3914092312981583,4.064110983296977,-0.09483203419985825,-2.759570872386167,3.6020788946655315,-0.13808503860228308,2.987874029572379,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
23,3565776097,d61c746fd39edda703ad,41a5c956a2fb8f98b84b,False,4.9252279174029185,3.9795406449681577e-10,0.20692275154730028,0.33461248200183036,12.213071961999958,3.425312407585002e-08,3.747782030017323e-08,3.307094470579322e-08,4.031348232402208,0.07391783995780357,2.3913159598378546,4.447256820469079,-0.09427384181933211,-2.7587896407637795,3.5631158214340397,0.13635604306243396,2.9879218586377263,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
24,1017552053,c7d59d3385c59363c718,f4e93f44f7d927aba0ba,False,4.283890461831913,8.065682451595904e-11,0.36974317426489955,0.336895396001637,11.77088002200253,3.416964020141716e-08,3.7311405523753184e-08,3.2492280474326454e-08,4.012916635140725,0.07295066686851502,2.3909226631417955,4.187071746933736,-0.09588567942271484,-2.7588846371141784,3.500014314707984,-0.13692380695934012,2.988035285281683,3.430595078625543e-08,3.731236922979141e-08,3.3131088688530414e-08,4.044131550778238,-0.07424976784988944,2.39126782072557,4.169532347877877,-0.09608178504746925,-2.7588491437442175,3.6269822166644268,-0.13829606831555957,2.987885124531314
