figure,baseline,x_name,x_value,n,success_rate,plot_metric,rmse_m,median_m,p90_m,p95_m,runtime_s_mean
fig8,ff_omp,calibration_std_deg,0.0,1,1.0,position_rmse_m,2.0997506608843204,2.0997506608843204,2.0997506608843204,2.0997506608843204,41.204598113006796
fig8,ff_omp,calibration_std_deg,5.0,1,1.0,position_rmse_m,1.4996608537678624,1.4996608537678624,1.4996608537678624,1.4996608537678624,48.905881374987075
fig8,nf_mmpsr,calibration_std_deg,0.0,1,1.0,position_rmse_m,1.5149257407543117,1.5149257407543117,1.5149257407543117,1.5149257407543117,38.400619919993915
fig8,nf_mmpsr,calibration_std_deg,5.0,1,1.0,position_rmse_m,1.5149257407543117,1.5149257407543117,1.5149257407543117,1.5149257407543117,17.874207033004495
fig8,proposed,calibration_std_deg,0.0,1,1.0,position_rmse_m,0.0006272668886746256,0.0006272668886746256,0.0006272668886746256,0.0006272668886746256,417.7555641569925
fig8,proposed,calibration_std_deg,5.0,1,1.0,position_rmse_m,0.002538071266381406,0.002538071266381406,0.002538071266381406,0.002538071266381406,499.6680100259982
fig8,ris_momp,calibration_std_deg,0.0,1,1.0,position_rmse_m,1.8694919095839913,1.8694919095839913,1.8694919095839913,1.8694919095839913,82.68562047299929
fig8,ris_momp,calibration_std_deg,5.0,1,1.0,position_rmse_m,1.6481117469370812,1.6481117469370812,1.6481117469370812,1.6481117469370812,55.995093703008024
