figure,variant,x_value,metric,plot_metric_name,plot_y_mean,plot_y_median,plot_y_std,plot_y_p10,plot_y_p90,plot_y_p95,mean,median,std,p10,p90,p95,success_rate,outlier_rate,rescue_run_rate,rescue_trigger_rate,n,K,paper_k,effective_K,position_rmse_m_mean,position_rmse_m_median,position_rmse_m_std,position_rmse_m_p10,position_rmse_m_p90,position_rmse_m_p95,y_nmse_mean,y_nmse_median,y_nmse_std,y_nmse_p10,y_nmse_p90,y_nmse_p95,range_rmse_m_mean,range_rmse_m_median,range_rmse_m_std,range_rmse_m_p10,range_rmse_m_p90,range_rmse_m_p95,tau_rmse_s_mean,tau_rmse_s_median,tau_rmse_s_std,tau_rmse_s_p10,tau_rmse_s_p90,tau_rmse_s_p95,raw_objective_final_mean,raw_objective_final_median,raw_objective_final_std,raw_objective_final_p10,raw_objective_final_p90,raw_objective_final_p95,outlier_flag_mean,outlier_flag_median,outlier_flag_std,outlier_flag_p10,outlier_flag_p90,outlier_flag_p95,peb_position_m_mean,peb_position_m_median,peb_position_m_std,peb_position_m_p10,peb_position_m_p90,peb_position_m_p95,peb_scalar_m_mean,peb_scalar_m_median,peb_scalar_m_std,peb_scalar_m_p10,peb_scalar_m_p90,peb_scalar_m_p95,peb_dual_m_mean,peb_dual_m_median,peb_dual_m_std,peb_dual_m_p10,peb_dual_m_p90,peb_dual_m_p95,peb_evs_m_mean,peb_evs_m_median,peb_evs_m_std,peb_evs_m_p10,peb_evs_m_p90,peb_evs_m_p95,peb_free_jones_m_mean,peb_free_jones_m_median,peb_free_jones_m_std,peb_free_jones_m_p10,peb_free_jones_m_p90,peb_free_jones_m_p95,peb_constrained_jones_m_mean,peb_constrained_jones_m_median,peb_constrained_jones_m_std,peb_constrained_jones_m_p10,peb_constrained_jones_m_p90,peb_constrained_jones_m_p95,peb_anchored_jones_m_mean,peb_anchored_jones_m_median,peb_anchored_jones_m_std,peb_anchored_jones_m_p10,peb_anchored_jones_m_p90,peb_anchored_jones_m_p95,stage2_seed_position_error_m_mean,stage2_seed_position_error_m_median,stage2_seed_position_error_m_std,stage2_seed_position_error_m_p10,stage2_seed_position_error_m_p90,stage2_seed_position_error_m_p95,stage2_seed_clock_error_ns_mean,stage2_seed_clock_error_ns_median,stage2_seed_clock_error_ns_std,stage2_seed_clock_error_ns_p10,stage2_seed_clock_error_ns_p90,stage2_seed_clock_error_ns_p95
fig6,stage2_lg_rdc,-10.0,stage2_seed_clock_error_ns,stage2_seed_clock_error_ns,0.28212303046870774,0.0956734171100343,0.7475484868798187,0.028414280665955614,0.3520506888521281,0.4655253417194137,0.28212303046870774,0.0956734171100343,0.7475484868798187,0.028414280665955614,0.3520506888521281,0.4655253417194137,1.0,0.2916666666666667,1.0,1.0,24,3,3,3,0.19297764264179196,0.001453681797077866,0.31068780771515514,0.0004407200361239006,0.7000005357201429,0.7000008297370932,0.06720757634138143,5.44221273615068e-05,0.1992961190455918,2.7282190088785726e-05,0.13729148900299581,0.14978898631885534,0.017636375335539908,0.0004845706224729444,0.06233226693146338,8.710709894494895e-05,0.017971395760906797,0.01813374909468442,1.9433080563760155e-10,1.995330753594511e-12,8.638334935568065e-10,6.368812642825568e-13,5.4749000221785194e-11,6.153189111404066e-11,3.2579145671777616,3.069218620259332,1.5508438006156837,1.1897137261772408,4.966269862185056,5.611034449454063,0.2916666666666667,0.0,0.45452967144315476,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3117103224809869,0.002350092275701408,0.5444907282937974,0.0003881140262639578,0.7000009577998028,0.8327859773077682,0.28212303046870774,0.0956734171100343,0.7475484868798187,0.028414280665955614,0.3520506888521281,0.4655253417194137
fig6,stage2_lg_rdc,-5.0,stage2_seed_clock_error_ns,stage2_seed_clock_error_ns,0.08304364300591743,0.04649647105698916,0.09812554477342152,0.016728829418592123,0.18233594918252538,0.21559543942867074,0.08304364300591743,0.04649647105698916,0.09812554477342152,0.016728829418592123,0.18233594918252538,0.21559543942867074,1.0,0.125,1.0,1.0,24,3,3,3,0.08798342050214264,0.0006111798638761619,0.23132084944799358,0.00023026466336649635,0.4903836645206856,0.700000457520061,0.008882963704822363,1.550496438435106e-05,0.02554729504863743,8.619562644403512e-06,0.02412428694305714,0.0681991833325168,0.002428264561156961,0.00021943950884735071,0.0058737055166412705,5.850834371392656e-05,0.012535232243842773,0.017725534670853887,7.523687730653929e-12,8.054995451391808e-13,1.7209783915408193e-11,3.6161252082653187e-13,3.70604115527857e-11,5.3353682650237504e-11,1.0252929708201146,0.9380695961825689,0.48757466633464724,0.3780313942552826,1.5504492776208287,1.771465477265262,0.125,0.0,0.33071891388307384,0.0,0.6999999999999993,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.14646227978758156,0.0008614963619407367,0.28395939034543943,0.00024362276298571314,0.7000000909176286,0.7000006204053322,0.08304364300591743,0.04649647105698916,0.09812554477342152,0.016728829418592123,0.18233594918252538,0.21559543942867074
fig6,stage2_lg_rdc,0.0,stage2_seed_clock_error_ns,stage2_seed_clock_error_ns,0.03195359762192259,0.01914360450906896,0.0312157913816607,0.007161243245148024,0.059549558604497635,0.09265497262277678,0.03195359762192259,0.01914360450906896,0.0312157913816607,0.007161243245148024,0.059549558604497635,0.09265497262277678,1.0,0.041666666666666664,1.0,1.0,24,3,3,3,0.02946447176407034,0.00032043195743961927,0.1398164608678205,0.00011560393147450831,0.0005381878817099369,0.0006943295407284272,0.001440087909478028,4.9019033734213285e-06,0.006882079542222672,2.724348404129182e-06,8.639087916366801e-06,1.1038748092956987e-05,0.0008830010318435971,0.0001177074321398562,0.00366518596889004,2.8443730435270488e-05,0.00024672734594721247,0.00025984340560435327,2.7290657704522496e-12,3.449183067480032e-13,1.0228386010118633e-11,2.031115769604618e-13,1.452403983901798e-12,1.601231544529087e-12,0.32400933768759715,0.3000335298189878,0.15438358665870294,0.11870671982167065,0.490295110235754,0.5601865666295716,0.041666666666666664,0.0,0.19982631347136331,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17538863075930178,0.0006200357919405126,0.3028848441352812,0.00013724924883236103,0.7000004598251562,0.700000617245797,0.03195359762192259,0.01914360450906896,0.0312157913816607,0.007161243245148024,0.059549558604497635,0.09265497262277678
fig6,stage2_lg_rdc,5.0,stage2_seed_clock_error_ns,stage2_seed_clock_error_ns,0.017780824671172205,0.012008652429995485,0.018056128434585716,0.004899966972462218,0.03498668482559066,0.05081576690585951,0.017780824671172205,0.012008652429995485,0.018056128434585716,0.004899966972462218,0.03498668482559066,0.05081576690585951,1.0,0.041666666666666664,1.0,1.0,24,3,3,3,0.029334258863243635,0.00018053233056013266,0.1398435460210227,6.511312758202574e-05,0.00030286746843900564,0.0003910555231970235,0.001436685197661568,1.5499187467158862e-06,0.006882401956776748,8.612705929165223e-07,2.731289749751904e-06,3.4909238685296045e-06,0.0008333373803075264,6.63131839667191e-05,0.0036760181236790888,1.6097395698978458e-05,0.00013871634425536666,0.0001461492661804415,2.4787695069399614e-12,1.9336995455623336e-13,1.0276886878435599e-11,1.1411414255988975e-13,8.169713254408194e-13,8.995876804411985e-13,0.10274275211659963,0.09826297055763414,0.04878839271224339,0.03753836075656394,0.1550449271944161,0.17714654583359332,0.041666666666666664,0.0,0.19982631347136331,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17520711498433458,0.00032482575464653986,0.3029895599361931,6.45834613078465e-05,0.7000004637583398,0.700000608469348,0.017780824671172205,0.012008652429995485,0.018056128434585716,0.004899966972462218,0.03498668482559066,0.05081576690585951
fig6,stage2_lg_rdc,10.0,stage2_seed_clock_error_ns,stage2_seed_clock_error_ns,0.009839572386899057,0.005824594857441814,0.010425514864114012,0.0012612025833652315,0.02020986962174858,0.02822836928980615,0.009839572386899057,0.005824594857441814,0.010425514864114012,0.0012612025833652315,0.02020986962174858,0.02822836928980615,1.0,0.0,1.0,1.0,24,3,3,3,9.468533571154373e-05,8.445380114162858e-05,5.551851417189446e-05,3.278504884906347e-05,0.00016562574595685602,0.0001711661484551096,4.97279145088279e-07,4.652049840715814e-07,2.194750589444673e-07,2.588331294893911e-07,7.724591377691159e-07,8.749407298007906e-07,3.6223786503184956e-05,3.403199888467856e-05,2.5554771577744828e-05,8.23941196796678e-06,7.480513028007151e-05,7.856227792557323e-05,1.8886697520835735e-13,1.0855156929078659e-13,1.421208903562591e-13,6.403646387620193e-14,3.9770028097671427e-13,4.722036222721051e-13,0.032359529036851055,0.029506496496211537,0.01544707810404911,0.01187067195061171,0.0490295109225689,0.05601865632439652,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.14594984278220824,0.00017674689871021313,0.2842220957446034,3.554669264245959e-05,0.7000003937290541,0.7000005944152741,0.009839572386899057,0.005824594857441814,0.010425514864114012,0.0012612025833652315,0.02020986962174858,0.02822836928980615
fig6,stage2_lg_rdc,15.0,stage2_seed_clock_error_ns,stage2_seed_clock_error_ns,0.005475885004306444,0.0029527479775118895,0.005952195949082574,0.0006127678432871446,0.011587112362286161,0.015773323369600974,0.005475885004306444,0.0029527479775118895,0.005952195949082574,0.0006127678432871446,0.011587112362286161,0.015773323369600974,1.0,0.0,1.0,1.0,24,3,3,3,5.325733654786504e-05,4.752939987871323e-05,3.122793989117237e-05,1.844255720586857e-05,9.315369982110849e-05,9.627933702746504e-05,1.5726226947631147e-07,1.4709914234642906e-07,6.940831435423456e-08,8.185082910350025e-08,2.442819413410074e-07,2.766585388434467e-07,2.037079639244838e-05,1.914111131916657e-05,1.4369170023923588e-05,4.634579954894435e-06,4.2060635543284416e-05,4.417661789455049e-05,1.0621533241490714e-13,6.098331106830387e-14,7.990073299007644e-14,3.59677325719689e-14,2.236284287626112e-13,2.655681575009242e-13,0.010232981575218054,0.009330773471606737,0.004884794999737103,0.0037538360700366587,0.015504492701473934,0.017714654522958513,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20423397362873227,0.00011668754051077758,0.3181277892324697,2.42097352150423e-05,0.7000004686629926,0.7000005836846473,0.005475885004306444,0.0029527479775118895,0.005952195949082574,0.0006127678432871446,0.011587112362286161,0.015773323369600974
fig6,stage2_lg_rdc,20.0,stage2_seed_clock_error_ns,stage2_seed_clock_error_ns,0.0030668418229142917,0.0015681429426946283,0.003370782972972397,0.00037844565923485853,0.006572569633763447,0.008839607344977934,0.0030668418229142917,0.0015681429426946283,0.003370782972972397,0.00037844565923485853,0.006572569633763447,0.008839607344977934,1.0,0.0,1.0,1.0,24,3,3,3,2.995220455426394e-05,2.6740195261001966e-05,1.756297534014171e-05,1.0371784214189508e-05,5.238841966419709e-05,5.414944483039757e-05,4.9732202482435e-08,4.6514602581420953e-08,2.194959902475512e-08,2.588376304322408e-08,7.725018535001155e-08,8.748322158419759e-08,1.1455522172879132e-05,1.076492673903001e-05,8.079984387544628e-06,2.6067307498994524e-06,2.365058448265173e-05,2.4841691578993713e-05,5.973189473058997e-14,3.4274590789309454e-14,4.492519283464549e-14,2.0212664939889553e-14,1.257512905800184e-13,1.493491516197253e-13,0.0032359529029619715,0.002950649650423704,0.001544707810110932,0.0011870671940609966,0.004902951089061151,0.005601865621679187,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20420588171429108,6.829770573817036e-05,0.3181457991783351,1.3601860176345722e-05,0.7000004246110778,0.7000005777551409,0.0030668418229142917,0.0015681429426946283,0.003370782972972397,0.00037844565923485853,0.006572569633763447,0.008839607344977934
fig6,stage2_pllg_joint_seed,-10.0,stage2_seed_clock_error_ns,stage2_seed_clock_error_ns,0.28212303046870774,0.0956734171100343,0.7475484868798187,0.028414280665955614,0.3520506888521281,0.4655253417194137,0.28212303046870774,0.0956734171100343,0.7475484868798187,0.028414280665955614,0.3520506888521281,0.4655253417194137,1.0,0.3333333333333333,1.0,1.0,24,3,3,3,0.22214000171294637,0.0016036720698013567,0.3237866266164193,0.0005430633135589484,0.7000005357201429,0.7000008297370932,0.06864274023096885,6.132872276303966e-05,0.19893084845109693,3.0513075865024143e-05,0.13729148900299581,0.14978898631885534,0.018402597209561663,0.00059672280738246,0.06222424463483473,0.0001027108019928701,0.018116963598839346,0.018391593139257284,1.9641012467099797e-10,2.436946737074127e-12,8.634274543281117e-10,6.368812642825568e-13,5.4749000221785194e-11,6.153189111404066e-11,3.2583340935618907,3.0742529368688842,1.550738306534931,1.1897137261772408,4.966269862185056,5.611034449454063,0.3333333333333333,0.0,0.4714045207910317,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.42174701017794386,0.002499455672371729,0.593265233452312,0.00038811498939505596,1.0682050291779794,1.2192249784479778,0.28212303046870774,0.0956734171100343,0.7475484868798187,0.028414280665955614,0.3520506888521281,0.4655253417194137
fig6,stage2_pllg_joint_seed,-5.0,stage2_seed_clock_error_ns,stage2_seed_clock_error_ns,0.08304364300591743,0.04649647105698916,0.09812554477342152,0.016728829418592123,0.18233594918252538,0.21559543942867074,0.08304364300591743,0.04649647105698916,0.09812554477342152,0.016728829418592123,0.18233594918252538,0.21559543942867074,1.0,0.125,1.0,1.0,24,3,3,3,0.08798342050214264,0.0006111798638761619,0.23132084944799358,0.00023026466336649635,0.4903836645206856,0.700000457520061,0.008882963704822363,1.550496438435106e-05,0.02554729504863743,8.619562644403512e-06,0.02412428694305714,0.0681991833325168,0.002428264561156961,0.00021943950884735071,0.0058737055166412705,5.850834371392656e-05,0.012535232243842773,0.017725534670853887,7.523687730653929e-12,8.054995451391808e-13,1.7209783915408193e-11,3.6161252082653187e-13,3.70604115527857e-11,5.3353682650237504e-11,1.0252929708201146,0.9380695961825689,0.48757466633464724,0.3780313942552826,1.5504492776208287,1.771465477265262,0.125,0.0,0.33071891388307384,0.0,0.6999999999999993,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.16800681492282757,0.0008614891641131029,0.29062370334112314,0.0002436266227313766,0.7000000909187263,0.7000006203997006,0.08304364300591743,0.04649647105698916,0.09812554477342152,0.016728829418592123,0.18233594918252538,0.21559543942867074
fig6,stage2_pllg_joint_seed,0.0,stage2_seed_clock_error_ns,stage2_seed_clock_error_ns,0.03195359762192259,0.01914360450906896,0.0312157913816607,0.007161243245148024,0.059549558604497635,0.09265497262277678,0.03195359762192259,0.01914360450906896,0.0312157913816607,0.007161243245148024,0.059549558604497635,0.09265497262277678,1.0,0.041666666666666664,1.0,1.0,24,3,3,3,0.02946447176407034,0.00032043195743961927,0.1398164608678205,0.00011560393147450831,0.0005381878817099369,0.0006943295407284272,0.001440087909478028,4.9019033734213285e-06,0.006882079542222672,2.724348404129182e-06,8.639087916366801e-06,1.1038748092956987e-05,0.0008830010318435971,0.0001177074321398562,0.00366518596889004,2.8443730435270488e-05,0.00024672734594721247,0.00025984340560435327,2.7290657704522496e-12,3.449183067480032e-13,1.0228386010118633e-11,2.031115769604618e-13,1.452403983901798e-12,1.601231544529087e-12,0.32400933768759715,0.3000335298189878,0.15438358665870294,0.11870671982167065,0.490295110235754,0.5601865666295716,0.041666666666666664,0.0,0.19982631347136331,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17538862963946644,0.0006200295647880035,0.3028848447820502,0.00013725400996630945,0.7000004598307774,0.7000006172525323,0.03195359762192259,0.01914360450906896,0.0312157913816607,0.007161243245148024,0.059549558604497635,0.09265497262277678
