figure,variant,x_value,metric,plot_metric_name,plot_y_mean,plot_y_median,plot_y_std,plot_y_p10,plot_y_p90,plot_y_p95,mean,median,std,p10,p90,p95,success_rate,outlier_rate,rescue_run_rate,rescue_trigger_rate,n,K,paper_k,effective_K,position_rmse_m_mean,position_rmse_m_median,position_rmse_m_std,position_rmse_m_p10,position_rmse_m_p90,position_rmse_m_p95,y_nmse_mean,y_nmse_median,y_nmse_std,y_nmse_p10,y_nmse_p90,y_nmse_p95,range_rmse_m_mean,range_rmse_m_median,range_rmse_m_std,range_rmse_m_p10,range_rmse_m_p90,range_rmse_m_p95,tau_rmse_s_mean,tau_rmse_s_median,tau_rmse_s_std,tau_rmse_s_p10,tau_rmse_s_p90,tau_rmse_s_p95,raw_objective_final_mean,raw_objective_final_median,raw_objective_final_std,raw_objective_final_p10,raw_objective_final_p90,raw_objective_final_p95,outlier_flag_mean,outlier_flag_median,outlier_flag_std,outlier_flag_p10,outlier_flag_p90,outlier_flag_p95,peb_position_m_mean,peb_position_m_median,peb_position_m_std,peb_position_m_p10,peb_position_m_p90,peb_position_m_p95,peb_scalar_m_mean,peb_scalar_m_median,peb_scalar_m_std,peb_scalar_m_p10,peb_scalar_m_p90,peb_scalar_m_p95,peb_dual_m_mean,peb_dual_m_median,peb_dual_m_std,peb_dual_m_p10,peb_dual_m_p90,peb_dual_m_p95,peb_evs_m_mean,peb_evs_m_median,peb_evs_m_std,peb_evs_m_p10,peb_evs_m_p90,peb_evs_m_p95,peb_free_jones_m_mean,peb_free_jones_m_median,peb_free_jones_m_std,peb_free_jones_m_p10,peb_free_jones_m_p90,peb_free_jones_m_p95,peb_constrained_jones_m_mean,peb_constrained_jones_m_median,peb_constrained_jones_m_std,peb_constrained_jones_m_p10,peb_constrained_jones_m_p90,peb_constrained_jones_m_p95,peb_anchored_jones_m_mean,peb_anchored_jones_m_median,peb_anchored_jones_m_std,peb_anchored_jones_m_p10,peb_anchored_jones_m_p90,peb_anchored_jones_m_p95,stage2_seed_position_error_m_mean,stage2_seed_position_error_m_median,stage2_seed_position_error_m_std,stage2_seed_position_error_m_p10,stage2_seed_position_error_m_p90,stage2_seed_position_error_m_p95,stage2_seed_clock_error_ns_mean,stage2_seed_clock_error_ns_median,stage2_seed_clock_error_ns_std,stage2_seed_clock_error_ns_p10,stage2_seed_clock_error_ns_p90,stage2_seed_clock_error_ns_p95
fig3,dual_pol_receiver,-10.0,position_rmse_m,position_rmse_m,0.611821065347043,0.611952565335117,0.6906544087542705,0.0022353489746080313,1.706851480105002,1.9733027841040265,0.611821065347043,0.611952565335117,0.6906544087542705,0.0022353489746080313,1.706851480105002,1.9733027841040265,1.0,0.5833333333333334,0.5,0.5,24,3,3,3,0.611821065347043,0.611952565335117,0.6906544087542705,0.0022353489746080313,1.706851480105002,1.9733027841040265,0.3645861983734256,0.0644497712676315,0.4510089865559368,0.0001555716141527217,0.9922841424426438,0.9945812094541637,0.2846831938319083,0.01790962553352904,0.4348491845452606,0.00035943460446167337,1.0339610193649647,1.2694307447368085,6.922637310072891e-10,5.5138205936499995e-11,1.1808518471403046e-09,2.4570173919920993e-12,2.1065600976253417e-09,3.0258172382272005e-09,1.1094003083349946,1.062024246338935,0.5377847836361562,0.39659947611614865,1.6869926368632089,1.8753352896372786,0.5833333333333334,1.0,0.4930066485916347,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.209082694566887,1.27256464421482,0.9290019290082062,0.007701973352320352,2.3809319848072494,2.4241399608316403,1.2094384144271297,0.7006388096337823,1.2210816318395583,0.16634334300881232,2.986144523908899,3.559648521354188
fig3,dual_pol_receiver,-5.0,position_rmse_m,position_rmse_m,0.17473268126221023,0.0018872754075785311,0.3000815403503482,0.0005887198983376418,0.7000003034299342,0.7000006425661716,0.17473268126221023,0.0018872754075785311,0.3000815403503482,0.0005887198983376418,0.7000003034299342,0.7000006425661716,1.0,0.25,0.125,0.125,24,3,3,3,0.17473268126221023,0.0018872754075785311,0.3000815403503482,0.0005887198983376418,0.7000003034299342,0.7000006425661716,0.045884881548087474,9.522411258262825e-05,0.14017835682032725,4.653455396147935e-05,0.09263256796098808,0.14553093820170457,0.026815123488635143,0.0004280895431044648,0.10852794570994528,0.00014004763852768659,0.018396420211011927,0.018547613313323993,4.0528005139259624e-11,2.967320801842721e-12,1.2790611326395553e-10,9.306238366197745e-13,5.715219900800493e-11,6.302704722488643e-11,0.3476071260456252,0.31092994094647186,0.17901829791122026,0.12573926624798915,0.5175478909898357,0.5906155296455418,0.25,0.0,0.4330127018922193,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21950926500230025,0.006173345522120583,0.30546480158892103,0.0019255464408215826,0.5224273513558508,0.586959102085067,0.2490686744181206,0.23722325772114614,0.019521275653372007,0.2341610009848583,0.2687145145301727,0.272650921631301
fig3,dual_pol_receiver,0.0,position_rmse_m,position_rmse_m,0.11739212020627142,0.0009933042962075337,0.26055068567229595,0.00033347069462714876,0.7000001094239908,0.7000001712119103,0.11739212020627142,0.0009933042962075337,0.26055068567229595,0.00033347069462714876,0.7000001094239908,0.7000001712119103,1.0,0.16666666666666666,0.0,0.0,24,3,3,3,0.11739212020627142,0.0009933042962075337,0.26055068567229595,0.00033347069462714876,0.7000001094239908,0.7000001712119103,0.015420245124885162,2.5669559263451408e-05,0.038908115794329394,1.3694238693284054e-05,0.0582093220293413,0.10620853491988876,0.003189914604266269,0.0002414767293692335,0.0066543333363296995,7.957523495675605e-05,0.01790399978387763,0.018134044098281198,1.0494690066941868e-11,1.4746463214618697e-12,2.0496447848202863e-11,4.0194175648951746e-13,5.287783726069506e-11,5.532602408250246e-11,0.10936312104747975,0.09832468040917167,0.0529135477760394,0.04008685256966798,0.177617713355619,0.18975942590524128,0.16666666666666666,0.0,0.372677996249965,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig3,dual_pol_receiver,5.0,position_rmse_m,position_rmse_m,0.029652470218171852,0.0004875834039290354,0.13977742051741032,0.0001883509703540367,0.0009461125968071282,0.0011933289096665931,0.029652470218171852,0.0004875834039290354,0.13977742051741032,0.0001883509703540367,0.0009461125968071282,0.0011933289096665931,1.0,0.041666666666666664,0.0,0.0,24,3,3,3,0.029652470218171852,0.0004875834039290354,0.13977742051741032,0.0001883509703540367,0.0009461125968071282,0.0011933289096665931,0.006378754205553256,7.545601356607192e-06,0.030555860945174797,4.32676418612373e-06,1.1100569727188167e-05,1.373538761983967e-05,0.0008843454341879549,0.00010521939797276936,0.0036499232500109887,4.4818161761780434e-05,0.00026147437870602404,0.0003368455556990435,3.3372074498672393e-12,7.96486110131944e-13,1.2478271431808273e-11,1.7723061034236215e-13,1.52718183979829e-12,1.6904496513076976e-12,0.03464824317241051,0.03109299399304843,0.016872520836324297,0.012526779184327553,0.05689603603500025,0.06006373659636548,0.041666666666666664,0.0,0.19982631347136334,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig3,dual_pol_receiver,10.0,position_rmse_m,position_rmse_m,0.0002839604027826611,0.0002620463157414765,0.00015565979931469592,0.00010594225727420863,0.0005077050388727271,0.0005332632035699815,0.0002839604027826611,0.0002620463157414765,0.00015565979931469592,0.00010594225727420863,0.0005077050388727271,0.0005332632035699815,1.0,0.0,0.0,0.0,24,3,3,3,0.0002839604027826611,0.0002620463157414765,0.00015565979931469592,0.00010594225727420863,0.0005077050388727271,0.0005332632035699815,2.3681953460369386e-06,2.3839862241987905e-06,8.645947078065482e-07,1.3675437498955154e-06,3.428360667580195e-06,3.5450557084696963e-06,6.755988640607722e-05,5.138106303504722e-05,4.69055389148329e-05,2.4086618465489643e-05,0.00013992235852187406,0.0001472020197839423,4.3225708946085684e-13,4.483982329296935e-13,2.547251282684175e-13,1.0011258846988181e-13,8.39771534909321e-13,8.73256915660201e-13,0.010791258321509114,0.009832468814977331,0.00515362319625561,0.003961315395441207,0.01636625235774992,0.018676902734673977,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig3,dual_pol_receiver,15.0,position_rmse_m,position_rmse_m,0.00015967895013780948,0.00014738122638500637,8.755671566026771e-05,5.939378544092684e-05,0.0002854085089919715,0.0002999669871997135,0.00015967895013780948,0.00014738122638500637,8.755671566026771e-05,5.939378544092684e-05,0.0002854085089919715,0.0002999669871997135,1.0,0.0,0.0,0.0,24,3,3,3,0.00015967895013780948,0.00014738122638500637,8.755671566026771e-05,5.939378544092684e-05,0.0002854085089919715,0.0002999669871997135,7.547200480542313e-07,7.5350248752047e-07,2.8201543104716695e-07,4.3233340872749154e-07,1.1100277626878645e-06,1.2150584876895641e-06,3.799909280975712e-05,2.8936738755789082e-05,2.637286834854573e-05,1.3566045625743875e-05,7.86792362868339e-05,8.27825328074721e-05,2.4285077559031485e-13,2.4970072497066674e-13,1.4323666554030219e-13,5.6453305147701097e-14,4.729713159249495e-13,4.911457536082436e-13,0.003412495679320548,0.003109301645452675,0.0016297187310078593,0.0012526779177307195,0.005175463413222925,0.005906155221392653,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig3,dual_pol_receiver,20.0,position_rmse_m,position_rmse_m,8.978238934968277e-05,8.288710857082634e-05,4.9257262325646265e-05,3.3164495576956936e-05,0.00016046876140856023,0.00016871331495006768,8.978238934968277e-05,8.288710857082634e-05,4.9257262325646265e-05,3.3164495576956936e-05,0.00016046876140856023,0.00016871331495006768,1.0,0.0,0.0,0.0,24,3,3,3,8.978238934968277e-05,8.288710857082634e-05,4.9257262325646265e-05,3.3164495576956936e-05,0.00016046876140856023,0.00016871331495006768,2.445315399009457e-07,2.3821082865999833e-07,1.0254390310407612e-07,1.3669496381398635e-07,3.5102081265680656e-07,4.3408026127479853e-07,2.1370049587345843e-05,1.628586145324644e-05,1.4829859515683245e-05,7.635149975221595e-06,4.4242959993760945e-05,4.655370841687391e-05,1.3631574416636458e-13,1.37364955552551e-13,8.054756797646437e-14,3.178993657813401e-14,2.6620310538303863e-13,2.762162840648877e-13,0.0010791261091934446,0.000983250198153744,0.0005153622849767254,0.00039613153941597953,0.0016366252318549851,0.0018676902702521318,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig3,full_6d_evs,-10.0,position_rmse_m,position_rmse_m,0.19297764264179196,0.001453681797077866,0.31068780771515514,0.0004407200361239006,0.7000005357201429,0.7000008297370932,0.19297764264179196,0.001453681797077866,0.31068780771515514,0.0004407200361239006,0.7000005357201429,0.7000008297370932,1.0,0.2916666666666667,0.125,0.125,24,3,3,3,0.19297764264179196,0.001453681797077866,0.31068780771515514,0.0004407200361239006,0.7000005357201429,0.7000008297370932,0.06720757634138143,5.44221273615068e-05,0.1992961190455918,2.7282190088785726e-05,0.13729148900299581,0.14978898631885534,0.017636375335539908,0.0004845706224729444,0.06233226693146338,8.710709894494895e-05,0.017971395760906797,0.01813374909468442,1.943308056376016e-10,1.995330753594511e-12,8.638334935568065e-10,6.368812642825568e-13,5.4749000221785194e-11,6.153189111404066e-11,3.2579145671777616,3.069218620259332,1.5508438006156837,1.1897137261772408,4.966269862185056,5.611034449454063,0.2916666666666667,0.0,0.45452967144315476,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3197140430265342,0.8562186158129904,0.7685950611697597,0.7312439952656093,2.0935822616728768,2.248252717405362,1.3034320762245197,0.07729873063197101,1.7833314670459777,0.021757685831118714,3.0755598048549406,3.450342439132811
fig3,full_6d_evs,-5.0,position_rmse_m,position_rmse_m,0.08798342050214264,0.0006111798638761619,0.23132084944799358,0.00023026466336649635,0.4903836645206856,0.700000457520061,0.08798342050214264,0.0006111798638761619,0.23132084944799358,0.00023026466336649635,0.4903836645206856,0.700000457520061,1.0,0.125,0.0,0.0,24,3,3,3,0.08798342050214264,0.0006111798638761619,0.23132084944799358,0.00023026466336649635,0.4903836645206856,0.700000457520061,0.008882963704822363,1.550496438435106e-05,0.025547295048637432,8.619562644403512e-06,0.02412428694305714,0.0681991833325168,0.0024282645611569606,0.00021943950884735071,0.00587370551664127,5.850834371392656e-05,0.012535232243842773,0.017725534670853887,7.523687730653929e-12,8.054995451391808e-13,1.7209783915408193e-11,3.6161252082653187e-13,3.70604115527857e-11,5.3353682650237504e-11,1.0252929708201146,0.9380695961825689,0.48757466633464724,0.3780313942552826,1.5504492776208287,1.771465477265262,0.125,0.0,0.33071891388307384,0.0,0.6999999999999993,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig3,full_6d_evs,0.0,position_rmse_m,position_rmse_m,0.02946447176407034,0.00032043195743961927,0.1398164608678205,0.00011560393147450831,0.0005381878817099369,0.0006943295407284272,0.02946447176407034,0.00032043195743961927,0.1398164608678205,0.00011560393147450831,0.0005381878817099369,0.0006943295407284272,1.0,0.041666666666666664,0.0,0.0,24,3,3,3,0.02946447176407034,0.00032043195743961927,0.1398164608678205,0.00011560393147450831,0.0005381878817099369,0.0006943295407284272,0.001440087909478028,4.9019033734213285e-06,0.006882079542222672,2.724348404129182e-06,8.639087916366801e-06,1.1038748092956987e-05,0.0008830010318435971,0.0001177074321398562,0.00366518596889004,2.8443730435270488e-05,0.00024672734594721247,0.00025984340560435327,2.7290657704522504e-12,3.449183067480032e-13,1.0228386010118633e-11,2.031115769604618e-13,1.452403983901798e-12,1.601231544529087e-12,0.32400933768759715,0.3000335298189878,0.15438358665870294,0.11870671982167065,0.490295110235754,0.5601865666295716,0.041666666666666664,0.0,0.19982631347136331,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
